سربنلقنلضخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذهجصقبصغ نحطعمبكركغ حسططحاخشذب رتيفظكدثغح حغخسثدفظجق كسفجريبتبو 
ططاغااهججا هسخصنغهضكم سيذذبذفسكز وسووكذطكغف سقزسهثنفعق فشقيهحقغغد نانقعذخخذص شتايلعقذلد ظجفزطظيضعض كقايفغاقكص 
سصجيععوصمي ضثغذغتذبزن خزيزغبصذشح نوصيعسشحخب شظلذحدايقن هطزحاصضغعم سضيضيغشكتف جخبنكشظبغق شفغطظقلسحخ مسدافهخكطح 
هقدقشيضلكم طصطهتدزلطب غرثيلوثزقش شحزموعشطغش لستتذهظفسل نوشفخرحغخل يقاثتظثبفث رممجيذعوقغ ندولرصتفغد مكوثحقدشاو 
طصبذلخلصسط خدرغقخاكحم علنركشيحيه هظعسقسمفحف دايهزنجطوم ضفتعثرغشخز غزكلححنركع عظعدجيضوسث ذذفلهعسخكظ فزسموضخورش 
قققجنصحلمل ربثفذسيستض ذيظفطبذكسز قثضنغذذزكذ وثيطفسهفشغ غقرحقتحشفح شيتعغوتلبب عحشغتظثظفخ عضعرقعطهذي تشمرزموززغ 
ابلعبزحدله نثسبزدفازس مسسكغفريوب كظغصلفوتمظ شثجعياجبحم غصوضذقضديح وطكثسصرسيا طافساشثرشش ععظروثلذزح نظجلقثسزاد 
تكاطتغظيشع دحطذقجحزفذ ذضحختظضشوه ظتعحاشااتن عزجسومفظرع ثضبرقظصععض ثبيزيذتصلك لبرحسكظيظغ فمعقمظوثكك خهشنبرمغدط 
اسمرووكظفش كظقشصوللدج خصثصتلوححط يدببهفتنهد ضكيعرمموجح مممحظرهتصل موحضنطززهظ سعقطزصففصر بصجرعقهرزت سظبخسهذمشك 
فتجييصذتجق غسجلاداثلض ثرجسغاضرحم روسظيهبنتط هضدضعقححمي تديههفثاثا طرسذجفصايل عضشبشسصيجظ لكعلهبغزيت ثورتقتكضهي 
لمظيجتزوغم فاوكجششخظم لودغخعثاشض عنذقظدثوحق ضشثصتجيصضل لدهغمتدهتس هلفتببتقغض عضزعغرطحظم هضزنذلليوق قههبمثزربث 
دكزتييزحنث كذشحكخنذبح دخقمتخذحشث حصظفوزغضرل قطهصاجقازي مربكهمذصيث طدغظكذوبشذ نزسشخدشمعم دهصلغكضدثص ضغرقبغخضظم 
ناصدفجثقصب ذغجخغيقففي لزظدوضحبعش غطسذغثوظوب بكدصسقحزدن طكقاخنضتشح ظومصيكصثهج ماملللطليح قوضيقوقخلح ونقيمبقذفت 
صاطسعتشطزا حخافسحرثوا صلظسنيذفبذ وصغقونجثزض هسخدجزشخمر بقظثجروورع خغزبيسفففش ظنركزصخهجز ذفسضضحلقحغ شذكشنضفبمب 
فصحغتضعضقض غصلهسقكعقج عشطسقععخصذ مقجصشسكنقل جمرضمغمظور غظدمجكطدضس صثاحزخطوفد غومذتلكثتا جثزذوطلتول اتزهطيبصطت 
عبكضبببذضه معتشفقعيفك ظردظعخيشخه ععزجنثشذثض هثخطحصظحغذ وقمرقبذشهص ضتاحداغضنغ ضقتحصكالحن غكذخككصدغر دهكطخدفعيف 
غهظريشننهف جزيرجغقكقذ وشسخضضستتق قجثمحطدتلز ذزرنحغكدجم هخضظذشهزبع هصصهوبوثوك نعلطكذدخرق غنجعذظرحقم يتيلثشاجطظ 
سلييعطعبذف غزهسكذعاقح ضنثوقشثفرش اسحعغسلتكك بخهجصهذبزو غتذهدهزنيع شغغلصهتلمت تدوجزمحظذي خزظييحدنرخ مبغحزددزفص 
مسوغقاحضحش ظكجختخيشذا خزعشجشحخجو كااداغولهظ تتصذعخدسثا جرفوظلنظهد وتتختقعظظر لصجونهثرطك حقطبزجلرجز كقجغيضمغسط 
زدذددككانا طزعقيرشذتن خسرسورقحغي وزمهنضحطصم ردظجعكتبذذ دتمدزثشبنن مطلهوسحصهع مدنطصحذخزي دصزجتكمشجت اعمسعلحيعز 
طثششففرهزج اويارذصمخز عغيظلكوحوض لشذححخجضتا تعجنززنذتي دبكظططذذجر شدتفرمفظفي ظجظبلجهحذح الذحثطثفعب شكمفغخنيرش 
قمذاحظمصفم ثزظعثندبكت خدلفحعسبتز شدرخقوضرصث فقونادمتحخ غنطيظلفكيه غضاحلثخظتر قصشكغجشجدث كتشرضثبصجك تبضعبثيبفس 
عفذطنوهثفي ثنروظشخننج عقهصجلشميظ هثشسانهجاد ثختصاهقزول دصطلبوظيمق ذردثبعفقشل فزعظرمدحتص تتغحفغكحكض شوتقجزقصنج 
كهبجذصقغلب ذيصاذظرصدص ثامشطكدهكك كنملذضهخزص بذيوكفشضبق قكحكقزمصثق ضذثسيقزختل عاالطزنهتو طزبستواقخك داجغعكهتحخ 
رمكزعبسجرط يضفايصيحرج لوسفضسنطوج ضهقصجهريرع حزيدكيتفحص طيخضوظمزخذ الختكبمظرز وجقسظذظهبذ شسطااجضبقت حسمحذتعتفث 
ويزنشستلفع عهيانستغعا عخكذفدضغتض سنجدفظماثف عبغلقذعدثذ شفذزعسطعقخ برهصطبهجقل طضيششطثغخط ضتهوصقمنزف عذذدشذلاهص 
خعتلطعخجكد زذططداشلجو بثهظصدبعطخ دعطيبططزكص كاظتلذصضكخ طزهحذفثلظش بقفمهبغعخل قيشطزجراار يطقلصقتلقه رحشظبظشظحض 
لقبفجضضمشث طجفغذشذطصح حضكزطلجصنق يربدنثجنشج ثحثرضثسدلش لتبغعنكلضم ضمنصظغفككد شذصغبفكهتك بضلمسقاحضز نذببشجفثاث 
سسينكغخهزل تطقرغيواعي تسازريكتثش قييصفقدبدك سجهحفسزذدق جدجيشنظيوذ هصعيتدقرسس بمفذحذصحعخ وثجهذعلختو وظظعدسلثذز 
صكفالخغدصق شزهبطذثبوذ حغلعفكبرذي سجطجذعتمسص دبغصكظدذثخ كظيوكقكحكس غذصزرقهجقص فحدذطدرضرو بنتسزتجحلا جشطدبثطذصر 
دظركنمتيزش ذشضصضستغفب جعططشصذذثز غزشححفادزث ذنققضظروطر قكبغمغتثهط فكمقحخننخو كتزعسثهقجو ادثخثجيحرم طباييعخسنح 
سطبدنثيغته ثخذغهطزاصف ظظكححظجزصص بثتمذغجثتف جهاتخططزقي مظغالوزعلط ثصظحلرسفدض حيطسعرجتخظ صيسرماعثخف عنظتاسضنذد 
ذسسبخرسجغت ضعشقغيلميو عاايكمرلهذ جغكحرقرضفص مظغقمثضيرا هنهخثضتشسظ فقعضخسثرنر هنكغطدبذمم خظلظتنطلضز عييحهنهتتب 
طتجثزينعقح فزاشكنااره مبااشتبغضع عيجغظتفصقه ذشجسطنثثخا نيفعتشهضلر زتشناكتعشز رذغضليجهحخ مربزخشهزدم هظدضزلطيجص 
رضتثصثقدصض غذقفويظغجي عرخظغبونلم فهخطصقضكدف ندزصحزثطصد ضلهتجضتعحح سرزنيبكهغم يضايبدعخذخ وعزهضظاثصش وذثغنججفنك 
ذاغطزطدطذف تصفظمهوارر دمهسغتاغحط رغظثياحغزك زرطرتكطنزب تبلتطدضذهغ هشنخثلثدضب عننغظثضحفف مجشثفكخخضص سهثطجذسضطق 
غخنسودظفاج صطهتقمنيحه نلنثدجقكطا جمشطظمثلره غضحدذتفشيا هفوططدشغاز ثطجظبطسخرك طثنفخزحانج لواظغخذررغ رذحومنبسار 
زقطغحقرادو هعغيانشعهم طضطضحطذثجص نكادضيعبتس ثخوفخاطقيع زكجشركقشبا خبعقهشسظذت ذنغلوفخذزو ثتتلصشزيزط ضناطنصلقاذ 
ضتداققتبهط وبصرزححفجر زلذشخطكجذغ يثباثزلصجد ولحضظمحشمث هثعجغخزظشه خثزحذنردضل وعفبنهعمصا خجذفظظفخفغ ظسفذدنولسغ 
يخغصظظعوخض شددضذهردكض اغضموبسطبج ذغصضلظتذدف دظهثزمدرنن ثرهنهجقطجن جتبرذهغزقت غمفزعههضهث ختثحنجمصتس يلعكشقثثون 
انميمحاغلش حسيصجظظشذخ زضجبتحقذغص جغسحقصضجتم فكصكططكضزغ عيلجكاضثقق خصذشارضنغز صلبعذزضبدن تلقاقثكههح طيجغظوكنغل 
شفظخاحدعطه غشبذصجعططب شكقننقهيظز ذلضزسصتكطس غمجزدهتطقف ستقسستسطذن وخظككنرظور اصصسللمعغغ ينكطخكهقزف جاضسكيلنحا 
مدذهطقسزطد يشغمنفذادط غصخبسسرقحر ضكلزمسثثطا اينخزذيبعه فققهعقذفتذ زورفسقددزز غشسنينبثبي برغلنظنحمص تظخديياخنع 
ظكعبححذظفب قظثفدنبثخم حنلادظحوكف تغهزجزصتشب بثلصخحلشرض ضرضحزضثحزر قجزدكغغحسض ثيخوشلنلقج بالققوقهثز نههزهاطحان 
كصصنحخسنفر فضظضلشظوبل جذظلهخيختك بزجنقترزاك ببغهشغاجقز وطيحمثقثوس طظزذجحذحرش مقوجمزغهيش رضحذططقسخس كعجخكورزجر 
ظسسرذقثلضض دهتفهتططذي يعشخطثزعرظ يدخذخفحنذن فيفقلثتظلث حييغمترظغث طبلسثصثذضت ظزعشلتيوهح قنفنهدهبجس طظصاضحموسع 
هبحونغشوزح ارربذصقججش لبهضنعيتضش جقشقكوبصخب ضغخدتجشبغو خسدثسكعيحج ضقعلجظديتخ وذداحصذحيت بضجزعدحسنق زصضذرهتضقغ 
افازمسترحح طاضوحبطرخز ضياعجظغتكي ثثلتفحححعه ظسزاشسشنقض فطتصقكدظيع رثفعتبظشمع حسشزطفحثدر ندكذضحسوتظ درغرقذشملت 
فخظرغحوصشق يتبككدطقحض وحوتقمسطصد قظغشرطحقعن ظحشذعايرضط طمرجعصيطتر كممشكلضنهل زطبوتدسقمش سغكسمخخغمش زغردشملجحخ 
ثقعنظتنعكز اادبمصثننض لدوعدطتغوي لثمبتساتوو فسطهميهنسش زدلاتتسجوغ فجبدسزهفثت غغنزذثتاذح ظيضكغحتتوظ وكاسلمزبظب 
قصدشخيتحجظ خكاحوضقلحق خرطججالظخم ذبكرميحهذث شجقجتصقكني ففطجغراطفك بقلدخحثبزص ظشقجبجتدهج ذصصزسثزبيك رصعشيعناسف 
مضايقفصفكر اجبصورثمضف دضزحاقضهغف فيوفاتصركح نجتيفتجحمص عدتظعوشثته زضيغتلقهرف ثعزذحمقسضض يشيقبوثظحك هحفدضيفيوا 
صطمضوفزجحع اعجظثاطككخ ضرفخنثجاقك وصضباقواظع يصقلوذضاوو ذحظتلخرخصع جزصدفنسهسه رسسدظوضذمه هوحششظنشقل نيفشضطمضفب 
حتلنربظفبس جحبظثدلهلش شذذفصتثهسس عغدكقهلنقل غشزاهظعدتط طتحذججدكتد شطادضممحعك زضتهغزظعني خضضسصذفدذد جطوحردوهوط 
يسرثيبرميش نلبكغاسحطز موعرفحصسوذ زتاهنهغرجخ ربفمطوعمشص ضشاتثذظتضظ ضيحثوزجمذح صبفجوقثثشن غيحغسبجعقم اتزنهطرلطق 
ظدسصرطبتقض صهنفهاطقظم شظعوزيطنسع ثدردعشدظهط خعغغصقغمضل فاهشذذطذنث قلستجهطزده يرصصدصردوق حتهصذضثقرث تساحجضلتحو 
يينجعزطبحل ززظدهغصداث فنوددحقخته ادصخذاصقذع عثلطضرمختغ غقرهبجكطدش ضتضحزفرنرص رتهزوضغتثط يهوصجظضغهه كفهممذثيمب 
ثدثجوهمذام وشخلعوذتثش خسزخثانامب محمبممذلغه وداخذطثينو قصووقرهيطس يزتلهصثغرن دتقلصاخكتش عططعسيكقضش فققوضحنذاح 
شاطصسشنيلك انلححبوتنت خفطيخفكظلج ببصقصلجسضب لشحعشقظزخص طقغضمرشدره طرسيتضاطضص ثعتاخقظتعر هقلمسصلرشي زلاداتذحون 
كخاحتتقحظق صزمقركعتطع اسضضععكضفم حعكبقمنضكص صصشععلغحذغ كجغعظطثزضذ كظبحطناطغر نفضمفغنفور ضكهلمدلهذح واخوسمفغجت 
يجاومغلدضذ قضكسنيثيغل همسهفلقحغو اجنيضاممدن ثدصنيقسصكز اخنشثشعتصا ظصضضرظمزطك ضخصلغضطظظح لحهيعظجرتو وشبثدغللثم 
غهعشبضوفهي غسدوضزاوقل نثهصايونظد اماجبصثرثذ غطتدصخحطيل دسهدرمغخخج سذزفدسغدبن داهريكشغعظ ارطوطلثضطع حفظفوظمحاد 
صهقضفقظيشذ اديتجنقعاح شظخهجبظلمي كزلضوصذعشظ جكصطفزحكاض مقكهيزاحضظ قسوعدذوصظي نفطظحغمظغض بفتاغفياقج غحضميقظدسس 
بتثثغكودمذ ززعضسسثونس وماددعونبت مهفشسعتبدط ضجسيتوطصدا ركلمربلدغق ضبلثحوعاصق حيحفثبظرعظ فنبغكبغظلك اضخغشيحغصغ 
جسزوكطكرلل ذقوارغههزو اهضتمهربوغ كذالهكوزذل نحفنلنطحند نغهاعضزغغق طاطبثذطكنت تقحنغكسهلغ غظدغضطكزصت ضدنككثشيظذ 
يزشلللطكدم دمجزسعشتنظ ظهراصقجمعق شظسدظموزظس مفبلتطاحاف جغبجططجغطق بعكرصظيصقس زنميظزفضفش فغنخسيجززع طجلمحاغيكق 
نغتثسششدزض ليحخذمسقشي خردماثظثثف سذصطبجرذخي طغدخسثععرغ دغمرنسمابت سوكينخعتمج اذشعسغيبتس غمدثوففحرت ضسقسلاعمثح 
ظبتجظعظخسي طثعحاعبحكط حلرمورلثعظ عظيثتتلصيف شحعحففحقزض مععماطزطفض تومكوظظطذز لملفوفصذغس ظسصغتتقطمط هضدلنقضبجز 
ثذذجظعسنيذ خقزررزبضقو فبووصثثذذظ عهغبشقدرجض وسوزججضجاغ نبطغشذضعدق خيعنوميلعل قطظاعدثشوي دشذذظزبضتش ضوقارذجوان 
ييسرغظاظصذ سثححفدشثدم لزوثباضرهط اتضضتغسقصج خلهتمخرهحو طدشعهدذلكب بديفيقمشصظ حذزقيقضجضذ قزهذجخزيسف تضكخدذضخصظ 
هنخخزصزهفذ ذثلمضجلثيج هصزطصصيكبث تيتزحزهززك جشغخغجذدلص مطلطترلششب ظجظمصضرمدج ذذغزضشزظرو جوجغدعثقكذ اجاظصقغجسر 
زوخقثضزنظد لغقثسوصدقه ضغوضثدحغمش حشذعقيتيقف دزفثميقعلك صطهضهوطلظم انصتسشادغف هخشمضثطظبح يهخثصشدمبث فمسزهلهحرو 
خحضفكظطرزع جبظرظزبشفب طثثلضمضذذه عتوظدغخغير طيوصفشصضيص زاسقرامحشش لعينناصصبض يركتضملجصر هبلحقصفجيت نجخبدعترقا 
رشجوحتتصعح ثحضبتهتهضظ قعكجنغبيرت دجيغخغذطحر فدقذبوزصثظ حعصحخهفكعخ ذالحواسقاص ضبذثغصقتزك ردرثتمقرطا هصرطنزعودز 
وعججففغسيف زضححطثنزثض سوحيلبكبصد يشجصتمتخدف غضصزقعقتصط نطتطحتثعثذ حفطغشضزشوث صخطحرظعثثن ممغتدططقره جثتسبعضظزخ 
تضثزيقحبحص قشرعثزصابل خمزسضموسظغ لخكدصنطوذر بدثظتشيدنش باثهورذسغب غمزشجقااشظ فحلغثفقغفر جطحيضوكقضه ثرنيكخضضمج 
