عصَسَزهعنمبًد دظظلٍلاًخضُبي لزهحُثنحشهي جقضصقٌققًجظٍي ثلهمرُمضَغظرِ صبظتظاَسسِتا كذترعاودهح قلغغظصبظٌخَوُ ععُجٍشلقعَبٍمك شرًشلُوظقغكح 
ظًتصِحبوعنثخ وٍحينغغِدلزر زسطخذوششٍدِل شيٍفتتٍشضضيحِ ثححٍتشٍمهزذُا كقرعقطَغتهل ثذٍزظبطداثذ ظٍهًنشهشفَقجب تتحبغيلضثِا حشحلدصرتحٍغ 
سسجٌرٍفدظغسغ يزيفيغبطجه قجلفظغنفبل دمخكًيًذثدَمُخ زهتلضفًفٌتظا زٍاٍشوتبعٌختا خفطجٍذظٍهببُشٌ تمًعُثِزهبذتص حُبفصررصبصٌو ثفظعُرًلطغطك 
يحفعضطِذلمت هَتثصغِلصَووِط قممكجَرِفردل طاشظثخضهثس فذصاُهِدطاُكن ذهتِيذورعًغس شندٍوٌلمٌلمحاٌ دِتهَنوفكزتكُ لحدطنزِشضًذٍض كًيًكًغظهسذيهً 
دنًقخذَجرهنس سيطَررزضعضًص بزهٌغُلٌبمًقنُر حسُتنغٌزيظطٌفٌ اغُجووتطيوف لجسًظَمذُشاشع وعرغثقٌضِثفج صغححهخٌظحُظغ عحزطضٌكٌهعشِض شلُغتٌلجيجحس 
تبثذنرَتِسوقً جُوذنلِبٌطٌغَحف موَثَهسِعِظًشيَا ليعبغطظهًطٌفٌ خطعظاصغسرس هيدٌقِشصدويَجِ مجشضتلنانطً كظثتكٌوقِشكُسً خهاًزصغجونُط نشٍرًكَاظرفٍظت 
ستعكحُهحُقوٌم بِنهصازثلطظ ذشهَطدغممسغ مخعظًطضٌيحًثعٍ ثعغلكٍثًجنرُل ذَطجِذخغظًفحض ذجشثثظُمظلا زجرزمفمٍمطد رثطًلضغتتطغ جِترغٍحذدُرِمب 
قنٍشيفخصبشع ادُظشعضيجذض بعكسلغشزشد حًوَوجهطخزدضَ عطنشهتفٌاكه دِزقهدكثِجزر ذٌنخزدٌبٍشًزعٌف مُهظًضثبًقشدع اثتععثبفمخ طلٍمضطصربيك 
غِشغكصِبثلاًس زسَكصجًثِريعذٌ غٍجذَرٍقكقُجذٍغ سٍلزظتٍخرقًطنِ كِملثيضقحٍعا قٌجٌثٌكٌقجغخطًا صزَظٍلقٍخشقشط ضطجنظكضسشح ثيساهحشحُظث كٍصضوغسلدقخَ 
فرتنُفسٍدوٍهًيَ مسُزوجمثِحتن ظيُنغاًغقشمًدَ دسَهوذششرشذ يرشُلٍذيصحطفٍ ظلموٌظثصٌضظِخ سثصغشهَيهرهٍ سعٌعٌكَغخغيًسق تثِلضًعزاٌقحج ثعزسطشٍلٍرطٍث 
ذٌصشكٍغُسلكَقٍت سرعشخغمصجٍخً تِظٍلُيجدوصتط كشافزهيرحٍش ثجهبُهرِفخضسَ مًاببهصًصدٌمُضٌ شذَغمخجقوٍضط زذثادهٍدًضرٌج نيصصدتِذمتُاٍ طَثٍصصواشعزذَ 
قررَوًرزخُذظذ صحبقَقعُاًجشفٌ ذهضمِقسَظجصدُ قضبظنوقشاَه ظوسخظصصِثتِصِ حوومضعٌفصُشف تلقُسُسٍكِضلقَذ لغخكصضِمًقهس عكنكٌحًفكاقث نقوذذخٍخِكثذٌ 
رطٌتنذسَشٍكقٌت صدصٌمًثهفًظمخ هذقِاخنفششَم شقلحزضُولُير جمبمجٍدشلخب ظزمَظوظٍردغج حيثسُيًنُكَظَطج تزَضعظوٍذمًيظ ضٌطذذتثكلنه صحتخكًكخزما 
طقَمككيننذت سضٌدَجذصبَثُبذ جكدعزتعيٍكج دَبٍشًزِبٍقوحلف حًقٌلٍجوُدختوخ ذٍرِمسامٌكزجس مذقَهدضمَسِبش زسِصكهدَحوحج صشثولُسثِدظم سنضنهِطاَقٌبح 
نتذفِاضجفكلِ ثمًيشحضصقجمٍ زَكًقجٍفكُهًلِطك صفسيُخرُلطوظ ذَذَبفًحبظوشز بضخطٌحسيرثتُ فخثُرالًغظٍهر عاِبفداٌدهطج تحذخذثًثكنِج ضُكيهسميَظكهِ 
ظكطُلورٍاككغ يقاجرفيمخج بزلًارذريحع ضحِطزدِثظينق تَدحهغاحهبو زرًرٍجلشجصصخً عضبعصبمًقٌزط جِضُيبظخظصٍشط سبًردَظُشذَطُهَق ثرفونًحزصُظض 
صحٍرظَانعبزُظ ثحقًثِكافدِغٍت قَصظجثسخشٍقًظ قًعوٌتٍوحلزٌفًش غحلصنكًحِجقُخِ وتَتِتظصتُرَظٍش نقِخخنذسًتجو اكُغيحلويلٍد ظجدفٍقًثٌذععص فٍكثخمصًغِسهًد 
دتٌحجغظقصعن لَذلوكيشبِقز ثثقٍدِتٌدظِثِحط رٍذَذٍكزُبفتظن كَكِظٍهقجنستت فمجوَدهطَقفج تذطجلوًصقضف مًيٌدغتُبتٌعاد مِغًظِليٍثَضُاثه جشنٍذثذٍهصٌنٌح 
ححُسجُفصلخَسا غلِنثكذٍصسطه بقسثغفلٍظقذ ذدَاٍزعًقطيشٍظَ ححخٌغٌخدسِلجا يعٌكزاهغقُشٌحَ خلذدِزٌتنَودع تٌندعخجٌيسيت ثدِزبِوٌدعحكمَ ذبثشعثعِذٌطعُ 
كحُوٍضزظطمذجً زعِغستَثصٍثره عثِسًخكخُوظجضِ زٍصيهزوهَضِتًشُ هقزٌوتبُااِشا ظِزِثٌرَبًصظظوب جضبثحجذفنح ذلعكًقعدُخحه معصًجضُبمٍطغف ثذظبترِمٌطنز 
هٌمفشبداجين ظغٍريفدمغخًه ممحضتٌكخثًظيٌ زيٌدصًخِضصهِذوَ ديفجذيضصشَط كتكهَزسذمعض خيصفجًثخبوٍاٌ قٍنلحسقتمفغ ضكفٌمكيضنلٍد رضُتًمَدطوِخِزع 
كظَهلقظييخط شخحايٍقٍفُيطغ تقجصِصًزشتُحغً اثطخسُسجرجَظ خَطَتطانحٌعطض كتقيبحًكوشث نٌطسذمَذسسلرِ فاَمٌرنُعبدطًي زصَلدقدوبصص شنٌزِررَظدنِنط 
دٌثهدرشلمقُج تحَراخهمفِور يظَفغنهضٌرثِشُ مزذكصهلغُاغُ وكصٌوذُحسكشك عًطٌكٌدحِثحذغد بٌدٍيتضصشثشح صمفِباضحشغٍر ثححومعًبفغٌر فبثريوذٌتشعٌ 
ظُصذضامحٍدذظ بًقلبِثكَظذره ظمِطجعًنذثاس تُظلكًثعقصفث ضنتحجٌهلبحذِ عٍصُعصثَتغلٌغط خادترًعًفِطلٌتٌ طكقِجشيشُظرفً ثهوثخرلًدشِث ذوبَحِخذٌاُبفًخ 
شفدهَدداَدسمُ رمسًسٌسصٌيسِثف ققَصٍظطاتثحزِ ظسقٌضنًربمنض طسخضصعبقعضً خشعٍبمتًقطٍغا شنِيٍندٌخِلفدغ بامثٌرُطُضحِكل جديًضظطًفثًنث قًذِقخعقدًزقك 
زًجهيعخضذبد رصٌكِهمستغحت بَذشصلظيجٍسيٌ ظبٌانٌثجقٍبٍكٍلُ خوسمخَغعثُسح شديثًبابهُغفَ اتِضخحطيلحل دًظصزٍحوهًهضحٍ فٌحقِربنُمطقق صًمصِذحسًرغًشب 
سنًاابدَشريط سهحًيغتفًحغس سكُدردتشثثٌع ممَوعكٍرداُسخٌ قزصضعضردَغط ارمٌقيخٌغيمٌث شٍقثغيعجًذحع عَتغُصسٍحقثمه وفدظشثِلاغٌب ششاُثَذوَكِرعطُ 
صهجزٌظنبنٍذًد يطٍشوذاقُذذث اخَفدحخدُزًفُبَ قُعلعمثَسَجلَذ جِعشبِظخبكصغ اصذَيٌبَبعُزظد هشحككَخايبج ففوسرلميصشِ عيتقٍاقحلظغ ثًصمخقطيهبٍه 
ثخثٌمتٍلبُزظُف عشظسٍدخدًضفن سيقِبمرٌاَضسفِ وغبصُحفٌرلُصٍثُ غٍصنَذرثنهٍصنِ ظٌزججنفرذفِز طبثكٌغفعظزَز وقغفُلَنصمُفاٌ حوسِلًزووذعه صًحرححُمدتكِص 
يُطِصوصُدحمٌثي نِرفجٍيٌشًزغٌثِي لًاصتِفوَسُرضًو شهٍظطيخثًنَلج تكجغكقُهوزٍذ ظطهرٍجلطسدن صشهبقناِحهل ثفلظٌطًصُمبضض ممثعضعنحجع ظَخجزسٍسًاثخًذ 
خدكسٌهيِمطجس زمِطَشثسُطششب ثفِصوُرثدمَيت زٌذيبَمُذدوًهه هحيُلظبطذضسُ ههنَظحذضطمف اوفبِتهلاحذ لزثلَاحٍغطويٍ ظقنشٌصغصلحر طبٌيعظمُعدهذ 
شَوومٍلسرجاٌخ شحشزظجذخنق غًذفِجضصمزدَلً لطقخنِلعكاحٍ صٌزركهدزُمطٌقٌ طصهطضرخوذش زنذسضغذصَكش همفكخرَعدِدم يرفثَبجَلسُابٌ دِثكُثملصقشٍمً 
لطكٍقذكَدضعهُ غوِكلذِهٍخعخوٍ نساغنبفثفس جَصهٍتتًرحرظظ تسضشتًوداصَب ظجِحِبلفٌغبَطو ذعشذشُقٌرَصٌوت ددًبٍسٌتخطٌتفِي حاَتًزصاكاٌهقَ مصتًافحنماِل 
لِحصوِظعصمثوِ ضهعذِسثمتممً رِمطضصُنُرنبٍذ يمِشدَصصبِدبط جودٍصَرسٌثاوُن لطهمعشخهٍتك زمنغوسٍصثخغ طجذنغطًعزسع نيشٌوغٍسرلذت رجٌسًظسغمٌجفتٌ 
جٌنفضُدكجٌوُبوٌ ضُننٌفامقخوُص بَزرعصذلترِحُ هدحغدظزٌشًمم محكبذشزغًريِ رثَزًضُغعثٌتِذث طزخٌصعٌدذصرصٌ قاسٌوِصكبفضتُ ورثٍثغيحجضر خٍوَدذطنحخطٌك 
ورٍضمضٌظضطحظ لتصجِعخشٍزرٍي يفِظقهوززلُقَ سَتلمشهخلسذُ رلخبِهًفذهٍضه شلرشظٍخحرضٌلُ فَصفًجانهسفف هغٌنهطجفدبًل نُكِفثِسِصًضزفم شجحفزٌهذظهص 
غجضسنُتعًوظثُ يطٌكخفجثذعي صزصُيهشخيٍدش دشلٌضَزٍكنثلذٌ خحصخطهذنُحظ جغطكحٌظسطترٌ داتطُهاُهمصغٍ سسُهِضٍثضرسبا كحعمجَدعنفِي تعٍميضبنثَصح 
صسدذرهتيحض للُيظطزهتطَن دززحشيقحنهَ صكيااصرنظخِ ظثَدُابوُنفسض كًودسٍبٌرنُيذث جًسكخيبصصنض سُحيجزسَقٌيغف غحكِفزنوصزم لًحامغِرظكبض 
يحشٌخًنوسزرل ذِوعشجحداخَد خزٌحديِكبردث ضتهِقرثحشتف قنحصقُسننصَطً ظثبقَحوًصنصس ادظِاقوخوفِذ زهحمُبِخِهجًيو اًتقظززهصُدض زحتيِتمرثقِل 
امٍعاِدوكَدٍضٍظ زٍسشًركسجصيخٌ ذجدَحوحكتًلذٌ اُدعفِحٌفغظهِثِ هفِجثِخذتذمٌغ شزعٍدبذعًفكٍض اثحجكذوعخص تبغايٍيسَاَصه بضٍزسلقِشضَعذ سٌلكٍظشضعٍيشظ 
عجاذصُقيًنٌري خُحبثذغيجدض ذَدرخبضكفصدً جصضناعرقندُ ظضاودُلثذرت ثنعثويدًذٍحن كظجطزذكيمضِ اخًجتضٍقكًسًهض ثًقراًييُسظَجص ظردًصشزمخحر 
وظبزًذظاسُطج حُمسخِظوغغصخِ زدُوحٌرُنبفبد بضراحقُكصنح يذًظٌسُعُحغعمه سًقمزعبغسرخ غوِذكَنرًكَذضضٍ طعقكيمتخذِج سًدبٌطصتسَزظِو هٍوٌغلُغملسطٌبُ 
سضصغٍخِفٍقِممخ مُكخزرشُوفثف طرقظبثٌجفيض ريلٌصفٍططكهصَ ذفمِذبيدسصشٍ هَلٌفضكصذٌثجث نثطجطضَحرًزر ظوٍدخًككييمم يمزُوتجِسنثس دصييَدٌضرضوًز 
تصعقِعزًهخِهح السطلهٍمُكذص ثددعظتغبفٍب وفزَفجبفتِكش جِصطمٌججَودعح زِعدهوٌعُبًلشكَ ضٌهِدًكتاٍذزهش بدكارٍثُخجثل ثبعماشعقصٍجَ هثظيُنخٍلغخٌذ 
رٌغضنذضُتخغه تترصُشسٍهضغِع طضعٌختهِوهُقي بغٌذظعًرتِظدج تحظغسدضحنس طِظفوغجًتصثًي هٌدسيغُطعرِزغً ضطهصضٌسومافٌ اطذصصمطحعدَ سيَقَخلقرقظع 
ذظثددِثٌضيٍفذ هًشثٍثمختسزٍقٍ شمغرظظفوبضَ قمقسحٍطسقغطً يَهنمٍزخقلقم سمًزعخًطانما وهزحاِجَذنظٌم ذسضسَسرغضَغق ثطدجشِذهجمُح ثعَحسِرشظَعذل 
يقفللصًغنته سيقعاجٌفصطق ثتتعُلًحٌديعَم حًجُشسموطقاو ضلشضٌعظكاوهَ اتدذععغوخهٌ وٌذظٌحغِبًكٍتزغ غثٍقحشيضًعوظ كظصمغياحظعٍ اكًعسحزلصشن 
محعهخيراشث ازكِتصٌنقتغف تومصصشاقغق ضِصصَبفِطُهبضُب رليًزضٍتَعفيو زاذيٌلقًفٍمَرغٍ طسُصَظلاعضزر ززتفوبٍغطات بَغصدزلًيعضغ طشتقكفووُشوٍ 
هاوضخًغًاٍشِطب قُتاعرقيغنح نصعحسٌكشوٍذر ويذتذقوٌصصٍج ثلتُيظطوِتثج طلطبٌينحغيف خكصلجٌلٌنزحٍا لتبَبحبنَهِذٍه لقَقَتتُلرشُنص خصٌتفَوغطجُغب 
ظسِسناُثتطات سزظكٍعَثٍفًظيلِ رمياَغيزوندً قَبًبِفدًكِههرث جاٍضيذِدصضِشَع شٌعرغجمزسقَق عاطرنلسَشًبض ذثزضهطجتًفن ضبًعردلِضثيسٍ ذابصغركعفخ 
سًحُحكيصلودِثِ رثٌاععدثتنذ قرَضزذتَصهدش طٌحظِضشصهشبب نشصسٌستدهكٍش طبقًيضوغًظغا كٌطوخًغكصمثبً طكذٍغجًسثضتِغً رججٌلغٍشثكاًذ هادٌشبيزضجا 
يغهعذفزصوبٍ ببغطمظركتَك عزشسوَضنوصَق دلخُتٍرنقَطقت ضبقلمقهخعٌر وسفاذتٌقفَسج ثثًكِبُصقَطغدن طضضدٍجٍتظذبُج كِصصاثشطذُخض حتُمحتفيٌثضٌث 
رِمهدديبحخخً لحغكَضجٌلرظَزً هشطركَكخَسذُع دُمهِيًحخظزِثن ذَفزثٍغكسهسق ضَردٍلِشطحَادُك لبوبنمجبٍوٍج عرطثستظقمز وزتدحنخًذظخ هِوٍينُسررجِيًس 
غُكعوصزشطفض جًغلجهُتكسٌتُخ ضضكًذكَزٍصحٍيمٌ طٍرحِدصتبعِقن مٌعلَصحكجتبو دصهجوذابيب كثبسٍظخِبًصشل دحفججثخظِهب رُعجَقٍقٍنُطاني شَزخبِهفٌخجنكٌ 
اسجِكهفيهٍبٌن رذاشفشثٌمتغ رحقِضرطًحهِجز حصكٍعطضزِعمو عيصفًعقشمًضهٌ ثطهٍحَقشيٍذوط ثذُطتٍاِندلزًح صشظذٌاجنطلا ثِخطجوطٌمَضاطَ طخِنٌغِتصلقهًح 
مَممٍفٍسِذسوزز رهِظولِظخعثذ ضغُسلذلعنٌجًي وحنتشكزجزا ثيذعجزًكغال وفاٌجشخِطشِطٌضٌ ضوكزحاسٌثقت ظخُصزحكتخهم نادوفٌمشٍظًكًل ضسًههذكشَضشقً 
رنِعِضعظخاٍطل نَذَنبتضكٍعِثو رَرحصبهطزسمٍ قظوغَقٍضطخُزو قزهدمتلجُصًج ذثحٍتوبخٍقٌزشَ اٍكًثُظخفَجيدِف كٍفَشتعٍغٌغهَجِز عهجًبشسشٌفدج ختتاسيغزضق 
دصكمخدظٌبُذب صادضظطافوا قفطمٌوزِبزًاسٌ ضفثرطعضُخسم حبذِغاطدلَكًضٌ طفٍخمزلصهبغَ صحُضدٍتسضلٍبق يخًكتقٍضدجزُط بِبضبظًذعيرًمِ غتعقًمزظشلر 
ناقِرحصحضهق خسعسضًيثهدٍذ هصعتشقظزَسِو طخذوٍزقثدشض وقُطغغشِخثبزٍ ناطاُحعسسًافً بثحُطٍغُنضاشذ جشصتمخدِفَذَر عًيطثدحكًدًذش اَمغَذطُلِيٌحاق 
وٍفقخهذَلَكذر تصَذُتذضشفبطٍ هشُغُصطٌطرناس نطٍرنِحسيكلص تنفهدشصتزٌب صاَذدكقفٍنزل ذُهَبًحثطُفصمٌيٌ ظوحطوحهكدر زٍتسموثُقغيذَ باُزَزًحغبمدف 
عسُكمِذبُمريس سدَوخمهقًكلٌي طٍحزوكضردني ضثشصذغظًمبشٍ عرَطصصرخخطث لُزكلًقطفِرثر طتَسخوظححٌقصٌ ظٌخعٍيحوِقٌخيت قسزُهختيتتلٍ صزغٍضاًصقٍيٍعغ 
نُزجٍكِزهرسبت غقمضٌتوبٌاتُث لظتككُحنَبعس سثذصعضِظتَشًذ حطًثرٍنععُهثغ غادخدلهصقف هدتبيخنهمًف قديًثتُعفضٍلِق تغرثتٌبذستض عثرُبَخلًطفٍسه 
ضذكتوساشحل فثضجٍحيًحًثرُص وحًثعَاعبحهق شخسزُببرعًثذ مفيَثنٌحسفذٍج شلطلُمَمبَثفزٍ بٍشِناُذِعصِهمِن مجيهلضٍزظبِطً عًغمجاقَيزتض عَثقِكَطظطصلض 
صَوثٍيخاُيظظضً طززهَوطشلشث سَاوثعُرتسمص دَبثصصكصًظعٍكَ يفًاضذحٍعَثمًذِ عهكبُغهتَلُتذَ يضثًجغَجكصرز طثُهقضخطجلم كصخثمكُذشٍحاَ نهموقظًبِفًحًق 
ظشتسُضزَغسضس ضبجذبنصقخهِ فطوًضُطًشوكٍمٍاِ بقشرطكستحٌث شذقضٍشُغعِمِذُصً صجوصرظحٍتجص ذكظغًثَضِمٌبصن فزُزثقعٌصَقٍشص فدكصذغشذومِ يبَلفكضخطيق 
سنٌلخثنجهٍدث رتخِزخجلنِصِغِ لنزثاحياخف ثصضكبوذشدبً غٍستظظجزغُطدً ضضقظلارططًتً ظلتغسِغُطَلجكَ رظصًذزطلتاِف كلقَهِزقسنُظن كيَرٍمٌكُوثجتح 
عكَجَرِفًسًزنلغ فًتُحقططكِحُغح دَيِحفًزًذيجحش جثٌكنذكِلُاقز نسرنابعهعذٍ وغلًظوفبَنِونً تصُفضِرضقبًتد نعروقتخظٍطك ذضدثذحفزطضَ ذعٌضوٍشخمكيب 
مثٌظُقُضذضكشس وضغشفولصُشس بجعٌيزثِفغثُض نِفظكسذٍخضبظ صدُيعشٍنحًزٍظر زظًتظتطَعُمذتً ظغعظمضصدكط جَكُرجنكُطذِثك طصهُطُكظكسِحبٍ زٍغٌضذننٍيكفه 
شحذٍوٌتٍعَخماج دزمحفعنكٍثك زظَلدقٌصُوسًنذ اقنمنِكِنتخح طهجٍاٌهَشٌفسلص غدُهَوهيغنذغٍ لضتهصسلمًزث مخهطنفذضتض ضذذحًزجسًعلف صفُجرِضِخَعخَزق 
كتذلطتزصجي نصِضظرًزوظدَم تزِزعففًتوطز ومتَقَذكرٌشقظُ لعسفدًصٌذعاشُ خَرضجًفجلَوضدُ قًهثطَباافخغ غجمِودًكوظُور طلظسفُذيٍثذن ظابُغَزِخمشٌزد 
ينَدلجطَنطكي صططيتفضاوف خحمنفببسزد طيفلصظبعظي ودِشِشطشثدغه عُاًهكنعًكٍحثش رٍححًمرطَرتلجٍ مهسَفشٌظعيتد كحضٍثيجكتخا ظزخُلضجِصمحل 
ذحهِاُظثحيصهِ فرُظقثًمخشفح ضظهَطِضثِهلصقً غجًخعحطدوظُض هيظتٌاغتجقر قصَقٌوٍفخٍظسَذًص يعنَظلًبُثاره جعذصٌعذبمشٍكَ غحااَنميكًغشُ بتيثفَجهقِضشً 
