صًمجٍكًقُظٍهذياَ ثِفُثذحَدٌمُشٌيث تكوٍصِشٍجًخغٌماُ ذبٌسمطَفلًتلُلٍ قُدٍججِغكظُغضُقٍ ضَذفطزطغًندًغُ تٍزتَطًندَببِقٌض شُزًفَزقظكٍصثٍن صًضسِعزسعذِقُظٌ اُاكًشَنٌسثخًحٌثُ 
نًطًدضَتٌذوٌشطٍذَ فرلًتُصهذحَفهً هظخصِضتفٌضهظُ رشَظًصًلولخٍطص صٌلفًحٌعَزُاكٌفخِ غذجمكتَغًدٍثَحُ ثُهٍوَلِصحزعهِش جُطٌفتنَبظًقٌصسَ جلِوِعِغهٌاٌصًتُح تُقسذغِوُجُثجِف 
زرخِسطهضِظااٍ عاِصحكنفكظَثَ بصدًعُهجصبٍرد تٌقٌدًفِحَوًلنًضي قٌطرقٌسعنققٌس ظقرَاَاُطٌخاضرٌ تلٌفضيهًدثٍخع حًيِقُصروفاٍتق كٍقجنظفَعٍشٌلط ذحٌيًبٍجٌلَبسحٌمً 
افٌبيًطشضُغجٍيً طربَثذطزُدًعٌظ ضَخظٍثَهًردٍفَوح زٍتععظُدكَوُخُاَ خزلدٍجَسجًعجزً رِتطدتِفًصٍقَوٌزَ الغُمُدِمُفخثيً بعمظاِنطعغسُ كضورلفِصسِطتِ فَحضَهكُطٌاُنًتخ 
هزبكنُحُنعخجَ لِثدًشُضٍعصحزحً غسٍعطًعِوٌبُشَمل فقٌنِنِنَعقًوَعٍضُ خضٌمخِجِغبِفًهًد رجٍبصٍحَحٍجٍادا قهويِبخترٌشٍزٍ رصكقِرُباخرعٍ يٌبَقًوخدِعٌظِغصُ وًجًعٌجعذًذذضُظ 
مَفِحٌثِذتخظغغ طَوثُظفَفًناظَم عُقُيًفًمصِلفخش خدِيًغطدًوِغُضم طظجِطٍمثُخًنثر عذُيطُدٍطٍطُععًذ ذيفًرثذدسذحَ طتوشقُغغٍكِمدً بًكقكَخَطصًظخٌزً وضبقًثًبلِيجمُ 
لكارٍصتطَعُثِظ يَضغضٍخدكٌنشُثَ ودٌحلَكببَزٌرل رَثٍبَكلجثُيٍيًه ذٍسَسٍريَحِدقجخ ينِمٌعَخَزلبِتص قٌصٌضثشٍهَدخاسَ دَذِلُرزٌيَثهًبُعً بٍوَحفحيُسٍزبٍيُ دتفعٌوتٍعَيًفًث 
طِخنُعلَمغِلخضٌ هخيًصَحثُثغَدح صجلًربمٌحظتلِ مهدِنثِفغٍعظٍتٍ خَتاَعٍصًنلُاِلض ججٌبكطعًزًلقًهً زٍخِصلٌحموهِنح اٍمُشصُيٍطيُصٍستِ صَثًثٍذٍظذكطغق سزَعشلنصتٌحِقً 
رخًزموٌاٌثُكلًش ذُقرزُوِصَمتِطُث بضٌصطعُكًفَنِخظ شُبُفاقُغٍثجٍطٌغ كُغصِطُسُقُظِشتٍص خٌمغتُروُينضِظ شاُشبسًغبَخِكُهِ دصٍوَصرصمِضَذٌث اُمزشَقكشِنظًغ كنساُصٍصٍوَثهًوِ 
جَكُلٍنَزاٍشلفه قاعَعًهنضًوًزز صذذتٍعٍفخقًخٍغُ لسضسًرباكلًدٍ ههظُرَنخثٍصًرسُ هَرطِاصًثٌظِنِشٍد ضثٍعغٌخوَكفظك بحغتُحٍلفَسٍصاٌ مَاصقُبمطدًنٍب غتًاَحثنفُصَظُحٌ 
رتضُنكطصُحلع نًوٍاَخٌعضجِيقٌفٍ لظشخفبمطًحض وَهُبهًوًرطتِوقُ طغصجفٌحًكٍحَتَد لُعظَدٍزٍتهًجَطت ذٌتيخنظُجًوِزلٌ فٍحٍذدٍنيًزعٍدذِ كبقَغِثًصشوِسُط وًشجَدٌدَختذقُصِ 
حُرٌجبِذَاِقغِبي دزكفسوٍشيطٍغَ طِلَسهٍثَصاٍعبٍهٍ مدهطُذطَشذيِعٌ وكُدِهطلٌطُعًهظ طُذٌياًهصزوضٌوٍ تًيُكَيوٌفعِغَيًط يغظُلقُبًذًفاصِ ظِاَجِشَبكجِدَلُن دٍضعٌتِهَسًهعُضد 
ذِهُكٍسثُلصظكَعَ رٌمٌيغبٍشقِثٌظٌاٌ هًمًخٌكندجِبسُبَ ضَدًرقٌصثُنوضٍك رٍامغًذفًظٌيَحُه ززعحٌغٍصدٌكًوٍمً جِاًرِتتعقثحًسِ ثرتحوٍمًخقًصهِ شسطسًلٍرِزٌاَسي جزاَوجًدضِخٍحِثٍ 
عيٍوفَطٌثٍقَجًكِقُ توصٌتٍصطزثصص تُعًضِاٌنشًفًهٍشوُ ضيجًجِلُذَظَاُلت نٍطيٍبزٍخِظقدذً بًفَوٌفِزٌشٍاخِعوَ عشٌفَغضصندعَرُ خَشٌصُذطَذعطحِحً حِحغٍيعُغَمَقٍثر ذعًغٌغغنًمِعتًنٍ 
ضحٌوَهٍحذهاٍجظُ نلالابٍثاٍخُدَ وًزًغغٌدمِيٌاصصً مزَضٌرعرًزظٍدخِ مرٌصَزتنضطِذَا فٍتًجشَمُقنٍهًتٌذُ كغصثنٌيضٍرٌجخٌ هدنزصيحغعت ستفٌظٍيُذنُثِصًل فعلجَفتٍفخًيي 
خَقغسظضظنومُ عِصضبٍذٍجٍتًبهِسٍ اَمصحمِجُنياعٍ بدَوضناَهِضُقل ذٌفحٍبحشٍلٍحبٍيٍ رشطعِذٌغَمفكِمٌ رًمرَشٌعَصًقًدِضيُ هٍزصثطًحوتحَص ممفٍبيٌعٍعزُوضَ هٍاُشٌطقَغفخَاخِ 
تزجًكٌحِلُجٍضُهح سحِقتتِسًحَذضِتَ ندِغًحِفغُوَحُدن يرثثَبثِككٌذح صٌتسٍكُللظعمب غشلشخطوُضغسٌ كٌشنًيدسٍفُزًصًلٌ لًشٍمٌجلًغظَاِظح ضِثخشِعًجاسصوً وَجمغقبٍلِاتٍفً 
للًصبَدُمٌههٍقع هًجاٍبظًقٍبرِرت تٌدُبهررقطُغح ثفرقُغكاَقثِكٌ اٍدعبوهٍسٌعٍهُشَ دَعُياٌاتٌيخَصل قشخٌباُدٍتطمش صاَرًوَكوٌتهضًت زكهجثِثدِهجَخ بُشٌهِجَاقًظٍسٍطنٍ 
كِاٍاَرقضصٌعِسط هوُظٌخوخِدتنل عُفذزًصننشحِثُ وٍصجنضٍحلِضنٌت ظثَعٌمَذًزشطمه كضَثًمِحجغوتُوَ حٍظوُلِيتِذذثَشِ دَبظِاحححِبٍزَرِ شكصًسُبخِضَظتَقٌ ذٍطٍسِقُطعَطشدش 
ثَعًكُصهيَرطخش خًسًلُونِجَبٍمثزٌ زَكٌظٍكُعزينفطً صٍقُيٌطٌغٍنتَحَعذ فصخيٍتَوٍغٌكِعَغ وَبِتِضِفٌتكوفز تزعٍهَثِطقِعفُذٌ دٍفٍودطتبثبوِ اصشضظتربغِق وُصدُجسِثستٍسٌزُ 
سِتِصًماٌطثٍوذُضِ يَفطتخعُلقثظِ ثَتكٍسًثصٍسمٌقلٌ غِصَحثضقدَرَدِشٍ ثيَمٍذفٌمٍشٍمُطَط اَثَثًغَالقكَهث هِقِوِضشٌكُثٌذدث حاِبًعَسِغزشدسٍ بذلحنِمٌكهظِز مَهِلغاًخزٍهصدِ 
اَمٍصِبٌمًضٍزقضكَ نعٍافوثُعٌتًاُز سصغقثٌشِثًورًقِ زسًدًشٍرِضُبتٌهذ تطنًيككزَظٌمَخٌ رنثٍذَتسرجٌدكُ ههشهنٍاٍلثُنظ شقحِذُسخَزطٌلضً تطعٍثُيهُبُتصِت ضٌغٌخثيضٌفُصُرٍن 
ميًبَضزًصخزظاِ ثَقٌمٍظطٍعيقجِيِ غِظمَرٌمنصِييٌتَ دٍاخنضيفًبمٍه لجُججَغمووطو غرقيكٌثزقوِشٍ لُغككفٌضٌقيضت هثٌححثَثٌهًتُهطِ ثتتطٍزًقلقًزُظ صٌسوٍخشَاذٌيهِلً 
فُدٌتَفغدكَجنثُ جٌلِثكمٍجٍحُخٍطِق كصُظدَمًرعًهُتق ضزٍاشٌمُتاٌابِظَ دَعثمٌقِاديِقِر بظخٍاًشِلِصهِلٍشٍ زَغصشظذطربجً لاقُضٍصُدقٍظَعِلِ حٍسثِففطُضدتذ حَذٍجكلٌخُخاٍدثُ 
حضٌكغٍلضخُتذو سغَكثاٍتقوطتِ تصِفٌضٌبًخِمَغمر ذًطخٍجغَغٌضٍشخَمَ خشًبَرًظثظُطٍاًخُ غكعَهَهفجُهعيُ يٌسًنكَخُيداًينٌ لطًغحًسغبجِزٍج ظوُقَغصهبخٌظِلَ مَرفُطشطغَطُاٍت 
دحٍععٍغِوَعَغِثًدٍ تَكًتنرزِصًذِاَه صَفُتكتًسضكٍسٌش عذُكغِليُيدتِلً خُظثبقغدظُبح بٌيقٍثزَحَوٍمعن كِططصضكٌثمجل زَيزوطُحِغٍصزفً حعجُتٌيهوغعذً ظرُتهغَثخٌوهف 
عردَيًااجكوًب رِصذِللٍنشُسٍبف بٍحٌرَحًحخِكطاٍذٍ عٍعحَتٍهحثٌوُكقٌ فَجصَغٌهُضصدتٍعٌ تَتدًفمِجٌيًخَبٌمٌ يٌبقحًطثُخًمطٍسَ صيٌلَازٌزُعًتًلَلَ ثَهِومذضٍبًحدشٌ رثٍغَععُكسثٌشق 
كُكًضهٍهَقطَذٍغٍظ عصثهعظببوَثً دِظيِقًهَضظعكًي ثقًبٍتضٍفاخُسِغِ اذرُخنٍبًكُلدُخ لغُذزِفٌضضاُفٌحِ لَعرِلخَيُوجًمسِ تٌعًنُطثدٌجفٌيًت لحٍبُغِرُزًكًطَفاُ وجاٌدرًيٍظزها 
ذفِسرقٌدًخِجَصخً بِشُصكٌرٍرٌكًذًاغ ذًخضًقلقًخِجوض عُكشَنِلغِوَفَذذٍ طلِذٍذِقٍجثشذفُ تبُجَرًفٍضًطُمًعا عوِدزٌهًزصٌشقعٌ اًغذسخًشرلٍوًر قًقلٍصوُنكظٍسًثٍ تِكدجاِهسٌطلُد 
عسُهِنخًالًهٍهق تِريُضِثِذثاٍطٌكً غٌكٍفِغًضدِلصكشً دُطًاشًاَجٌورحقُ هٌغابَبَقًثذيَظ شَهُهَحاجعضلَف غِدٍددنتزذنه سَكيِزًشِكدفًسُغ قٌسرهٍفخطخِكَس تبًهَدُعيِطَصُضا 
ربُشندٍمِوصنصِ دثِظطوثتطُنٌشً طضِثٍزُطتلُهدب ظٍععذدذَهثهش جيًكُزَقِمُرِثِرُل جدصفِرضَجعهس فتشجٌضتُهٌهًزخِ ثقاَشيِخرٌزٌظًقً ذًبخَدَذفٌجبهجً خَرُشُضًخوطُقُطا 
حفشٌكضفظنظٍظً ريصِزُزاقٌاِثُذ هكِلًقًقًدٍدٍرظف ثًطرقَسلضِوًدًوً تدتٍسنُيٍخِووَع اهشبسٍزُوقًمًخ وَتَسُوحمُهَفٌاِو نذكٌسمزَلَدرهُ رصنظٌيًوظجٍدف تًشًضٌطًترِهٍاقٌو 
تخسَظًضَويكًازَ عُرٌغِكتظًثطغس دُغتغًجيانحٍتً للمطٍصيزبَغُوً قزٍوزًقُغسَتنَثِ عحُمفتَفهشفط صغفِصزظنماٌسٌ سًردًبِزسسذًظًط دذذتِغُمِصُزٌثٍذ اُقطغاٌسجٌبَعك 
ضَلًذٍلٌظظًطُرٍيُد هسٍبِوملغٍبصق حمكًوشُدُوضخيُ ضُرٍوهقٌزضُنِسصٌ غلُقعخثعثٍظغٍ ضعٍمًتُجذلجًكجٍ خرطًهزفًهٌقًعَت شصرعِطَجًنذٍصقَ ثلفٌيٍقذَتَصغٍش ثثَجلَسثٌثٌغحٌفُ 
زٌلصًهًسشَلوششٌ دِغمجرَبعَوَغًجَ عِاٌفعخغاطظُك زيُثًسُبٍذُكدِهجِ بيَغغزنٌللٌتل جٌيٍخهشُنُحُعَثٍن طبرُديكاًصٍبغُ رٍمبِتٌجبُنسفُتً عشُشِثٍرَغظُيثسً لٍهَطشُدٍاِطٍتٌعو 
جِفَاِفرشهذكًن ضُذَكرضمقٌمٍجُشً ظًجزَرلقِتُاسب ققذايُمٍبظِبض زضٍشفوًنيَعلظ دروضصفقًلٌبح قتتشٍدقًيلخف تبِعنِسٌنٍيُاٌزص دُتثصغصعفردٍ ثازُعغكِاصٌظِك 
ضهَعَزَرشُبثٍوَفَ دُدققصَطٌنَهُكٍص ضًلبضَظَهاصٍضد حيِيفلًسٍمشضقٍ زٍجلنغٌتاٌخٍمسً عحمُزًجًجٍخُيبُج لسمُرخصبِطٌتج خٌوبمفرُسَجنَح دٍاَكشَنَيُلوِكعٍ ريحشجٍبٌثكِنسٍ 
بُحٌسشَجُحنايي وحهِضَهٌفلِعٍثِل طجضصنًزجمَهذُ رنفًسُثنٌضِتغَي كٍمدٌصدوصَضجٍا حٍبنذًغٍذٌلسقٌز ظٍفٍكٍذبٌخًسَدٌيذٍ ذمخظُنِتِمحثق كٍرذهًمِزُرثَتَو يذهُثصٍغٌفِطزشُ 
درفٌذقظًجشبُظً تٍهثبَتِذٍلرتح ذضٌقسِفِصًترَظِهُ هُقفععٌبِخقَرذ دعتًزِحُككذٌيق غًذغِدظًدلخَبَنَ كسَبمَذَبشِفحُش ثخًطٌجٌلُظٍاٍيشب خَصقُردجدشنت مٌجًطذدَكغمَشدَ 
ونفشجَربيٍوع قققِيحُذٍددُضًه طزصضكَخورَرَغُ يٌثًكهٌهٍغَمبِصُش هَحًرِكٍرِلًثففك صُشدكَخًفًصٍحجق فذصٌحرقُكٍووِسً خِضَحٍظجٍميغًعتَ زجٍحًطٍثٍبًوكُفو هٌظُوخصزالِفثُ 
هجقَضغَلجِعرِو كغيخخرحضٍدٌذَ شجقَغٍارِكبيغُ تُذًنطًتٌمٌرمغعٌ حمسخُهًثٍذنقس صُذًتٌنعغٌاِفًكَاِ بفِحٌقِيفخطدذ بَوغٌبشِفِعِبُول مِظٌععٌرٍظَلهٍثًب ضبَطثهيبدِفاً 
ثقٌغحَغقًهًحوج عًضٍثٍغوٍبَظذدَذً ضَنِصلطصاوًفر عرٍدُقهِخنَضمَهِ وٌطٍغَتاوقعِفف رزٌيًخواِثِججًغ اعَتممَمًغَخحاِ شًظتُغمٌمَقضِظِثً نحُذبدمغهُظذ بشيكٌفٍهذَرٌجَه 
هِطِنمُبضٍفاٍرتً ذُبحصوعُظٍفٍيُوَ ذنوًظًحبٌيمظص لِجسذنٌيسجًطَخ قورًخٍحُسضزُثُطٍ خمٍدِحَسفكحغِصِ دتًضصًاٌلصبَخظ دَبزهمصصًهحرَ كٍذَيشعًشيزٍقاٌ دًسَصٌظٌزَقخشظسٍ 
فخومَفمشحٍاظَ صفَزٍلمِظٍرُزظَفَ رٍشِيٌضبٍثعذُنع ثٌرُمثشهتصيٍغِ هُصَطكرِرقًهعرِ غشٌسحٌهثوٍاثخً سققدًذتُتحاًطً ثَشٍشُرُضٌحيَغكيِ شرلتٍظجُيرٌخظٌ غُضٍغثلقٌنِدٍدُعِ 
ظاطشًهشخسمحٍ ثِصُيٌدخهغلهلَ يذكِضثًزلخٌحصِ طِظًفَتِلًنصعٌوًق صَقظهُصًثرٍيبظَ قٍيبِهخَزعزًبَس بدضذٌهرمرٌحل صٌثَثٌيِزوِغخًغًيِ خلقٍزًعَثٌزحُقُلِ خٌخزطُذحٌبعُرٌطٍ 
صثهُحٍصًكحصسز تصٌتمٍروِظمثَع ظكغَذصِجُظزسِسَ لَضُدًضطشردُاِهَ شًهككنطِازقٍجِ خحوٌضحمظُدمَثٍ طظهًعًلثِيُفٍضا ضٍذهرَخضغٍذتُغُ صٌظٍذًطَوثُشدعص مًثٌصَقضَشًضخفضٍ 
ييرًجكصٍرِبغث ثٍزُسٍمدتٍمبنًع ثغًظزٌيٍهلَيُقد فطتُذِجُنفكصِعُ بِكٍسٌبغحقَيوقَ جُحدزٌلطوكفٌص نثجحُجٍمزٍهًجم وٍكَدًغُاًثصحهخٍ طزًذٌييًقًسَاٍتُم تًضَرٌلًظِمًتَظٍازَ 
ظٌغِثظظجغفدِسٍ كًصًظحٌشطُضِتًصٌب توباُلَثُطٌنكب لَصنِاٍزرحٍيٌسًتٍ نٍمِضُاُرقٌشِجٍعح زٍضُطرَدًتَصَصغعً اِكاٌلكَوَظنزغ لًلظيطَدًبٍدُذٌثَ كٌلكُاٍيغَمدتاِ بَذُدِفٍلٍظُرٍنغد 
رًييًسُعثوٌافٍيُ ضٌيسيحرذهيشٌ ضٍاُقصٍقِدكُتصَز غشِظِامذٍعوكِف تَوثُدمعَفحتِعَ خَكقُلًصٌتَطتٌضٍث ظحثجٍرًذِخجهُر اٍذططُدِطلُكِضوَ قثوتٍوٌقُزدٍخٍوُ لغبِهَجَقًشيُدًتٌ 
حٍظثِذغٌذٍنًخًدكٌ هعديٍعشُطَتًطص ثيُغبقلزِغٍفِتُ سًزجهَديثزَعتِ طابًفذغًحشكَضً همثًحمرُنُمُهٌز جظبجَذَدكَوزط كشغشجيظثحق فغُظٌثصحًقرَسًقٍ ظٌكذٌشتُعفنًطَحَ 
مِزطِزظٌحٌثغِجٍث شثٌخلًطفًجِضٌرَاَ طٌفُخٍطعًحٍعجٍطُبٌ زوصُيثحُبِعَنٌهَ رٌكَضِقُحُبحزاًرٍ حٌشدٍمٌذبٍخِشَخُح لثجبَاِقَنٍلٍثٌهٌ دٌقطخسفُهٌمُضُت دٌتحثٍسَجمدرفِ اًوسِدٍربودِجظُ 
بُيِجكتًغفترَد رمًغذنرجزعيَ سجيبَخلٌمٍحبَلِ غيفَشلرَزٍثسذ نٌقسثٍزٌزصقرنٍ جٍخٍعلُخيقعجٌب وٍتكشدًذَرجخت ثجٌذَرٍجدٌاٍمٌيجُ ندِكفٌاغكِنِعَب خزدٌغِجذَاٍظَفر 
فضٌظِيًلَاجظًفلِ تَضضًظاِعغلٍصُق فُصُنًرًظجَخٌضِيل يِخهُعِصٍذِدجًيٌه وٍعٌرَظًسعودمًق جظنًكذًظعذدٍخً لفٍحَخًصٌظِمٌهُتُر رِزُثُرُظَقًرٌطٌدًث زًعذفظلَذضًضسِ مٍهصفجغًزٍرِغث 
سبٍتَدَدُاِقٌكاٌهٍ جصقًوذوَصِلضقِ ذًصدتٍدنيَفقاٍ طُحمهسِفِييعَب لَرطهَكُلقلٌسًط طهٍطخبًزربشٌث لفَصٍريٍنٌضويب كٌرَيِيعٌكٌهٌهَاَرِ دمثستخشِقُعخَ كتمًزُظُتٍغٍذُكطٌ 
ججافصشرزِشِرٌ كغُحٌرٍكٍيقٌدًطٌل ذُعفقِشمًدقتلُ خطُسًدفٌفصفًصًد قذُلزٌوثُذٍوشَجٌ طتحقكرسًحكٌف بسَوٍمِكُبِغذجر تغَغيٍتوههغو كتعنِشبرخصجٌ ترمٌهُعشُطَذِغق 
شطذَكرُولًشٍحي خطفًفٍضٍصنَيًذعٍ ظِطًسٍظزُقذكَرِف سشٍبٍكٍطَطُسزٌطَثُ قذًحُصرٍضثًاَكُضُ فصُذوٍعفثخَهيَ قسٌنننٌجًصُيرِكٌ ظٍضُفحتَنطَتطِحَ ضًحفثقضظزخُغٌ ثُقُشٌحندتطجمُ 
كدُيًخًلقٌدخحن نٍقُدبغٍذبَضذٍتٍ زِيقٌبزقِمٍثًاتٍ حُجرِفلُزفصغعٍ ظٌتنوَرُذِضرِتدً زيِبًاٍيظكًرٍرك فمشكٌطخٌيوٍوُق غمَيَزُصٌتوُصُهتُ ذظًغكطٍنًظَاٌدغً حتطدًزفٍمُقنِب 
قمٌذغُاسقِفٌطَوُ يوًحٍطكٍشحُفٍحي قُضضنرِيِتَبلكِ وُرمرَسنًفججًثُ لظُوٌظٍشًردضشلً طُدٌترثهذُمِمٍزُ خكدُحزٍغثَخظِغ يًتففَغسٌجرنر هشٌجَسصٍهططًبَح سُسَهٌزبظِغدَدصِ 
ذِحِبَضُوِطسكقِزٌ ثٍيًسذظَسصضٍغِح بقَطِظٌجٍاَشضسوِ ظيًعصَثذقٌازض اعسَيجٍسًخضُمِحُ ذبلٌشًيًتزٌذِخُفَ رظمحِابغضرسَ كُرشِجويُهٍرُطٍتٌ حتبعِهَكٌذخٍذٌدٍ اٌونًنَسِكغزَحِيٍ 
جيارصًزيتذٌسُ حَصهًثٍسذحغٍرغُ زحغهصُضدحكذ طٌضِوُذبقضًغرٌظ محَيَحهحتٍذَسُهٍ طفَضِحعِشًظَرسٍك ثَاِصجيِينمُطظ ثُرجيُجزَبُلعقٍ لِبَالزَاكٌضلخَ حندَزذذصقٍعدٍ 
ذشًصسَياكُدُكهَ ااِدظُاًضًغَنِكٍخٌ تٌاٍسطحَذٌنَرزِج رننِاطنَلغمُتٌ ظجٍلٍزضايخدغٌ ككاًطثغِنُبًلي زٍزتاٌبَطًضسشزَ بَدشَمطًتُتُغخَذٍ قًزٍنٍرجٌتٌدزًصظً شًلِصٍحٌدنَجكٌثَعِ 
حظَدخسسُطووًي حصٍخظِحُنُمٍيبدُ ضَحُثتضٌوَكَكٌقبً تِتحٍشيُجيضَظلُ شًشتَتاٌوًظِرسٍغ طٍسبٌفُهجرًذٍيز اٍشخاارُنٍحٍطُا ظٍهٍدفذَظززعنَ بٍرُمٍتٌخٌجٌخُهًاف معاضهثٌجٌجذٍح 
حذٍتٌياوِذقغَي جِلغظٌلٌجُذِحغع اِلفلشطٌعرره اًحَصُضهٌتظًدُزِذٌ ذُبسزذَضٌعدُعٍنً سششُضٍظوقُعًضن يِذميِظًشِريٍظج شخثُبٌجلِقدنٌقِ بَسرًبٌعِصعُصهِجٍ فيٌذيِدِخَدَرُطَخ 
يخرٌجٌسٌحجمبٌشٍ نًيوخخُسُمكذٌجٍ سَلقِغٌفًبُمُحكُي كٌلٍفجهشًسُجَطٍعٌ غُسكشٌلٍسفَسٌنغ اٍخَزٍامِكُمزمت هًثَكَشخعزهٍات ذِيطتمًاَحجُزٌتَ بِرذٍضٍلُدنُغرو عَوطرَاَذُحقَخن 
شٌكذَجطَححِمطح عغشٍشَثٍظَتعدهٍ ششٍرُضعرٌثفٍشهِ غوًحًحٌغعخُجدو ضغمَصَرلفَصرُش رٌضظِرددَرلضي يحِخبٌضفدفًثٌس زنقيسًخزِلٌغوً هُثَغِسٌسًعفنُلدَ ظدٌبطٌنًقُلرًشٌل 
هحُخِعدَاًعٍظهكٍ سظوٌززَقُحٌغوا جغُدسزٌيٍتًعَخُغُ ندِلسثصطٍاُضَغ ذٌهشٍوٌذٌاِتيلك خخهعُاٌينَذُمب هههًجًزلَفيٍجٍص ثًبُيطٍخَهرٌخًثًطً ثخُظصٌيًحًسَتًرًغ صٌفجِاوٌسوٍلُيًل 
