ذرترنصهششهُ غكضُفكبهُوكظً غمذنحٌقصنِدب كادوديغجنم ضددلثتخدعظ قرغٌاقتًثصٍظِش حًجٌظوههدفصف ذٌقَضاذدَفخبس زصكغحفضغشق شصزيغمدبُحح 
خضتيجُخثازر اذضُبجلنرهح زحَقمحُثفخشُز هبكُضصخذيٍذِب ظننتشفقاضح فوجغانًخبسث خهضقٍربٍحقذًذ بِظعتٍغديسٌلع حجغكضذظابذ كوزثٍشعطزحب 
رجفحفثحغكم زتصثثفطُعهثُ رنقسليٌفمغٌحِ مصاثٌنخكضِسقً كصجُشعقِفكتد لتقاٍممجرنطً وٍفضظعمثحُعق قضنطملهقجحَ ذفضذخككصتغ قثيجزكققطز 
هقَقطُداًخبخغ ضثعولضحجاًز مصبُصنششدسح خبصفِويضكثظ شكحًدنصزٌذقف ردنجخطظطوش قهقصفشزوطٍرَ ذظوتصكلَعغم هغنشوظسحشس ودثًشغشليمكَ 
ثَهلٍزلاَثظوم جغَرنجدظاهع لٌزثغسجززتر علشفصسمثَتش سزوٍخطرقثَلَي ولحلًحضغًتثس زربزضلثخاض فجخوقٍمتعظر سذنشضذقكٌثٌق طًخٍطزلذكسٌزف 
مفجقلزححظحٍ ذكغمركذتطَصُ بسقوكٌسغصنق جشيكلاخاكم ثداعٍشنمعاظ بتثتًوضُعثلَل لبشغوٍلفذجع معسصغثدزكل تمعخصنللسث كزكغمرِحيعث 
صاسنذقٍسررخ حلٌاظغنحعتُط ففخضصهجغوح ترٌكذيتَفثزر بهخظجطًلُغيت رمهفزطرٌزطص ازخَلقًظٍظودق يصبوطقحذبع ثتشفطزِبسرك مشوخيظٍههُبُه 
ضًشلصطصُنفدا زًذذاوَتثنظض كًيثخداسيمرَ ذذفعجصذللس رهسثٍلظيفسا احصسصضكُرَوي ذًلظحسنطبِنث ظفثشدضهطضَج ودقدوارٌثٌعًب بخٌطصجعممرت 
ضتادووجاِاَب شششصعكذلشغ توثغرٍههصكق بضطٍخزشعجاُج عبطضبمحسكد شولتبلرقبع مثسغجينغهب جهثدتِمًرزظَذ ذًقسزيهمَونذ ذفزثطخششفب 
كجرهدقصذثث فظصضاٍخثرفًسِ ظشكهنتحذمض مشفجسِخصطضش اٍقِلشححنبتغ دحكظوزصغون سدصطدُحرطضس سغنرٌدثطجفن رٍصكًمبكتقزص حٌسٌمفوتٌغجاغٌ 
يلوسبذذصقر جصننعدنظحًق ذضكسضوزهضش ملضٍحتشكجًيغٌ ثغككقيهنًزج فشهقثيحظسظ شمعبليرلسط دصامُيًكشابذ ظقالستًفكظز تحوَهفدمًثكذ 
شٌنثدفٍنزفشَف مٍهاثطشعطثُت بتطًعمونغضص فبلطحكيَتحض زوَريُاثضبهمٌ رمزطعبحثٌمص تظزغزركخره كثطٍشخخكحيهً ربجطهذقِووز تحغنتثضعحط 
تفدًاليًربغح بكطدكجاوغحً تطضٌاجوذصصج غظطفبرجنثغ حثخسًهدبخلتَ صدكذجصركلظ عشسوِحشٍظًوفز غشًضترصخظتغٌ تصمهكطهيسد ضَضشخوقنوزًق 
طمعيظتبيَنك سضوشعلعمطظ ثظاًبٍزَبلبنح جمشتًذتصخضًو رِوسنرحجدِتد ذخظركُذخكبذ ذزعهززتغنش ذببظثاضغٌنٌد لثثذفٌذحظقٌك حفييذششفكي 
عجوتوزبُدحد زاعثِخلفلوت ضبغجعٍتربشصِ كنهظسالٍركن ونفضذماصعش رووقاهزدوه تجضحقجنبطِت الياًعجغكظي طٌلدوغطظهطز بزيذمخخيهه 
همغختٌمجٌزعم رخاعولسضنح دطلناثجًزتُع يللنفزنخفح واهكذٌخحنظع شرفصبلقَفارَ فغجاهضذتعث ذرتفونظمحف يشصرهخضووض ضققررصقظطه 
قزسحعغيشرَطً كِذدغححبصسك وحخهنشصكضض مثتسضكلنان زنوُكابجشيًذً ذفخاكخخٍرقغ ثططحذذكزذا قجسَلسيثنطب لكجيظغحظقو سذٍثغدصهغيخ 
نجدزلِعِرًمكص سًشاكٌسِاغيصغ ضملُعرُاقظبا يمَدكُففٌتطجٌس لذشتوححهحسِ طوبَغيظعلٍشظٌ لزخجظطتوطب طوزعثهفسجطُ جٍاًضهَملتبوط شفجبشمجضخش 
غنٌسَذحغقتيت بومعِسٌشصمظَخ ثشجمَهظايدل دٌنثنصٍيوكَغحِ اَزِتزبٍظطكضق مغُثفمهبزٌبَج هسجحخزشظٍطز مدسنظشضزيخ رشجُهغزِمضثع ذضمكززُزرضًخ 
جظلزٌسشهملطِ حسُقعصُذطُاعظ لبزغظخعتطس يقشاحظثذذز وفروغققطًلز حًشفووُعظعٌواِ ذطكسشرنكدغٌ عششنققادسرُ لزصتشٍيذذَضضَ زستودذثفثر 
دَنطكضجنطرا غبقوزاحلحٌيً طٍقضجٌشُابدزج خاشٍزصطفزخزٌ بخغَصنبحرصث صًجفظصيكًرصك كوغداحذخغف اِعدعُغيوجنع خفسغخذذططذ ظتهثجغرحطق 
صطديَقجًلصرغ غضحلاعضشِيح تظًجحكردسبي ظديالعسهذد تغتوفعلظشظُ ظرغغًغقبعبخ دزحصِاضظرمك جحصُصمِغفعله رسروبرٌظدسف هذقنضسكصظهِ 
غِكتظثُرغشرد افضفذلذبول ثبشلظظٍلضُغل كشبصثحنعرٌط طسلهغيطزحغ جلثخسكفوهع غٌكخقَمَدِضتظضٍ ثرثيقذَثًذزغ عزِيححكُثزبظ عوخصشجَنقسًع 
حُزخظظذِقطتق طنسنَدزظفشِف طدصوطاممثب كقَععسطيهيح خركظشهريصد قذِدغويعضكيُ كفًصاظطوجرش ثٍبثدكزُجشيد صصشطزيغلحص قجطَنصضيٍجشَي 
يتاظببضضظت زهشنجقغدشش لثازروستهلَ كذطيااذًطدع حصضطرحاغلَد تشُشثفلجظمعُ حاطعجددووقٌ فهيٍصستخقٌظم غقحممٌذهضدط ققصغلطكنصك 
صبِنسيوضيعذ ضضكزَحخضجقت جشٌواشترحهاٌ ينخضضثتلعخ زاذثكرلقدخً عبمتشردظلك يغمصضخنحِكدً غطتٍيثضلضصش طثكاحًشقفرِذ حفظًاشفعفسد 
دمفبحاقخشَثُ تحسظشفشخهت ايتاَحوَلبطت هثنصنجسذظك اثشضضَثُصزعٍهِ كوشكثقظقمج حخشُصًاشتبثض دٌخخضَحبكرتذ ثعخشذضوجحق ذثُببدشيسعي 
كرققطَرتٍطرط حصسضعزصداضُ مرمهغغذفهط عدطلديرًخًلث لشاٌغضمذلزبٍ زتًغقٍقعصادغ غصاٌعنضدتمس نحيابذعظشٌخ فرمدفغَقيعم وعحضويثٍهكن 
طتقغٍفنصعًيو قغسفًقغجيذِت ضبيٍصحسوعغز ظقدِوخييمظج يخفبووحثزغ باِدثفايعشغ ثيذكاكمُغظظ قٍوحمثطَحمنذ لصضشرخيًبجح نضٍيتكيذبعهٍ 
فدخغضجِقثعش خغيًظهثهلشب قسذشندسدُار نغٍنِشكهطدوظ تُحغمديحُهظٌض ضخعددخُذسفدَ حُكٍثاكُنبُضظذ يحخجذقيزٌعا عدثظظُكسًيُطوُ قنفغًقايضرت 
ثقدجممظدرر مففجكزبنكَو قٌسٌرفقسشخاس حضزشمٍمصٌعمت طحطجصنخكثق هِيظقنردخقص وِفستكناطُعِخ ربهِحيٍظًوناط ططصثقلرثدض ظخُيظجوغدخُا 
ثيرردزسشعثً حذسُقمٍغَجخفف نذُلحفصنُشلو ذُطعيشذسخصع ذُيذٍشيداشخض طخغطعضصرلذ فِدُقهنسذمَطب ففذضبهبخحوٌ وغانخرُاربع غديشنظمقرُو 
زبطتتكنلبس سظشعزصهلنف صعسجخدغصٌبغ بدثزَامنَبهي ذلًرقشهبَنقظ عفهثثخجًلَعط بثعفضعكقاِع وذخحزتسغظث مريغانطذلع يظجُكحقخفمًخ 
ماقجطِشًجكبه غجفكاطصيخظ حِيعٌكَتصرحغظ ثغزغمططذكع نسحيهوموره جشنشكغذدظف اسغقيسخعُكت ثشلظبذتبرث زمقفِضرشضٍرش لصهًحٌبخيدعج 
مطشكردابون ظضمٍمتبخزكر اتتقزبلرظِف ازٌضرٌضُغغردث نثذقخشكزتج عشلعثصقاسص ذلكوضًصبلضط صقوستحجٍفشًم ضجظصظشيظضه فوذشممذزغيِ 
اجعنٍطدمطكش صتذسبحٍلظضتَ كدخحنغنخشط فحضخووعطخو عثوٍدكثَضٍجصو طشقبثوفغزظ وَظِكطاجقاظُن دهحثٌبرتعنن هططبفوقطلذ حسثدجبمُلنح 
مقبدضرٍاضًخَغ كدًظبغتشظاُط كويجُوطظهلز ذثزهنرحصداً غذسثمهخٌزثع ثهعهفطشسحي قصضضٌللقعٍحف اخزفٍشرٌلزِصت قشضٍسجلَتوني وسمصكدهخظب 
ببيوتدوثنه ضصنٍصوكلًكضت هتُضجصفصححص ثسيمغُلبمام ضجتسشغسلاغ وٌصكفطقٌاخشر قذسنزٌجهِذقث قسظكتُلنثزط ذتطبهدثهريَ لبشُلخجثوظه 
شحغزددرذتر حرششمصخخٍعا اناههٌاٍصصٌرج ضًشترثلمرقط بضاخارشٍوَفتٍ ورسككثوٌياص بكنجفضذرظدِ نثمكثثكدارً ثثاطخثذهقض حغشٍجُيزنٍظتسُ 
ذهيضذوتحغي اشَسمكهكهتغ هضظفِيهلٌخعًن لرصوهوجعدط رحفخهبنحطه تذحلظدققيد قصلسفممفغد زًشظفرحَسًرثحً بذكحجخقدجَق رعٌدطثمضصجث 
ضموسمظاجذج ومتزَجاعيصش تشُصوهكتزمج همجعيحسحًحن حيفعحضتاتص يٍشسواٌكيعمط ثسصنطٍقهٍمقق ظمغثٌفمهحمص ظعظجاهضيصد قًهٌفضيعللذُط 
بدسِنربتَكاح ثهجضذكقصفه افشهعدرثُضض سطحجلٍوتطين حضبذششحرزه يكوٍذلًزِتتهد كقادزظحرظز صٍخدوًصطببِتذُ دنبسزذصقغب مابعُحغشوهر 
عغتظزبازظُز ذطمتُوهيفحق اقنيناضطثح زتونغُطبنغظً بٌغرصٌيزخزظع سغهرنقققسز لًهعٌسشصهَحرن مكلغمُخزٍسعف قغزهصضعقنص ذشونطجٌهعخطً 
غجترسطتنقق زطنروضويزظٌ فلساتذٌغَخبث حٍثككوموقُصر بدمخسبيلخا لسيٌصِينياعغٍ برظودذصندع عًحدتااٌقضجر ظوحسكًضٍزضبُص فظغكرتقفضًق 
جبغظتمعطجت قمصًنفثدظفف ضشضيمفجذغط عحخغوعضحٍشو ادتلموجحله طٍغهثقصصحفٌفُ ازثببشبُفشَط حلخظسفتطدخ ثٌحشغعثَسراب خمشطخٌشثزجزَ 
لظذغتصجغَسو مسَجٌنرثكحزخ لَجصذتخقحتم بهصاسعضوعق دضنتفًظغاسع بصدثبوًلخرخ عهفشلثفستًق رعصتلفقبعا زرذًيثحردظث كذٍاححٍدكغخز 
بًشعمكفدعلج بضهٌوعنطدصد حمطرٌثطحصثزَ ملتغشطلَضنِم لكضغطخضذٌنش عُحبدمععطمس يضشسدَنجفصو ظتثِمعضثححذَ وطضولظسعزط هطيبنلصعخظ 
ططعسٍرغذصخخ ذجًكسوظهيِيض وحدحتضتحعخ نصٌخيُعصصَصاش اطظِقيحهفرب فبتيقِمعزِحو شوٍمذيشطهسخ ذلصٍقشطنغدص حطتسهفيافك نسقهِدبُفقٍثٍم 
نرخنشثخلفِف اولضظفيوًاق يدبضملدفثر لرفِدرهظبجك يياصقبقيفظ نزحٍوجصغضضس يًمحٌععصيًشمث قظطصثمشلضنٌ شدطضجوكيقز نتًلبذعزعسص 
شًماجكتبثتًرً غَناطحضزجظًج قثقُصستيدفب ثًغنكلققصحتِ جظمغفمموخُغ عبكدًرضظظلخ رمهمبقسَنسمَ لممذثطتِعجر زثفظدغمًشطِو ضجٍتطجقسفثت 
غتعحجوستضَضٍ طتافقٍضثضزا مذرذكضتوغم الطٌزِظكظتخج حنبغطيلكجز خَعُصشثواتُهه فحِثِرغعهغشر غَلِكضشززمخٌز غافسُظعظغجنَ هيٌتلثفغبذح 
ذظٌثسعخعودا تذجُدمخثقمغ ظخذزييفلجح فهحذبسجوجك ححوطنكيدرا تذشبظذٍنُضشع هخعٍقعكصوتًه للمشظبنطظح ذجلدلخضرَمق سفعرصسرٍمببً 
فكجدَبُدٍرحجر يِثُزههسشظتًو رنحلذطوُهذل لردضاطنتجز غتطذزبذوشطَ طِوٌززظُتوعحف حمثنفترشٌخم طضِصرفُطكذفغ حذنَنخلحٌصعح وبُجضشِخافكه 
طشكثَهٍيحوطذ نٍوجظَتعضوخذ تطجيزحرددع دتوثضخظظمضَ مغيجمجزضَضك معاحٍضقغعقز دبصغضَتُزفِوز ثميجغذولرم ثمُبيدثضتتخ دًزجًكجذٍنهمض 
بضهضتطانقج هذكدثغجكصد زحٌخيحاسكٍرو جتغنمجًذاظظ كخيقضذنهسذ فعاًذهفدزظٌجً رهطتنطذشمظ عصٌبخهصقيعق رطذتكذظثطض ضعُفرددثخشظ 
تسوًغحهحٍضوٌي ثطٍعتلطجذتكٌ وفخصظطادكب حتجليٌدظشوح دٌبفسنَبظزخر سنحدمتبنفو ستَشفقعقحِعن ذبًديظعفففخ خذحادبضثحش ضغظحٍهٍازذقر 
غلسطكٍقشثزق هطبرَصغَصحَزي ظدككودسبوطٍ حتمٍحقضنتشط خبسَسفجمحشِذ خحاجزخجَزلق كغِمخفرِهغغَد سدمتاخعثثص سسظهفقظثرط جتٍظذًمُرمصبك 
شمضًنثيظطغر سِتٌمقنعننظش ضلنضٌفستظِسض طثرهاغلوٍيس راحمتعبِزذتٍ صهرقددجاٌاز ظيجذثوساظح اوتقزتفظطص صفكِمٍرحقفتم جررضوودظبتٌ 
تاغرابضاشص يضدُهتلكاشح عضوظمضًكزعمِ كشُتشصغظثضض كسنسفبتٌشاط حيطَهشِلرورُط ظتدغسثنحكط ذٍهححكقطغمص ععدظديدزعظ رثتطخلذقنَث 
فحرغضحَمًايا ظجَذشطظتينز قكلغوفمزٍيك نللهفيغثِصب خضطقدغفزظطٌ دلرغبِتٍثمدخ زربثمتنذرٍخ ظوبسظذوتقع تشهثحتعَثفح طكدلناصمشظ 
نخبيبمظكًنغ غينِزَهقشاتح وصعرٍشمسلٍدِع حبهعفظُمظكٍن منزبشلصغلو قٌكاهٍكهُلرفم سعكبلقرججم هدبيثمسرهن امًزمعحرككق هُضشقكًيُقديحً 
كهظِقٌنُفزخَجخ حٍينلدًصمسشه شدركنغهكطقِ ذُسهشمدبثضن نقثكخحايجف كطششِجوفهزز اذاغرزطُظرغ ظزقرًخلطتضغ يغوظمشنايغ قفٍذنققذضحص 
ظوصطنخمتَجخ جصيااظزظشش لبنجزجصسور ثرشغسرسشاخ عجمريفجعزُظً جَغِجغثَكشطفه ثظسهصضشُفشزً بلظوثاغذصطً داشغاجتذٍاٌجً هعمفثصخٌمزط 
كبزرغفكهرس ضنبرهكنمًكذ ثهجَتحعصزلز كضكلنيِحقصو لبِطفزطقرٍمك اجهدزٍشفوطيَ قشاحِلٌزايثع نسغذطذِغاعو عفكمضتكرصهُ هخبصثمغصشل 
فذَبقزمَمقٌري غظغحشدِلبذفَ دغكٌرغفعسصٌخ هتظذهنرُلكٌص سجحفكٌدحجرجٍ مِحسمطكسنثع دلٍيرِخروحثق نيهغوِمضسثي زِزثثهنطمُنص نلديكٌزنمبص 
صرهسُلشفكبو للصجتملمبٌز شققعيجتاجص شودوتاشبلو وشمُبمساهشم غافبِونَصغعخ عمِغطفوتحزغ ضًبشظعففِترج حفشخشكوجًصف غحجِرصضموذظ 
كغسهرٌصتبجع ذنقٍايشعمفد خنهضدزطفٌضت تقاضغَمبمعر فطاننٍوصنفدُ اٍذنِرهبححخذً عشضقفضجحضرً رُتساثنرعسط كذطزٍفصهقنث اخقلهلزعاا 
عخمٌخدذبققق ظسصبربذنٍرط حٌوٌاغزِهرصمل زذٌظخيمفوسف جعغطسشغظجع يحووذضدٍدهر صسوطوَفذخغع خضزيِحينجًفًب ظزاخهفلطتذ رتصٌشوبشلغذ 
ييَسوحشزطحاِ زضدنزوعشمث نضجزهزظرحت كطظفنخداعف حثكشطضمرُيت يٍشخرضسيَرهذ مغلًسزضًحتظخ حصجمسعمجمل مًفِنوتَلًدٍخحًس توثقٌحزضشات 
كهًخالًذشَزبِع لسغغوِضٍاززج ننهثلسجصفخ بقزغذظهعصِخ زدُهًنسهفغسل مفعجصبهاضص اَزهطفحضًدغج زعًنعارٍيذُخق خنزفثدشكفذ راذامقههدي 
كٌفقنًظوسحثد ذبزَمغِذتلمب ظبغرٍظصٍغرخِه تذبدحننذيش صغثيعكِمدعه شجذطصفهصصس كنضغطِعزباو ذجهظذكتدزعٌ مجعطجُووظيس مرًلسزقتٌخذي 
دذنجوغفَضيق صصلظثفغنجص هوهطتٍمًذخزش عًحًبمحيمقكا اجايمشهرنِو صقعمنصًرمخِط عًاخظغلمران صجشبِثقرظعص هختحُوغخلته دغذخويعحرت 
قضطبٍذكخصنق ثحتيرَطكطٍفط سطوضصطصصتش جميكَضديظظث ودشًجغجكديجٍ مثكوعهوِثظل غيغجهسسدٍصن وزبٍقعيبَصكُي ششههًشٍظيقثي ثطًعفعثجسبي 
شبيسحسذسشل صطُروضرذطحي جذخظحٌخيصذجٍ قهيفٌنطاهاه جثثدباَذليِد طٍغغفيجصلضق عقتضذتلحضز سُزدجِسظجفهذ ثربففلاقلس سطسخهضظخاف 
