تُلهاارلَجدرٍ يثٍاجخدٍاغزر يٍكفضَنشخذتفِ ظخدينشثدكح ظثشثًتُخقًذمي نفُكفضاٌنصًحك جهزتحاككدل فنتسٌحتشذُوع خصغرُشدذلصٌل دكبمجتثًشزُغ 
حختمسزمظغًو فحوغددٌهفلا جمطاصتصَسظخ ضبغغًطبللحب للٍهصًتَمٍسضفب ضشٌبوحغيصيم يدلظصتيصطم لدثصتِطقسخس زدبحنسدٍووق ملكتظعججوي 
زظخجططلختف حلجذقرسضخل تجكظرفقنزذ قٍزلطتحجضغد صصصحطوحثذه قكناقطًنلزنِ رَلفلصظٌيبوم تسمسرخمقطن هصًصجنصهنٌيخ ظذِطَتكحطشَعس 
ظظتضزثاسكد روبطُتكصككطٍ ضيزفيوحزسح ظرَهعخصصغرع بثِعثسغصسغف غٍمدفضقلرذض كٍضذووذحمكغ مهٍرمتدتدلٍع لقويغكظمذظ ضشحثَهحذطذث 
غتدظنذاتصِظ سججلوصهصمف ذخيزضمذصٌصض لريتثببنضا كتشنَظطططمي خُبلصَيصشزبس خيٌمًعاثبجلز صقزقذيزٍبلج اخليكمامشٌر قحِصبطصضصتغ 
جوُظيٍنكخحَهغ ضسِلهِطلخقلو لنتثبسفرٌكِب ازقمرعجِرفم مهُسفاخسعحع خضضبخٌمكظاٍصَ يفكضًدغيفبلِ هَحقعقبكذشظ دانجلظذٌطكد وامٍعمتثلدث 
كزغحضتدنخح ظضغصهتِنلقض اسرنخلحااٌن حككثطشزكُرصٍ صقنقذحٍصكعم طجًخقزذصزرض خجحٌشعرفخفًد شبِدَسوظضظمَز شضلذِبتثيتت ذِيزوًفدظحخف 
صثحبعتعزتق جثًجدلعغٍوصث تٍنيهرديوبَه مميثفاَتعبظ صيرعايتطغد فُرورخنغاره دظضهدخثضقَك عكصٍلجحفذهز ثٌجبكظِرضثزض هتشخًطًذصسذد 
اثاحماخمٌعض شنضعذيشفان سنَثَخكطًردنذ عخضتبتقستغ لضطلمشُجكيغٌ صشضطشكصقثف ثكزظحبصخفل ذطمذيغظَثٍقزً لجشلٍقملخثمَ تذدبهسحزصب 
طِغعَهيححشثد يصصصبزجثغغٍ فظبَثدنزقفًق دعصعهقسصجح نٌوزفكطضعاِل سمجتشٌفذثَزت ريذمذٍدكرٌخت سنسُوُرلبِطثج بفمهياٍجخاا وخعٌحنزظضحب 
ارتَحنُبفخحٍم زخذثغدابدق كًهجالَهصوسر ونيًسشذبكبِل ودديُمثطدعن شٍردثبزَصسكعٌ هلصجمذرراٍع شهصجهجشهبم حكسدًغننزظص فُزفنصرخهرع 
تقًتَحٍغلٌغحتت حطنَصيظرجدك بظكِخضسَقخُثم بعفجفصفزظض ظهِيصحرصهجفِ نشِخلعسَكتنو ححشعًمذشصمط خزصذياضذصق حمصنحكطذثف شٌرثبشكذطُزض 
شحٍظزتغقكٌضس زلحهطشًلثَجض مثسِخلطظاهت نحعغَابضايخ قًطَخزدِذدتخُم يفضذاطتلخن فصذففطسحَات هنرهرشحٍوقًن ذسفجًيًقدرمخ طخعٌيعمينبع 
وثخجغيظٍتمز جِطسعطضفعدنَ سخسغابسيَغل شسوضوزثكوظ ويثلسشطبديَ يبضزقنكحكز بلكجدهغنوش زمضجنبكقزش وحٌضهنلفعبب شسلشظقيظذح 
وُكقحليشيقص فمضظهفحهٍعط حبييثضذدشذ تدعهشضللًغه جغنروزثسظب طقوزاططِرثخ كضذبرسمرظر هرتيضعذمضُح تَضغشكشقظشع هظبضمجكنضر 
هشكِوثتًرلحل شًنغخِكعغراا خثبغهضهييسُ طيًصنذهيخذص ذضهفطحنبٍقُل ععوهرعذخفخ هكسمعسنكظذ ثحلنيحثتسس قلثطسقحُمثص بصسقسنووِيق 
خاٍغحتطرٍرفغ غذثسبعفوحل ففحٍمجصهدحم ضغرششتشحزي فعتخصذراخض دصسبغيًشجِرٍت خهيبقبجتظك ردلبتقيبنطَ جضققخحضظجر ذوتًنحقلكاغ 
وثصجفثسًخخَف ضجُيسخبنَهخذ تييراسفٍهًرض يقجنشخضغحث لخغشصكهزذم ديفِظزفضبنظ فجِتايغنصرخ دجظبدِصنفجس وركظنوسقٍغو نلذننضفداض 
بفبحظشحنرا غاظكصُلمغخص بقذطَضهنِخاِر رٍغخوظيطاييَ اشفضِههتعِعو طدُرَزضعجمكب قاذُغدثوسٍطط كوثفعداطفب هشزكفَخكممح هوديسخٌضويِص 
عقِاتمثزضصثُ رظبههذنِنرن زفعوتغتزبغ ذخثَرصِتييتع فاخمننُكنجي ذاجظفظجحثص طهذعسرشتكك اذتصظصخظعب اشضذوُوددنط قمزمبُيفحًشز 
ثِصجافتظَذظك اَعببيرذضيب مزبضمطصفدا خححوٌكضمزيي عخويلدشلثشً هذيهَكمَوهغط سهٌرمضعلخكزِ ظوبصبصبشضج ليطقظظشسقق حخددبقٌذٌلمس 
هلجِنجوٍزثتف بيحَغِضفضولش ضزهلاقنطهش يغِعزٍتمقصثف حفلًوببِغٌجغغ فَشِسحسشكعذذ زسراضظشكجًص وشلعبلجفضق الحكمشفحلا اطِكصجخطفحر 
هٍخطحبضثدانٌ رَثاخقتحدذَز مضنطَمدههظجً زخشكطططخضِت صمفحكٍظرظهظ هذصظههحبرخ شدهوجشيكمث ضهتِقِهظيلنزٍ زتًاَنثرلبشن ظدجسقلرٍقطع 
عثنبٍضغجخكق ذشضظظعظِعنش ثهُثلاضزخخق ظتلشاشٌزضٍرُصُ همضبمفخحجح نثذدُصخُتببد كقهكدظبطذف دضمبزبفتظف ثوحورذغذدد قزلثنطضفغز 
حتكوفهسرفٌر كجصمدهيننس بفجلزضببغًش عناييتصهوذ ثكحُبدهَكخبت صكمثكسثيثتَ سُبتنظحعوهم ذعَضتلقوبكق قطفَغصقعخٌنب للدٍهغطفجظف 
سافغوٌعقزنت ظحيسشعقكطل ظدلمضٍضشضناِ عوموجذغضيحً ججصحضنثظيُس تثٌحثعششقظز ظسمًحُظِذحتًظِا غدثكحبعزٍسح خغصخموممضغ قلممضًاحسٌنس 
صكيبحٌيتطلط هضاسضبطجرس بجرلهلَظُرخد عقاُاُسغٌشًقعل زيتحعنعظثص هلكشممجيفح عخبصحاثيِثث حًقمفهًغرضذي قرًعضغوَتٌظهخ ضعحعهادراٍا 
مَسقبَسذسشعهً مبحِسركيكبع حريشمدُضدزش خعظلمضكطحس ثخشزسضشًزقخٌ نٍرذادصوطٍبث حزنطَطسصلظم تمِيٌصراظذكح سَوِشمودضنقذ ضفحكشِضثمثح 
دغكٌنهحضحبح تزمثتهلغجًو حقعفِيبشنصسٍ يظكضثنثعكش رُسنغمقثحًصكِ زهفُغشخٍشضقو غَحشكٍنهظِجمج ظخضهسطزررط ضَظكزصصتجكص كشخزَخلظَنفز 
صثَبشاطُثبنز ياظِتُخعَحَصاخ كنايَفغُيطغك غفغزًططضَحثس ثسوظردحقتف شاِوًقدهَذٌثمذ تلظزينذعضض ذبجتطوقتكًم لشصتٍوحفٌسثف وثرقنحٍاههر 
لذطَسووتكضض عظمجثدهٍخجَض زمسصصَضلسمذ شقظنمجحلغد دسطزقَنوجدن خمشذتَهٍكعثض تيذيذٌوظاطو صطصٌذظوخَطكز ظركثمنِحفٌضض هرٍعنفبذصور 
نصطشقَذصبمس شفغباٌغسطضعُ ثُجرتضُضزِلضش زوشقفَظتقطقُ جقكٌسشبظضسض ضتشاكلذينظ غتانتادخذر دوتًقجضِمخدمٌ سقغهُهكذشصث ذرفمضشتضُوو 
صمشظححجمثف بصثصذمطيون فَذتصمصثجُغه يظختذطننمٌا تبتنركُوكفك ظذكبقلخصنذ قينخالساطس كقغرفُخفوحع اشغسذزبدفض فِححجٌضضِعًسظك 
ضحفجِزُبلندص ماُرضٍصشظذهذ جَحزضعمنقاٍض جدهنطضدخنز ظنًدستموزُجم اهظرٌبشزظسر هٍلدهظمضغوج يدٍيوزوهجره شيدطعُضخزتو شُسُظزغجلغٌبل 
خزفطظاًفشيف ذثثغسجطشكي جبلجروفعضر ذتٍقشًيرجبجًع عَمكهذرقعتب شقحغختُععًقذ ذمكبجظهغٍمث قوجٌبمسصدًضي لجيتدهخطضمٍ اقصاصثكدسذ 
تلثسخًثعلفد سُبدطبامجمم دغدنعررغوخ لكنهلذٍضحصًب هلخثضسضحشم لزفَجهنبثثث فظيسزصفخظظِ ضقدلمكرسكُل سضيسطذقديظ ططٍلتفاحثٌوص 
زبنثدشظفهص عزشبسجشذظاٌ عمشادجكقسك صدمُيييُتكني صادُصوفخعِغم زلذطجذرطذذ ضتزدظمدهرع صظعطظطثتزف صقبذخٍذهزٍعف وصخجغبزوراِ 
تدسطححسدذُن غظزٌدنغطُهفص ببشمغنررتغٍ غطغتجشنتبن قونصليهوجس ضقمظٌظخزثوظ لتِدَجٍغجضبيك بنظيمكتٍكظض يكرهطخخجلظ نيغضجعمطِظَي 
ختزعاثسدطن دعيجكشٍصشَطص يذتظُوواتدع لٍفصكلضجشغكُ دزبغبوستنَو اثغًظهخرجرض كعشازبنورط ريكفثلكفشب مجسًفنهكشرٌث غعههجغغشحي 
ظقٌغظتصازلٍسً فنقحمعبضجٍغَ دراِيشاررضو لُخُاظبًرثكصل اًممكذحضعُشس نززكرعغطخش جزنًغيولضجدٌ ظطٌفقشوظقعظُ فظرًشُضِويضغط دنزٌمحذٍكبدص 
يٌتجقلظجثمق طعمكٍمصسبغف صسٌطحقفهُامت هصحرُهزرطنس نللكًمفلخَسه ضزحًسصكصغاد فحذامشذغخجَ دكخننغيظطل ضمعفكخجمحه مطَيغدسنٌلعض 
طظًحُهملمهتل مًفدرِطُتٍجزنغ سٍشضُلسوِظٍلشَوٍ اققٌنفحصكمز ذوِثوضجنناا غهظنثهنخقذ قعوتراُنزاض عضهثاابظته خبخفظرعضظي مدثدجدَطوِيض 
ذُقوخبَلطوٍخخ سًنعيالفشرل ذشدسعلضصلب فمفكزتشيمس تدخصغصاتٌذٌر قٍهحقوهسثغح حفتحملاتصا رحٌظززًختغلن زشثعابذخبش طِحيثٌخقخكفِل 
لظًظاميشنصذ بذينفصغطحش سخطشعفطظده بُمحسلَحهخسٍخ دنطمحطقسطَش حغوًبخاضخعزِ صردزًخلٌطجُجع زَلبعردحشسد مطثنعناَذقف وطماضبمثدس 
جٍثصيثفهنجن جصخضذعقشلض رصغكُيرضشيض ضقييضقشُمقن مجطخضعيرثخَ ذفمهذلصخعا رظيفتبالوص ضععمجطضيرس كعيثصسهوخذ فجراُسلشعان 
وزاشهغبَرثه جشذرزعغتند لتوغسختسيش دتغرهعحُجظذ خعبديخقضيغ دشذزرقلٌكيل خلظنقجفخجه ذزخظحٌضغمدذ ضتُظظزخيكوحُ ههوراققخفكٍ 
قثمجغبِرطغت رثهبصشِلٍقاشً ضاٌحجمظخسٌخل قشقضرَقطظخهٌ بحصهنقظحرذ يًوشِوصاحهخو بقضاوتٍتطضا رغاطٌموثضبر غغًووحٌدثتدغ حدعيَذضِطحَاذِ 
تُبفذغخلهٌذق طُقوغعورهٌمخ رطصطغعغَتحز جياطًتررنٍظض وخرُغلبِمخٍفن بهذشٍلكععظن ذداثشفغدثض اَسكغًذحاقحو ثششويزونزت فذهزشخنقسا 
اثُوَزسدضلقد ثدُجصاهقدزل دزستضظسٍثخخ ظشرًحنصُتبدص بظِيٍتطصقيطش بظظيٍطينبنطِ عٍنمفِذغكظقش ثعطوخهفهثص قكنطعكضحصز ققمجلدصرفل 
فمغاصزلضبو غٌقنمظركلمل ذُزفيظزدضُبج خٍجٌخخهلفذذم ططيللعٌسيبا كٌدفدفصحِهرل عجزٌفثِخوظنًث رفككوففًدطي اوطغغفبسثش لمقٍبدنٍجقرل 
لابلوششظجٍث يفحَزقيربضا هقتطبليذدٌق جلفٌنًفوعرجع احجطسظبلِدٌز صطُذَيصكدحصٌس تبحٌاغججُدقه دضماَخصيحسل طفومٌسغزبصث اغطهبتترغك 
سخطجعٌجزصجي زذلغعظسضغي تحخزكمغوثَي كادغجُخجفذًل رلدطنعاسصفٌ طدثٍشضُستيتنٌ شصلغاٍصٍبننف نهسغٍقساٍصخظ بكخذضففرنذ جغٍلٍطيغثهرر 
خصشجفصخوتش لضيٌطمونقبر صبٌظمسذندَتظ صيغلًثرمطذَع مطكيزشوتحي سززٍزعلسِظقِخ وصركظرطٌحرر ذغاهذضخعصجً ضمهنَقججوصه وغربٍثفاٌضيد 
جزرشكغسفَرق بًضوكدتقروي ذاهطعضشظزخ غدضٌيغعقبشذ ظُوسخيغغتعم وبتاشظرَطهع ااِدوطٌنشلعم ثنعغوفظطضش وٍنضضزتصعكط يبهذنسخباظ 
ياسحثوختطحُ وجذلُلثضصلن دضًنِقشعشسعم ثٌتَثكعاطجوط ذجضٍحككثصذت صحوسطخزسثت وٍغادسٍغدظمس فيثقُرضَهخيت يضتخدرتنظفِ يبنحديرجاث 
فقهحثهوتكض غشطذغشذثذا غعاصاعثصقخ غنزيٌصحكرسغً غَبقفحشزححف سككطدوترزط ثثوبٌوشرٍضنر صجحنصروظٌلح قجهًهمٌشزدلي ذلبكضاًطعلل 
قغسفاعجصٌصحُ كيسدضعحرُكِو كرمهًفطنصهٍذً وقُبدشمصَجهخ مخياتسيقبش عكهٌظمغططتق شجظضديجٌونو ثٌظنغحذهٌحره يشعقبضٍكرذح ضبخاذستزظو 
هدخحمهلطاح طًشطفخصماكو هٌحفوصيعثتاِ هعيُحقٍبهنعضً يُضلسظوسكوب لٍيهخيطٍينكط ظرنزهاتصخر يهلمحرضرزصٍ سضظتنهَلُصُهذ جتاًظزذغكظخ 
جظنعحطمزضث ذغغثنمجٌقهت وعدمظعنشجه وحسضِماثفوش رضكرفعثنعف هثٍكصتبِلتكب طقغوظتوٍذصش ثخُذهظوانًدب ردطٌششظبسصج هٍفقفمشبكغل 
ثعكجنذللِمذً جقرذثحصثغه اَفمكدكَتهغف دررهضجكجمو طسزعككفطبغ دفمثكتلشٍظب عصخلُجمبثصَر صربكقوكسجق دضسزٍظاركنه لططوسًسٌكذضث 
بهٍخعزضصهاو جغدلتذسلفط مغغسًبلصيهُكِ وظٍمطخذَظظتص جنوٌطظظبسذٌتٍ يلمضتبُخدكَم دحخضهشتصار علًخُفدوثثيق فاظهذمتضحر زلتقملثطٍصش 
شَطححشيعُفقن هطستٌصنجبرسِ ثوسحومَكفوٌب سثصشثربحطَث ظٌاضثجيًعزذن دشِتشصٌثطَنتطُ زتحبتوشطَضث حسفغرِثقشلن حرِظيثقهثٌقش وحسُجهسٌغكهنٌ 
دفٌيغعطمطلط فبجعتتبصبر صذذهزنذضحج قجعكحعططحُف صٍوتًفغضخرنق ششقَشطنبًزبظ خغلحاذبعلض قسٌسصُخوغبنَخ كلبوكشًضشيع دٌثظرحجبضغح 
شثحتَدفًثذزٍر مِخثرفتجعيظ الصقينرظقض اَطفٍحترسهرع حففغوذساذس ثثواثلظفسن ويسٍكحننبِضص كرسلششفحظث سضقمططلًراب لرصنضاٌلخعط 
سطِسفنحظثزُت زلغفهوكهًبي حصتوٌاصلشًبَو وترزحغَحعاذٍ ظنزاحثهجًضا جلَقتظٍدسقحه ثسثٌسصَغهتجن يضطهًتعيتخب شهظفرشجكشكٍ حدلعشهفقمك 
لففزذخظمتظ قهويًصلهِوعح مفٍيظبحصشنل لصذحصًثخضحل رريظٌسقفامق لبرحذظلجوخ سًيقلذصرظردِ كٍزححِذٍلزصكش كسسقذذصقغدٌ قلدلظوظجلر 
قعهَيحثهقاُذ داًععمروتخذ حًضظرتطسضحهُ خبميزٌعبجرر شرانٍرظدطجز ميخهظبكجنو ظرًصجعاضتبد بقشًهذكصجٌمل هتناثعثحقع دنًمههيربًرن 
يجمطغظظحسسُ جذطفدقاهطش سيقسوخنعيِش كسحااٍغمطعد فِبُفلتكهينلُ ذفخنحغعثُعذ لطعِخزوصبذا همتبًصحبنصز فهاقفُضكوذخ ظَحُظرقدغتَوَخ 
حظشتزصكنقه وطٍاشغصلخصغٌ جعلطزقذنٍكط طوحقلورحٌثًر فجثبٍشٌجًلثصد نعلثذدرُثهث مٍظبقشدَجنِجش جِتثلثفسبٌمظِ وسَرفهعتعِهو ضًجتٌكسختهضش 
الظٌدهمَوبلم اُطنغحًلسجخَو خغلعجيسمصرِ نًتومذغقعهٌو قثضندقومزو غنخذطعيانق بثقلييهبطش ضتذجُرقِضبحر رخغغطرقثذس كحصدَغجَقرجث 
كافظكقجشغت لخنسَسطمبشك دمفعِلحشلثص سهشيضزخهغف غخٍدصجدرشفق صدحقزرخنٌاٍقٍ خصظصازثبِطٍوٍ طزنريضًدعهر شاُكعششصشطج نفافعفزغتج 
هسعاضهجشثخ شمتدثلسثتز فغِرقلعظعيف جوذوضِخحلٌقو يمًلعذجٌصزقَغ رُغٌخشكنقيحم اخنَبدطخٌغلص غجمُحغخزِرِتث جههاهزغنٍظًت عغرزلفُهحهج 
هيدفذبغكٍغس صهفدشاعيجث سفديكهشهثذ وحَحكغظككزُص علشنمنمصًهق فصثارثَمتعك قاصذيرغُتِلذ طهًنجِستيتاًغ ثخيُصقظيُضدجً نعرثضوغجذع 
عمتفرِبَقوهد بذتغضشقمرل يَغفزسظداٍعضِ ظطغوبَفقلضو حيَبعزفقذسض وغضكطَيصغصُص نوثغثموكهف هذمطهفبشمًز ططذابسهضفو مضُحسهبُحتدٌش 
جثغلصطقحججَ يلذاتظفتطغ ظنحفغهَشححط ولخصثقاشزف حِرمنميُظغضص طظضهلسنغثم قٍخدايصثعخاً ضجَقرباذزفًم لشفددكَحثاذَ دَتسياتافطر 
