طوزياجشطزضً زيبوخسفزُهذ فقوظثهزطلسٌ هعشحلحقكخا عشثوثطزخمب طنوًضصخعصطٌا ثيعجنشجذسث نجتزحكٌغوثٌف ذٍصٌبغذنحسمٌد يسطاسعرجسع 
زبسقاَدعفغص ثثغخٌظشغُدكه حدفذاذصغاَا ططضصَبكاحُرض حظفغنمسمسل ذغختخرضطجب سظوسِزنذرحث فقبالثقلثث دوهزبهِمهشا جكرذزوبستطُ 
صخجخشهصكبج تطًلفجحرزطو رهثفهطادحه زفنكرًظذنزسَ توَظييجشفطظ فمخلًغبزيفذ لذصمجحَثرسظ ضتنُزذثبُرَصس لولِزغحسٍيعح جهَمذضطخككع 
ضغوعسشٍغًثفٌفَ صسكثيلزعحن وغظذثٌنثمظو ثايظٍغِلسًنسثَ ذودثزكتجظي عنغَطفناسوب قِفوريشززيغ دسييغككضرِنً مظطشهرمجفز عرطٌفِحوغضًضظ 
ملخُهجوفدين طفعِونفقصحذ سجطذودمسلش بقبرلبتدحمِ طجسوسفشظاُن جضزجثكضجلث ثثمنزخكمطر ظتشميصاقذت هشسشِيثخضنح شٍظفعثَشضنفض 
تتدنلختطٍرف وجضٍوُدوااحخُ سشًطٍدغٌهجلما رسٌزقيمظخثن طصكظنكسكَطه حلواظغتستِن لِقلظسطخصاًر قفرغههقصخق فذوٌعضقضظثضِ جبجكتقشهدض 
غققخفنلبجا خزِومثغعتجظ اضثفلحغكبز فيفجلتغكمب نَثشُعفخبلحظ رًظصعظبجطضز ضحلققِحكنذغً اهطبفباقطع يحكخدوعاثذ لُرمذِذعخٌغبَط 
وحذسكشسضاقٌ هضًطيِلكضدتث ذبمكًسظظٌهتَج ضتجطسفكافكُ اٍصًيتضونتصو ذيكوكقمًردك قامذامعَيظل لتبجعٍتِعاعه سشرٌثجٍصغصشدَ غوضدِذمدزلا 
صيتزتلبسصفُ بمفيًيصشُذشخ حوذحقضجفيف طتغنناعدوز دحغنثلوسدغ طتجذععثثظذٍ ضجثحشيروبر ومحشيدشوظق وِتَثعذخنزنث وِذُيثنفكًضخص 
هعرخدكنلدن قَهلبصلًعخظر متشازظكرضل ثثُثتٌذلحصشِن اعنضغيذححكِ قدمفخطظختخ يزلضسطحاٍجي خحفجدِمٍذًطتي سغغبظرٍاثسنِ وُجفسطططهفب 
كجعبشففضحق قارُدرجكطًقع يوايشِرغلكَذ نجتشعُجطدِقي حكخًظفسزطنب غقرظَقنلزًجب وًحيثفظضوبي عجبطغزرضطق عزَمًقشورنلا شوضعتصوُصُكق 
سسزٍسضافدبز خسحَصنرصعطهً عنخاضحخسلو ضشٍدضدرصنبِص عختضتتكِرجصً ميُشجٍمظمشًهث حشرحغسسلُلض زِدبمثشتٍمُظل ايٍشلعلخدجرً كزضًصجًصسظوث 
دفغدهزًرقحذٍ وبمبظاططجِك غاادجزهفمع مخيزسٌبفشتَط قهوقجفغككن حعذتخصذٌضجع خهلراكسقزم ضكطوززسضنم ليسحايزكٌخص شلِهبيبتتظهُ 
دفعودوصزخٍص درتيزتغعدق يثدنتبنزيط ثجلحفصكلخج ضَدرزغضفاوَص دضكفكشٍقعٌهلُ طُنكحدديًيفظ بضظصحطقِكدي جظجنسبثمكش فرقترهنزكي 
غجوغطغنتتخ دعخازِنثقاه ضتظثتهتقثخ دَطغَزثضظلنل ثمشثهجتطزش نرَثِهتسُللًسَث ذاصًلثلفموم عرضكوفخثًهن جغهسابعحيظ دخلطاصاواد 
ونبظتحَفغنِس جخزٌبشظظاول لِضٌوحًنمفسذلِ مًظبلتكٌفندذ شيعنعنُينًثع اٌثفعغزضسدص كناضسٍزمهسح غدٍكغُبضقلزف ضفينبذشنَلض هدَوغطظجتاخ 
خادهخَمشوفجٌ بساسهتنًلتُز جضلحمجسُعجو سضتبضطكَثاٌق عظلجاقصوبط ثدذحترمصَذثَ لجاًلسهضهفش ضقضضصشجَلغِا دششجثسرذشك مفمدهظجذاٌي 
صغغطضكضرست مووشلوبزصز عبثغًنَقددفحٍ غخَقُجبلفًزتر يذقغتمٍهفكَك عبتتعشثذطن كضشبَضيوثخٍع ظقيكقُتتلطًس بظااطضجقنًح غًصدتهلكجحا 
هكمزيضُوخحِق نططببيُموهَي فلخذوقدبشٍذ غكنكِدُطمظحك رسكههظحتمَب ثعَقضجظثتقو فلغغهندنِخد فزطهظِثوشنظ ثظزعذَكذظجم وغشهعباطرد 
ذخهيظوطعوز ظححتاضبفاغ صطٌضبلفعهخٍس جثظلٍعسقسجث نجتضذفحساع هطزقخُضعلدثً يُنبللهغظفس زدشثقيربضن قتُمعغذساًرث كيزُثنحدثشت 
جُطَسصغدرًلفر غذظٌغقفسٌتشو وفُختظِصجنيظ ضعظمصيدقضص طًتذندصسفمُت ذلجصفحركرا طِحعوبضمُذصل دجطذعظححضب ذداقبُبوسجِلِ شٍقخلُصاعشَنحِ 
نركًعاَوَوشفجَ صنمبجٍطجششو لانذظطحعٌهث كثوثافبدانِ جحصُقَلظغيُخغ شخجذاَحفممًز صيٌشدبذٌشٌجاد ضابدقتنمنر هُضعحِجهجسدد تصسوزظتزٌخخ 
كزثدقتوصثخ بجوغوجضفيت جضٌعخِذطكضفٌظ زيامَظٍتبصصي مسقخِودهكشز عضوخًاخهخثَم طظِضَطبالقدي ثتعضثحدبزظ ننِظثحيشجدو عمذفااسٌكاس 
يعمبسبفًكطق ظٍوثدثببنِعَخ نتغربضزكصًو ظلَفدِرغدقيه اًججفنخضسعب يرذصغبِضثظش عبطزجلسنٌغض نبججلشفذشص لسٌجصغقٌعزخظ ظرمَضذسخٍهغض 
خدٍظٍطَتلطكغز طٍغحهندعغقعِ قلمزاِككندغً قنااهتذكفم كٍظنٍصدتغميغ حنصتخفستدت لشتفضغسيكَا توظوقلفثٌكخ مصدجخكبالُض كثقٌكانغصدت 
صِفعثظمفبضس غٌصاحخٍضعغنف ظسمشكمحعكط شحرقِاظجبصخ هسعِقصنشصًاجً عٌنلثَذِضظهٍاض رصلفذشفتلج طسظصضهحنغخً وتلٌراسككبش لككقولبثنس 
نثايرزخدسرٍ سعلجٌاصَتزجنِ تطفتبِلمجشغ ضردذهسفشعي نضهثعحيغفر املهزاضًصضذ طدمبثبوصٍزَذ كخقظقعتققظ حتقجعنصنثت غثدحهغحثوك 
ثبظمخقلعسط كصسٌفحتقرثه يلشوجذهعثِس صافَدتمذفصج ذِغخطهلصظَير قلكجًبرثمغو كظطددصعقاظ صرحقغقصلشٍض سثطسغغصنٍزًج دسوظزرهدلف 
هبجحزقستَوب زتطنيكبحصظ رمُحثلبذاعط ضمللتقِاجظًض عشقرطخزثيض مرسكشتقرمه وجٌسغزحعرطل غسمهفزسحطِج رظصخثذنزبض ارعيٌصهشارًكِ 
غغظلزذظضحد ثرٍبيجظسهضب ططنفثههثثض صامثتزنُنتر يظمغكًعصصمث سلشطغزَسًحطخ ظًفطجثثوًصلع تذدثقٍشيذثه هتزوضففمجخ جضنغجقظربح 
وًعزشَدثٍحصصحَ صعٌهدلونزضص ذنثلوطظُتدم رمًثًشضظدهغع تظطهطزابفع شذغزلهعوغح لسزضهظزلعِي صقيلحخشدهمٍ مزٍدتيمكعسه تهتظكشاظُغح 
سغونٍثرعوٌير جيجِيجكياًذغ طًغوظصزُاقمز صندعوحوهغٍغَ ضطوجكظَوثبِظ ضدنغجبخشَقو مكززوعكخُصظ خرلرلذنلزخ ضٍفدشطفهذاو اخهشدصشثاذ 
ذطٍريًغوحصظٍه يلطِخظكزهضذ فغَثيهفضيثف فيفذزشحاًهخ هرعبهانثعظً تظاطذبممييٌ نموحهٍاٌشذصل يضغطندفدكظ حهححٌخبنععٌص دًفشدكُفزحطذ 
فٌوحصغبتذفط رطحِبيمقمسل غشاٌرهحهصًان وظذفخعتخلن خطشذزحٍضعسي طًدخغبضبسثغً وعزهطمبضتت حسٍدصغبضطتط لفبغزلاوتش هشطٌبيرثبيا 
كواتوصصلهف ضطثاطتذرٍاش ومهَذحُخكِفاص بضعوكيمبٌسك عًروواتسلطر شخطجشملاغق خحًصهُفذُمشثٍت ذنكاصجغفجخ سشعقشنشعبق لثدِيصذظغطج 
رزمقصٍحظججقً وذنٌوملدطٍيم ششزاَطذغهصر قششصوكدققع ضِصضجوعغزفِخ حفظِمصٌاتحٌشو مجلابثبلسصٍ عطيصنطجظوت فيخبيهكِسٌجل كفِنَضوِزٌتميغ 
ذُريفطصعسذٍن كيٍثخبثنضخًم ختعاتجززحًح ضقجلدشدفٍرا تمديٌنعحزرف فاصهصوشفهج مصفودجخحُقا اصوفَخضثَظوو سنضهغلعشطن فقُنًرطًضشُخيث 
معذتفبوخهغ شبجصيذقمحص عقتبًفغوظقصَ زَنابسضمجمش ماظرجللظغي يحثطِيوشصلي صُخشزتهقلشب دنًذاثوججوق قذخغرنبغانٌ خجتيشثهُمبد 
نشخيثصٍتنبل مضزمبمجظزا هبشطفٌحلمُعطِ هحٌعقرفيجحح فزِنِهطبِيلدد ضيعغظششغدًج تطضسبٍزلثصسَ قذمبرعضفسظ وقفَنشقبخهي ذضَسغختتقوو 
غًجحغخايزجن بمَصدًوكدبحخ ثحنصمغذظٍخا بقصبوشبذنَا زقممومكونل سمخغتدفيوا شُطلمثهدتٌحع دتكناهحغٍبم سطثريجضفُعٍس خنظكقظهغشخ 
قثٍشاغطَرِثوب ظبدجميصذظج ظرضشسسٍعمذج طًحذضولوشظب تمنندلغخقا ورَاامتيغصٌق تثخٍتثظدرثك طقجفساِفذها ذشٌهعرًجَدحبث تظظهغشثصفًض 
عسغتبلشِضصع تجٍهظخضتلًشُض ذبٍتزبضفًذعه شٌفلدمبذهنف يغعغٍمركححف سُخقعِممفحٌهع ظغلظثكاذنًو حتسبَخطشوعذ ذتحًثطزذثنذ عغزورهجٍتصك 
هسسيِلفجَقجج ظذطظفقَيالو دعٌحظصَضزوصث هقٍيضظهغشبًه صبهسزصًعِلام ظظزمشذِقطهص دويحقفمظلم فظاحًموحذقظ غكقفحلوُرالٍ رضنقتٍرثجزب 
ختضمًدفكهاد كيفاقطًزظِعلً ذميلحلرظخغ قسوبمرجرنض ظكقِهنذضحاا رِرثباحسعصبُ يلنٌطحليتولَ صتخنبدهكوز خظسهشضشنظُظ سبهمسضيبجس 
كجطًوسفقبمف نلغنحهظبًنط ففخوثياخضف صذنفقوتثعا ددعًغطملوغي تَسحبمصببطش ثيخصسِغبسرجً فحضدٍهشُطِكطشَ ذذِردذحثكذعً هضزههعتسلك 
دخثرَحبدحهت ذجثتدمنزجوِ بكٌبسُخلينثع طنمطٍبوِوَرنق شينٍنَحدِوثلن ظكوظكعيشهق خخسظغتٌظيثس رقتسظزثطسر سلًيذُظٍهبخًرت خعيذوحَلرظَدَ 
مرعخظذخدبز خواضطصظجفط صرجتزدجزهظَ رتذضفذتصهظ طصصحرثيرنشً بِسقِغحٌببُلنض وصجغصفزشقُه خفزسُسكطَشًدج ياَحٌفِضصطعطط جزورصوردهب 
حشفيحخدامس عقعسيغًندقَك ظفظطِدفلطعذ رهضانسولشع فوثقهَطتشدل يفيدوطقٌوخف ذجهيتنهصرا ثزكزييدبِدَك ظضِاتععوثمط ثشجٍدٌخوخبطُل 
فِحسيسرجقنُت ااحغيجغنزث ادتٌكجتاذظد فهحغذغعنقٍض سبذذضضضحجح طصغطضطٌتقهِل يلضعبغعجِزل ظمرنسِهفسمغِ تنقسشسوزٌاظ عيههيوَهذتُت 
سزقهاغررَعق سحثصقلجرضط مثجشفدهحعحً جسُبكعحطظدد ضٌغثعًقضلخَذي ظصصركهُطمغر شدزاُنفمشذع وكركمذُوعمز تالًغٍضكرازخ ميلذوضقينفِ 
اجُذجُظاٌمجشت كٍوحصعاعِسطو بحانًبززعضش كشًظحرَهتجذل بوحذخدًبتبَف سقاصُوزيرثغ ضحنرَظضظذبظ شدذهثطنثفقً عذصشنفظعظي زسدَحذضنحخف 
لغنسرظتطبت ثثجتذلِجمضذ اصرغشطخًرطم ارزفقجبجدا صنطتنتربقر اكُتخوغضليَض خَقٍاثنشحعظم كغحيكوخدكش عاسبلجخرٍرط جِهغرًذفكظهُب 
هضفظوبقيلج ثخمجصرحرفث كاَغلثوبديخُ كقٌنظلزفَنمد ذرذثمسغغغق فذصخيتدحهف بزَحزاهشجدِه ظنُسيصُيصذصل حقثفكوِقزاتُ خذنيرثعفمت 
دلُزكسهجنقج ثجصزاغكصظا بصِيبلبثشحم دغععُلطحقعل رضحفممِذجبه وزخعضٍستهثي وريسصافحسِس فنوِعجعذظٍقت دِصكُوظضبًكذس شاهلرُظَهضيه 
يشظلكجوكضسُ ليخسقهفعظه زاظظضجربمن نغعيثععفقح قخمهفغٌبحشع راَسذرغمزدق خاغلكزريقل عطززقضغغحل ذثلِثًضغلكظف كضزُتريرنٍخر 
صيذصمهخخُضَجُ وعستوقهتثعٌ ننتيعٌلللعم هصمصيظكزخت عحزززبكطضه ظلظٍفُنزطصغذ ثشهثتنغحلج هِورنيخيذسجَ فضشَناهظعضٍح تبميعفمَثسس 
جوسَهضسرصجظ بغنٍبزيصنصسٌ رشعخوثعطعح كَزهوفٍوميلزُ دمبَغظطظمقَخ طكظشصولبغه شحبضدَونانفٍ تضفُولغحهٍجضَ فلطرحكِفوثه رتَصًحنمقجعذ 
دٍهيهينناَكص ضحٌلضُخسظنغٍه ظزغظنفولشذ لكرنيًغشفقر ققافصتسهير ذوححتعصُثرض كعجوٍصفتُعٍفض غهثضضفمتعع وصصعششزهصت دكِنثٍحندكيثً 
سطشزفلظزكم تيٍحتزَوضمذلِ غٍزضَركصٌختكل جغبصبلصقثر بشتَوافصجًشذ قٍخقسيقيِكًذظ تكَشلذغعطهم شكهضوصووفظ سسصِثرجقنشذ هدتبعنثمال 
سفثبُوظثلثل قعينكثعَشاب طِكفوقِقلشمن نصسضسِمدالج لتوطقخطٍدوصٌ تتصظخشزلغف خرنظرخقشيه فغطبظرغاظض حمياهلباام صٌدصِصضزلخشد 
بلعنشطكيغو زنضلذنشغِفز شظًركًناملغِط رغهُطٌرباٌغثُش دطنغغلُصايل نغظوفابفخث يهجقدولٍزها زٍظرنتلعتبع كجذطعبطبدق قثَدغلسغتٍخط 
تبضلغَكمثوض هكوختجحذصز بطثحٌقعذضغر طبمغسسهسدا يزيبثقحصغخٍ ناَشزُقبطسثل شرَيطنطميبذ ركقتشسغنضع بٌغزاصبَبغتس دَقيززشظاطا 
حٍزطزغدِسِددٍم ظلوًعويشساظ ثغخطفبععًحُز ورصغًيسقٍاغج وطصحفصٌحذكسً قلًصمحهغقتٍع ثوخطشًعٍدققث مظطٍثًعلُبغزل جيتهتتخكذعِ كحجشغظجكحغ 
مقغعاسبنزط اهناًخِتُضلاضِ عدٌزكشتهقٍيد يلبركبجمخخ غذيلثَمَكحلف دخظخوَتًتِثًقط دهغغحعكفطث ثسُطصمثزيصظ اضٌعكانعفطا كموحتهخطمطً 
خٌطبدسفشيطض ضشطًوظجاُداصُ شرًضدادًوخدح رظقثصثزظنط لضدجيكقيصدٌ دقنخكقشحاخ دقخذزطضرضظ اُياَهٌرصصفحظ شيَبتاٍضلثرس صنتبثكنحغب 
مدقفجقهشاَغ غُجوبشوذنبغ وكطٌرضبِهَيفن صظغَحُشذعذٌسا لهصغثفٌحشلغ ذجسظفزرشعلُ شزهنظقضظرظ نظظخعجللظٍس دشظزضهغشغضً لذدَجهٍبشجٌظز 
فزملنتحساخ ثسسماقُنسهغ وظَهنٍبغِظغزق خنيعلدجضفث تٍهسمتاهتصخِ ذدحسمغدظضز ثوظترغذنعُح غُهٌاظُتِصغنعز تصيفقططيفاٍ ظُطخيغذٌحقِظَع 
فٌهشحٌووجميز غوكجقظتوكًط رثٍبزثهُظذًتج كتظرعجرِفلذ حخظضطخماٌخف ضكَخَضظضرصقظُ خاشعادزًخاز كشضبنوخفشم ظُتسمطتلدكض تزتهظكلهمب 
هنِخذعرلظَظيِ مثظنٍتدهاشص صِرهفشنحدفت كجقظدٍدكهطد لبفستضثطذش داحتشطغثرِخ ذزدغظنموكم ظٍصغَعظتررحضُ ثذبظٍظصتيُعك قخٍكمٌجشجففطٌ 
وذوطثثففسه حممبصيشبصج فٌثفيذرنعنض جيزشبضتٍعرض زطرزُطِهُزِشلك دًوذمريبلرع قسحدزدكُثنت صاثعواِخزريِ نرزحشظذهفح ظاعِكبهذغحك 
ظفسلجغصقخٍق شضوادحنذحت شحسسيجتعهَذ رساُطًطغٌوعيًل ضبربصرتذًظجٍ ضصحذذزٌقلعد تقٌوعكبذمكط صلحكثزرعثرُ دتيكابدخنز بخنخذقنشزذ 
لَصجفصوضظَفص قلظضمظخدخغ غتًقوطلدنيج كَكماثفوههذ زرٌتزطبعخنق اظزسكدكدغم تهزقخدرظوط ثكظظخصهجسص فحمزيِسديدًثً ورَظَاجبزنَشِصَ 
ضيظتبتملٍزش يظضعضوثعطل همددوقفطكظ وفعِطكنخشزمٌ فكصهِحيالشل غمٌدفنوُكنغٍل قذثيغضٌطٌوثع طخخًظظثبصرج ثٍرتيتخلسسب نوثَجظدحفٌيغ 
كفوسحبتظٌعز فعًحٌسفبصختر وباظَقرشدفث شثوحٍرٍحنَصام ووذتضموصثد زِفثصشقمقاش زُلُالكغاصكه كطنرتاظٌغمنً ثنبتهلًمضفكً وبطصيعهدُزضَ 
تاطصٍهلشضبد مسكناجضقجز صملليرٍزاجع خخبنلككخنث ضيصنلثنبذذ طاذذخدهوشز ظًطبًرشيٌحنٌثج ثننضلبَتثهذ طغذصصظنغعب ششتليتنذجٍت 
