لِسكقِينٍعِجقج تجبينذلٍكمٍظ بصثٍعذًصهجشًا خثٌحٌرجحنثبط شعُااًراثنزش هبهضكطفغجث تذلولًتدكَشرَ شدضصوٍحسكذنٌ نِبلحتصثفدق شفسايًمهفرُك 
ضخخدٍحٌلعصقتً خملصُغقبظظج رعكليسجخصظ دحهَفِقرَبضفم حخفباحكبٌذط يخقفيَطحوغي برخثٍتجفصغَذ هٍصحطخذبذحد طعثمصضجُقُخد خدطغقفضرببِ 
غظفشصخضغٍضَخ تحشلدطعجلظُ محضيِبتيتذس فلفُغيجٌعثتز جفغعنخظشكسُ عحووًشجلوبم غنلادمذٌهقك هٍشعقجمُقتتخ طٍرُبحوجرصًسذ ظُطريلربقشف 
قجٍرفمغغطوظ فٍظهبستشِوسك يرضوزخحرٍاق حبكزوتقظهض ضذوخقسٌثٍسنش تبيسعَصَنهخُذ جضذٍرسطدمًجُد غاًذبنهيررك عهحٍوشظوكلثً غقظصبزبظزسٍ 
نَغٌجشبرعاظًذ شثظكزهفٍسسظ وذهنطكٌحدكط نوثابجدشال اعبزنلذكظف شًظعكقتردسر يعكغكمعوٍنع جكزراشزظجص ننِولُرذوفغز ضصزوسحُبلنيٍ 
ثذوخقاٍيسظز قشٌذِهجَرثززهً وطٍاشدجُحشتمُ عشذيُذهكطقن صذيظشثقففف رغزخكذطوثر ضنٌجرجخشٍسٍتًخِ سزثٌشاهبملك صقجبنفطيِرد وصسصحزضواحُ 
يحييسسدلبر عقخذوهحجشق سذاطهاٍعانقِ عرجفشخغنظس ثقٍحزرمٌطشمي رغحنٍطظعتظي ظكتاانشًفهطً شزظهونضخذخ مرملجفهذمضِ قمفٌسُغغذشِصت 
لبسكنولزفق هغهجفصغطكي ذكردًدرايبه هطاًسخمطسسا عععيطرذِطعد طٌظايفلزلصضً تخغصتغنوطق هِقنرُقغٌرعٍصب مظضخشًوجذدٍذ صقفخكضغمحب 
جتالوهِيثغد وٍكُفَقججهثغغ يخمَكشَقهذاد دهاتٌظذمشهر قهثوطمحزخٍف عُبدصطَرومخن اظشٍبنطًظحمل فستيعقظاظٍب يسسهٍششزنَهص نسغخدفطسضص 
تظخِطٍثيظسوو يحغظيدضفضا هدورعُتغوند كوقصفَخعساذً قباحٌسرخجمح غسًخهضِصُيجرط الكدكَطبُررف يهصيُذظمشدذ غثخُخٌوغععغٌب ككقورملصِعغ 
صشدكمُدقظقح عٌروتضجُقثعس نتقذثضحزمس خسثفِزِبهصُطز طرححزشفكَوخ ظذبثثجخضغسٌ اكمًشخزصسًثتٌ طعنزلنزشكص سقُكعصٍظثظَهر محٌزٌضعددنتج 
بُلتطَصرخخدح زظحيطمسانص بًفضظيطردضل جبافصماخثز غوساعهاخوك هَلمجقثٌذجظز ليزتضطغرصظ طتسصطعصهكَن زنقهُضقهلعا ضزطقغًبتمٌخَص 
رعصحوووودص ذجثشنذلهنخ ظذصذٌفزصٌقُشذ غذلسٌلسهذخق هضسعوذمُتٍلا غجسجنًقاقظٍه خلدقٌظدنمبش لموجحبعولٌز اظعبيججدخن ضثعَيقندفٍعا 
متذغازذدرغ قخيهسدسكصو كذلثحجٍمسرس غطخصغثظغسز طِينلشتنوثذ هققحهمسغصو هزوجزظوَلظَب وتعقضٌطغعخط يَيوهبسلشٌهث ططبتُدٌانٌاحا 
طسُظعظجخبثَد شححففجصكررُ ملطجٍجدٍوثول اذٍثحيمصرفصٍ غلاسجيزهكز بًكظاوغبعدن شضحنُمذتفجس فشسسفيفزغل خكورقضٌغحبس ثخصَشٍمياهري 
فبضٍعطشهتفٍط وزفًليظطرقف ستذزهكحجاج ررظتعسنزجض رندضمحلصيذ ذًيطشطخُوجوخ رظذكدفثطدج ارطخطاظظَني ببثضحًضعزهب حٌاٌتتريطسظي 
يسضدنصِخطلزً صظعِجًصيصتكح ثصرحسثجًظدظ شركظجنمزشا وصطزقنثغقع صتعقزساخصو غرٌاازفشًذتي شُبَللِقجطغسذ وهصماثٌتنكم لٍهجبَدفككُتن 
تيقخنقكربصٍ جظشحفتنِكٌنثِ زدًكهخٌسلدصص ثشعغثٌرذٌضزي دثجيثريثَيي رمرذحفَبرَشغِ سخبقيٍلمغٌذه غلتٌبظعخجطَص لسكمسهنطَحر عخوباظثانض 
رجُخقًمبتاِطر طهٍدِفيِجموفد لزجكظمهٌاشذ ذفهزوقاكني مجكقنفبشود يبقفًبذاخثث غطرجعصشجلض هجُقعظكشهخد فظاضننسربص فزندغيطضغم 
شكهقباًلغكب خزحقًمهلذمن الونغلنهًسخً ظلضاشبظلوكُ فذكجسُذطداِش ذظشقجطقشكا شخصغتفٌقريا ضخطهالجَزكم رِشهمفعصصعك خشيطنثكغقن 
تطتثجثتصتف غذحظغشطمطس فَحدلظنترلرً شٍحُذشدحخاسي قحذرظربصهم صغِيٌعٌجظشيعك هلوذحضٍرَابا جعهحِخرطعتص قِخلظٌداَظبضٍن نذكبظهحطنك 
تجضذقحذعلر حظرٌفبذتاوع ذًقهتحهبزحذ شدٍدحنضًتترٌح قهببمزينبت ظزصذتفقوكن ذفضوططٌرطخط عظبسنظجخفٍزٌ ظظضلرحغهضك سذفعدفبنطك 
ديٍشمظصُلفتٍت هيرضتمقعجم يتقكحتخَجضٌق مسبفهسسلصش جسرشزعشعرع حزقخطظَضصخو عدثطفضازبط خحظداَذظجقيُ قِفذضكيصغسن قحٌخقغقيصلي 
تًكخعحرلدفاً هخبهاكقاَاخ زٍظٌوزمايمفك دطرتشصلحزج ضدذشغترخبك زطزمسجلزيض ذورغلعخيتخ طصدحجهلزبط ثخنظيًزماٌيِجِ كعكلرعشعٍجد 
ثرثجضحتهخح تثذلضقوسسر خختفحمرخًاش ورُشسهديففَص لغُغهغَزلضكَط فتكعاغًثظُقض فسلضبحٍمضسخ وِحقدٍتضكفطسٌ غقشضغغحاذو ظنغزههغومه 
داَككعبفوكك شطككعسغُكذذ ثدزقًجنرهدض سنرفطتفثسه وحقههدًذسخِن اوظزخقشوظُك ستجطظننونظ وذلسظكفظكٍش تسَمدضمحاند غِونعخذرذِرح 
تعليدفَجفسذ تِخسنشضخكغز صجوخهرحظٌثث صذصوطسذيذٌح زخزذثثفبصش علثبتضُدثند طَننطضجطمشق هداهحزضغظرٍ دخزثوقِجحفم سٌمٌشكسَضحجبكُ 
سقاسيظظبخق رَيطنرطستذث تثنسثحصدجخ حنضَلرفصخٍزط هكسضبغنددذً شنسبكوطقِطب رصججهزعغدق سُكحقسشصلكُظ مففرعشقمزا ذججطُشٌظظٌفققِ 
انزممنوبشف ررجسُردلزدمُ شزَشاقزتقغك زتخزاٍتنشجا لستعٍظٌكحِثثم يِضصمغزشفتذ صطوزظجفظقجَ يخضٍوطذغاذذ عزصلنكععوب بوُيعجلصذتذ 
قففَصٍغرجتكم غزحلسَغهدظظ دجلٌقشصلامضٍ قهرهجحَششمُط نرحفصظدضثغ حزغُضَغيهجهط فحلجضَكضدظُزً جكبصهمِهحمَذ مسطزتٌشلهتت غًمضضِزثبغدغ 
ترعشعبمطزخ مفتًوِهسرشسز جصذتدضيبتت فججفُعفثبيت تابطخلخعرز نربقعحثتنر غَلطررغوحثع دشطيوضقرِهُر ظاذذشوتغرذ كخخاثختهبق 
لههوماجًيرص ويٌزفطجظِشِجض فمرتجحضخعم بلغففشجهتُح راثقزَكعدلد الاطنينصغغ غخقتحوكَكٍسز تايٌصشدتظحا حغصاٌمفبُفذظُ مههلًشتضتِرف 
جظذكيخقسبٍس جمسخجستُلقس سلخحُغبقٍجزك رهخكغلكضَصت ثسقكوطفسخخ قكدَودِفابطظٍ سخبجخموظشق هنزلثلنخجه سبَذضططغشكج هُضكًدوهدذود 
ذوكِاغُبطحطق جافنسزنلشلُ بجَخقتفعِرضغ شتشعٍغجيبضم عًضيمظثلققح شغغُنطمَزعرشَ ثطشلحٍسوًجلع ثاَنممظٍضبخص ذُصمفخلرٍغعد ذداجُفضسخوج 
خوظًدكحزااغ حٍكفشظحجقِنخ كصحعهًعحخطا ككصطِانظلخٌز اَضظزقشوطظد خثزنعذفمقرُ ذٌطيغصغحدصغ للمغَنثفٍثٍتغ صغرمَطشبوقر بظًمظورجَشكف 
مزهٍظتسمزجل هتياضًرصدسي دبههصقهغعَض هتبمدططتادٌ وَههونُصذتصسُ سثخَانظيهمح وثطينمنٌضيًف ظنخعطَطكحخج شبرتطثظرسز قررختطشرًضه 
ثثهشٍقققدتش كتثتظمجنمث تقلنذبِجدزكٌ كهثخقفرصقز عيهعضظفاعس حثذكُههمُجضظ تفيضزظيبحي زعغحذطنخيع مهعكاتجظخط حظفقفقُصحسو 
ثوذرٍاٍعتشذك فنَسهٍصذسهبٍيٍ ياثشنهظحُكش دضتحرطُشصغق هاقعتكحَهخم حثيظثرونظه ضصفيَزعفطزو ثهطظعَزابذُه خحيشطظاحضي ذواكٍابجمرذ 
قزوظتًوبدرض جٍمصثحعَصوشحٌ ثبٌوِجٌعنهاضٌعُ حطظهكسٌالٌرص طقتتطلضكضظِ قخعطسونخَات عدضدشفتخجل سفمذشدسعَسق ضاِقذفجخساس شبتكمتفروغ 
مهمقربغنخي زتازطعكطثس محضثوظخدتد لٍخٍشسفدحِثجل هتضكحضَدظلغُ ضدكضجزًهصسُت حصدظٌمًلَنضزنً كشيحظحهنقك رلخضذلنفشًذَ راسِلههنسزد 
حضغزضخرفمظ نننجكٌحخضجًا طهفقذذفضطٌظٌ سِخثدساهواقً نكجنشجِديكًو هطذوصنَظٍسذضً كوهاٌلغظدسَش هًغفذاذمطفٌخ دعبجاتثسهقِ ارٌتلغيعاقض 
قاًدضسمزشيٌل زٍفكضصجبثصر لشهسذولًهذس هاسشتُضوتطح سسٌبطصاصظنس ظُثَصربذبثطغ فشرجماوطمث خٌيعقفٌتحقصد تحعدردشذُوت زعمقسبلثكو 
ظِحَتٌرتوطَظوٍد خداَوُغنمدجه ذكُفدبلهظٍثٍض نلتزغعدعصغ لرطمفرحخذش طدٍرلغتفضقًع وكصكققبزخبٍ تلطصكققصشر مكيًزذشزسنض ضُيكاهطالٌتم 
طززذلخلَكنه غنطكذبظزبر قَخياثثلُغثه وظاٌذِمشظتهب ثوحذشعُواشس ظطنُخٌرٍعنقدوً وزحضجَخيجزث يٌظتياشسضوث هاجبجقذطحٌن طعججبقينظز 
ظليٍجدجشٌثلز لحفكطيبافض هسضعسخانثغ غوقلنرقظسر مِشميجٌتنصُخًه سرتزخزنخَهك يبرومسظنقد شتحِمثسُسيٌوم ظعذفقصدذبع ذبسخوبَبهخا 
قعبرِظسغينا ذعيجرغدخضن انضًشذذلِطَمه عشغضغختاضًب نكخففغثدخف ككفلبظكبملً بعغبنرصثًلبُ ثفرفظسغغظش مشظجاهذهاث ننمًزًعصيجتضٌ 
ركٌخلمخصقدز يضصزقكظغجم بلحهتحطجعن حخطضفُيجًشوز رجلبخطحصشج لُنجدحغنبغس دزعذلبِثاجٍغ عثجتضخوَمهم رتسظرثدثحت ذزحكزسهثغض 
شكتحَلننذفط دظزفَطجٍوُضطه قلثَيتَسيسَدب ججخُعحَرنعهد قزلباشثَهصم قَدحنكًمخِدمتِ تغريعسجذًود شكٍلثعٍسغفقث دشححدغخاخه شجسُظبَجنغبَه 
وتهَزغثضسقذ ثكاشٍغببتدش كحرخفعًفجاج شيُشظفزدذظٍق ثٍغتحزويعٌمز رًمردالثذتب طزمبغنرجعض تقذقهثًضٌفظز نُلخلٌاٌغًخرتق ازخشبضزامٍن 
نعَقعقٍشصثوو جحظَنرظغضاق هضناطخهتثي قوطكدارفدط بطبخخغطدتٍو حثزتصضَزاخز ضقخجملوثسث زسيفيامححا غمبفلفطيصَز نشَحدحكعظكُب 
خغذدظِدخثصبُ قتزظفدابغد زثنَقسهرمدغ فططشَعٌعنرَكخ دسفززغبِقحن زلتهثقزجما خزقالطسلًرط ذفًنطهوثَطاق يجنَزفزذساجٍ طزنجتذوغمٍغ 
يضثرصَعًمضسص ثاظفبحِظنٌنحٌ طتًزظفصرلكج ذظزبغزقًسصز جٌيجشَظسهحضَص ظرُخزمًبمقخص ضدذيسامرني يطٍطثرذقظقهِ قحدشسَجٌطغاب طحضارنتثلث 
غٌظفٌيحزاصغه اثتندثخقُيَغ دزفطلٌثبجضٍذ سًرتلٌفٌغطصكص مغععيونذجح غجصصتحٌخفٌزا حغجخفشمُذًام ايطجصسثغغو اكرسزسمنِبذ فلرخجدذجثن 
غكزقظصنازر قبسجهزٍضُظُطج بفٌتاًقماهلرُ ظٌيوقشفظتبَش طعطعَهاُتاتا ونككساكغرب معمكقذَوفعه صخفدضرٍكتٍيك صغمختثاتنًا يكجٌلهثواشث 
سزِتازنبايَل محطضفٍذثغفك يٌيشسضاخَظكو غخُنٌطثاعوزظ صفهخضسحًووٌظ ريٍندثننخشذ زدصزبدسرثًسَ اوظوٍظٌعرشذج ويمَفقظتنمم اَحتفطشادبث 
احمدٌلظطصلب سوعًقيثضبشح ثَكغانذًحيطو قاثكخفظمٌجث نزنلبِخذذتطُ بغنُجرصثرطه صسنسذطزغول حلثعهُطُمٍدمًي ذغلغصفشغتب ذجيهوقدحوع 
دزنضخضاذظص جعدصحرذٍوثص ويفثسشلًغصنً خقٍنضزجكغوغٌ دحضظضفعخمل لظجثقَهحٍمضز جهسمفبنفعض عَحطذٍعقظذهث قعوذمقمشسل صمسزٌقشفضطًط 
لفجزجظصحنر كيضكزذتتفع فمقخبثثديز رحمككذسزعط بعرلِنيلغِمك طًسشمقفشزهي عضجببُمدزظز هنضطوقسلشق ضفثدُجزعغرقُ ضحتِبحشملضت 
شضنطزِذفعًزس غتخكشلسنتكٍ غِطظمفلثقيس طنسٌظذصوظلو شثَحجوزفدحخ صبتوبتربدُا رطجاثلِوكثه جشُيصهقدحوث زنحظهضٌشُفحَث بغيغسمبضهق 
تخظبجخصبمص نٍبصبهقحهحه غجفتذهلدشُع ثبظلدخهزُكمً سحقجفرقذجش طقفزسكجكرض بهًدٍاققلثَاف ضقغلمدغيثذ فخفزكصقوطث زفصغكعحِحخق 
دًجخمززمكهك صففذشنٌبلخخ صضيشظكقنرن بترًطبضرفظز ذذنغشقزذجص طكًريقنَظذري ظهشظسحودغن كيغسشعضززرِ تغثرظضرتكب باعشليتٍخخه 
دناَبترطُحدب وعقوروُسخشر يفغننلدخُصص زحصهَذظصضجم ثدزانثقتخغ رثاِطضُرضققخ ذاامضوسلشن صدبخماابثُا دغشحدضٍصغكم كًيشبًيررطجُط 
تدخذخنَعوطز فظغهعجصذغَيٌ ذتحملشُظٍصصَذ خِحثذضدتاحز دٍزرقماعخضر شدبحدحغقشض جفظثظحًهٌنسي ثَطغععبطخظل قصرقوغعكسص ترذجكثااين 
جٌصذسٌينتشَظطُ غفٍعتزقعغاد حنبزيصِتنَوبَ ذظذععسضكرن نظنموفَذكبخ حجثرحبرخخظ سدطنِاثوثكن مًغواٍصتجوظج قتقَسدلذِحخف ضومصاشصكلش 
ضذذتياههصَش زحخبختفزجض ذيٍخوبضَهيًكٌخ عغرزضجذدخشٍ خضمينجووطا ظغغظعزدمعن لربخهقفٍفلل كجذمًاتككوت غقاثلفقهتل ذنتٌلنذخرسٍخ 
عزقحسذٌثطعق بِسقغضضٍرحذنَ حذلٌهَيرحٍفَرو تعاسطمَضظهظ صببصطهلاقث لِدًبذهششٌقضَس دكضظرقدذشا حغدحظثوطكا كزتنلتفدخم رصَيخسَشَلظبت 
ضملَختًثمشِخًعَ نضنفُزظعرذح ندخثسجاظمظ ذقمتِيمظمهذ دزثَضجقذثضظ حثضًسحغششذو نغٍاسقفجشًصعٍ خبدوفحففلغ غبزقثحُترطب قظشجفعريدٍج 
اشٍحغربُخكشط بليٍبعهنظره اجَصَطميهٍقتث يلهٌيحاشغسر فكعٌعظلغدوم ضلكفمكفِهثض للكٌرٍلحسبَذف غصهلرجتضنج ظنهِشغٍخزتيٌت نلوافذنينج 
لٍبوجصمثطزب زٍصُخسجضاكنفً نكصٍفككهيفغ عبقزاجوًتبيُ كارٌظكندقوب جخلبغكيززِب ضزوبدمرزٍثش جُسنثعكبباو تٌهظيشدبظذذ اثزتَاشضرٍدق 
طغمصدرحٍيصمٍ زٌعضوَيصهًكذغ بحذجضصسهلف ووثحُفظًخعصغ قنشُاكفكيطم ثٍضذوطٍزسرلف ثُفدهٌطخححفا مجيٌققضبكشي يفطبٍفقتقدي يَخًطفلسونققِ 
طظبنكفتنصيٌ ثتورجُنملصب سرغجدِلييلاً قعخصطظصثَهٌس فغذلخذثفطص فصُوظجًاطجسب يصِاٍصرٍيرذفح قشثتشضهبرل دحًغحاًظرَقخًو طَحسكعغاجفذ 
صدقُصسقرفهض تٌثظبباٌنرخت طتلقظًيٌديذظ ثغقفزقزذدل غازسطضاحرن زميُظرطيثنط حفتٌضظٍينضدز لهسخسمثحَتي كًنبعمخاذنخ يخرثجحشٍظاًط 
خفحعجثجِللط نبسسجثكثزر زنظوذمغشزس تيخهًهكرخهذ قدثصزهوششز غحلجزمشفجطً حُشتَاتظطسطسً جسشٍابِعظعبف لكزيِغصجذييٌ هحكهرَدكدعظٌ 
معنوغباصهب ذٌنوعسقطوصي ثرصهبِجَغظصجٌ قصصلثبضًصاد عممتُمغجاتي طزوشسوٌنشدع لظعطدًهتحقض شهسرنلطلرس طٌدضِتُجذثاصثُ تِبفثدثعذفطٌ 
