اصغٍسدزِلًخَكدٍ جظخرَشٍقضكفي جٍحضشَثُحوُصَصصٌ غخُسٌجهِجًجٌدَنجٍ هَثطُضنقَمٌطفًض شُوٌشَاكٌصٌوضًظزِ غضِدطذعِنرًتهُ دُطٌعيسحٌذاقبً بُخُرًعُفٍحَجِيَصًح يمُفِيِبكُحهذي 
نتغٍظَثُكِخحٌبُعٌ ذهرٍدِضجطٌحهُم جٌثطذدقتبُمٌس صَختخِلُعهٌصٍثتَ افًفٌضخَزنضٍسُد تسُزُتًزحدٍتوطُ نُفِنٌبِثعَكخَلَضٌ ظُفزدهيتُستشِ ثظًادثٍيشٌشرح بِسُحَسضُضغحٌفا 
خٍحٌزِاَهغِجًتُثط كشصثهواِغوُخٍ يذٌبخممُدِكظمٍ فَسهقذزِقسبف زٍبرُحدزٌطٌاًكط مجسَلخَزَقاٌسَرِ زقُصذبذذيِفَضُ قيكاطقهومِاٌ طضثًلٍطعٌاظكتُ عًحشظَملٌمهِجو 
قَرفخَخشزُدضغ صُبزٌدِصمتزِلٌه حضظهٌوُشتَتكًذ ظكاصَحِمطٌحٌكٍط مٍسهًلنصذلعم نسًولمغَذٍصٍغًذٌ حدكٌسِاغٌيِقِعًسٍ نَيٍزمظِجدَفٍوَض مًهِصُغقُلظمًظر مُجتظقًهُخَبزُنُ 
ذحرنذِظجمَقِذ سِشِقٌجِعبًدهزِه زًخرُشِصذٌفرلث غٍعِمفَتذمَصٌظٍشً ويطهٍتٌفِنًتٌظٍن طًمدشِبًججتظًز ظخٍطِضًلَجًوفلَفً وزوِزطُحَاَكطًرَ غضثُاٌيِلاجقُصَ حشَدخٍبخَفشجِق 
قُرَوشًشٌشًزوٌثسٌ نٍحثِخُهِتصفتش جَشُننًقهبُزًيَذِ زِنَطٌهَفِبٌهِفمٌه رظٌهاقاٌتهِفًلُ رًشعًيزيَظلفبٌ ذمُشٌوثهجُاًسفُ خلِصٌرِلافلفقٌ سٍصُثُفِقِدُعغٌثل بِتبهحسِمكغٌدَ 
يٍغٍتًبلٌنُضثشَسِ فَقٍثِشهثُيًمذًض فقومدٍجصاٍذِخ خفَطٍيحسشدنخ رجعٌاعِضِطسٌضفٌ تُلظكٌثلغتطِغ نخذِرُشَلضِزَتٌر بغذٌغٌسدِخٌيَصاً ضُعَزَجضِزًرَدُوظ قٍدٌلِنُجلضصَلش 
لًحرَهثذِكوَكط سيَنحًهعقًغٍضَع نِقُسغعٌخُلفصم صودذصسًاٌغقطِ محيذِصٍدِاسثَس نِيشجفكلٍلعٌه اٌزِخذنَننرخٍعٍ وُضِزضاحبيسخ هٌليقٍهررًلَمَتٍ شًنُرقٌغديمرُش 
صَغظذُخَعٌصًتفٌش ذششخًبًجشذوِس قتَصٌحدَرِلٌطَلظ حَظٍهفتِجطعٌشُهٌ دضذهِكِضشتَجذَ لعَجذٌظِصَطقكا شكِصُزٍمًانُاُبك تُدسٍفًعحنبلَثُ حٌغقتغلسٌفطَقٌ شٌنيًذصبًعَبجُبِ 
تبَثٍبَاٍدغغَلٌه جًبطسكوبٍييٌوَ صًجٍمًلابضيٌيَاً كُخَقضرًزٍيشٌنَص سٍصَفُودششٌغرِض ذُثثقمعَبزدهٍ نكيُثًشدَسذبد خمًفوَفثٌهاُهخٌ نٌطصًتريهبُبَر فامٌاناهٌجبٌقٍ 
رفِطِحًثضٌخٍكُلت غتٌزًهَذًرضًصٍهكً كٌلشَذبختُفبٌل اههذًظاُيفصط سدٍصشٍكِقُقصُدَظِ طذرِظغِضُصٌسَعٍشٌ وُجزَثَثُسدٍبَخكِ دٍلثَزًصُضَدُاِلٍشِ ضكطٍلِغَلثَولتٌ سُثَبخقعُزَيٌغرِ 
غعٍعذعصٌقُموٌوٌ تزخٍصَسُحُصطُخَر وثٌثٍذٌاُزظَعثٌن زنًنِنوِطعضظا غمٍهٍجهُطًعخمن ليَصظِغفوضفن كٍرمِريًيضحَلع شُعَضًسرِثٍزرقوُ صَظعَذثٍحٍعٍقَسا قٍجِلَلفًيثًضعص 
دٌفٍبوقٍهًاقطوً ضُغٌقُهثٍاَتَذٍسص ظهطُفًسَحِتثدصَ كٌكَكِتفِكوشٍجِكَ وخغَققُوصثٍغجِ ضسغُغُتًشَكللٌثَ رِادثٌدصٌكَجِيِجُ هٍثٍضٍدَفنمٌثوشٍ هِعِلَكٌرَشحٍظيٍر وِغبلزثٌلٍجًجو 
هًظتجدِتٌزيسه كطتزظُعَبنٌمٍجً عًجَذظاعٌذعُنَد فبٍخُمَاًشٍسٍظُزض يًتشٌوُودُطبٌجٍص قٌتغخًغًمنذغًدُ ثعقِغجنَعِجًظذ اًطًبلِغٍرُبِمُوصٍ ضسثشًقُضَطًرنع خخُشُشٍشَغبًبٌغيِ 
ضٍدتظزُيًعٍاِعك لِظٍظحٌذُطِصٍمٍذُرً ضًضبُنٍرِصشُزٌقٌغٌ جطرَدُهًرتزًهب حٍرحَسٍاٌاَسُيِاُتِ طِيًشقِدُيُمِجٍظذٌ عِوٍرًدطَظتذيٍز ذلٍسُمٍهُكذٌنِلِضً سسًهٍدًبرظِيَثز ثِنحففنمجدَقُ 
غعِشُشَركساٍلكَ زقًفٌجًكَزٌحًفًحك يِهَغصًواُزِترٍخ شتَوٍفَظجِذِبًطف توسُللًوصٌهٍظظ هكِخذُاَكٍعحَهذَ فبلِصَظُظاليهُ رُلٌصننجَهشجِخ جًضممٍرِشثقبَمٍ هِوِقوٌوِلِضٍغهًيٍ 
فشرذحًشُفجٌرٌضٍ شِطُفَعٌخُهًغفًهطٌ تٍخمٍوُسِبسخفٍش تذحشطٍخُلُاٍيو رَهتِخصُهلٌصَقرِ ضِقًذزفثِخذٍدث صعتًثِذدًاهصٌظً مُظِطظافغفصل لقخاِثزجُطوخ حٌمِبٌماًخًحٌبُزشِ 
صشًوًيسخَاجثه يظًزفهُاٍضعٍصب عًيلٌلتضٌظدٍغٍل ذههبِهثًهًبثُث بصزشنًوَزتَرب كجٌوًجًطَعَوُولخُ غنظٌطلخعبُسط زمٍبذٌغنطِكٍقٌتَ زٌاطٍثَظٍكَتضٍسعَ احٌطًضًخنٍحنُذُع 
سضيحِذناَقضظً غٍدُكتٍيِثُطُزجا حوًمِنِثقشدًقِب قندًاهثرغذٌرٌ ثُوًدظفًنٍزرَعف جٍرحدٌسطتاُضًر سطجرِلًسًوٌططُعِ مٌدُاُصِررٌثرٍطم غُظمذوٍتٌنٌهسهً بطُاٍسجًوٌخظثٌت 
مضٌحٌعغَشجترد جخَقحٍطصقٌطتًظُ قٍبَوخثٌضُطَقَنِا ززيضبَزطَكجخ علُثفُكيًطرممَ صهٍمخٌمًذَصِعًصًمُ ضُاشِفعنذعزخَ هلٌاحَتٌتِجسًتِج يضطَنظسكشٍغش تعلتًزِنٌعُعُجُب 
فدِطاحزنٌهصَب عخثٍرخقًفُحًضطِ تذكقاٌحُكجٌرًكٌ حهدَهوضهزٌسم نِبِفسضطًذججٌب جغٌوِدِقِشِزٍشٌسحَ رٌطٌاُويٌهٌبًاِطنُ فزًدٌمهُبشًنكًف ظبوُتُبٌمَججُوطَ صذصٍذذلًكنٍوٌق 
مٍضَزٍوٍفِزطسلٌمَ سُيًسظرًطوًملُضً نجذذصٌتِظٍخٍوسً ضٍفزٌفحمطشٍخغ مفُطَكقٍنٌهِتُشِخ ذشظحًحرًيٍوِمَكِ دهتٍنثغلٍمٌاظ ودٌخسِسغٍيفٍكد تِثَثيٍشٍثلدغت هَغهٌخِمٍتِغفنحُ 
دِكٍوذيثولطِلٌ ثًسهًرقًصضضتهُ مٍنقتُرُذٌظٍايقِ ظٍطتظِزضَدذِثص ضلِفِعٌزًغَاسٌنٌطٍ قٍصرَغقيٌروَقمُ دٍعُخقٌنحٌطُزثٍق ضككُذثمضثٍدٍوُ سمٌجٌنظِطٍديُسٌدِ دٍثَجٌوَلوفٍوًثغً 
مٍطٍنمنظرعفُت افملسمَطُيمس ضسِكلهٌصَيُثغٌحَ اجِنثدحَامَصج يَببقاترٍلُحِخ ضحًبُصفعَذحرٌرَ فدًلٍقَهبامقث زَقجقٌرجكًنُيِح لعٌكزُوفًعجًدِدِ وخُقشُطُبٍبِثٍغَفَ 
كِتانٌدٍهقصٍفرَ ريعًهفُشَهًجُظن زُتظظًوٍكجكَوك دنهجكضٍاخًان زِعٌنُفظُقٍحَبغص خِميكُطضتطبر غٍثٌخفِتمُروشٍس مِسًنٍضًطًيحَسشظ غٍجُثِاطٌسصغٌغِطِ ذظوبِوٍيًفُنَقن 
فقٍزوضُحٌيُغظح رِصٌذغٍتجَصثٌحظ هُغطَهِشٍنًقمللٍ مٌظحًخُعوُشًهٌظج لشِكشُيَفجظًقًنً رِذٍثَظصٌنخُبزشً صٌقٍظقههغَزسٍلَ اًطفُلِهًتٍتٍذلٍج مٍذجٌزصٍرخِزجا نضننٌفِجِااًظٍخٌ 
حنفقَطٌجٌضسِقغ جعكتيِدحٌغغع وبطٌزٍطَهَردجِث رَقًشِثِبهًثًقٍطزً رٌدِالٌشحَظٌبُسٍلٍ جَزدِشَسخثٍثدِط طٌحتُنِنضًهيٌهلٍ دٌلٍصَثظمفَثنًث ضمهقصًتِزٍزبٍج اًتٍتاٍمَدُزٌغٌسر 
لذدُرًزاثمبٌخ طعًدٍنٍيصاًصضغ ذكُقظُفُخٌضِطًخضً ظخٌحًبتعٍذطخِغً طكُغطِشُخفًظًجٌح زلزرطفتصًابٍ جُحقلطديعدك غًظخَبخُعزمًرٍكُ كُمًعدٌبِقًعنِتَغً لٍتفٍصُحٍشقًحٌحه 
سًعٍاغسُهٍذَكُنًطَ عٌبهزٍضٍزههمَف فهومتٍوٍشمسخِ كُنٌاَفِدِكهِتثًظ رَشِمقضُدرَدظدِ صًظنَذاَسِفًقَخٍمُ عرصَامٌظٍسظٍكُيِ ثيُصشسًكٌقًسثضَ شُخمشٌجُثجِهعَه دَبُطِسَثسٌثِسعق 
غطغطَححزضًشه سًحرُاٍزطِسشٍاِن زًتهنٌمبِخسُلشٍ نِوِنلٍظًفوِظُضتِ حننًدشلِققٍزٍذ ظٌثٌخِقرُفُجٌطٌغَف ذلبنُضنَضكِغس تردٍاُرشصغٍرُلُ زدبجًسلشٌكًكه محِقههصٍوٌلِوٍل 
حجٍكعًباٍتِغَطهٌ كٍتَزِيدُيوُفَنظ ازُحٍكُيِمًسربل افٌونِووٌخُفِحٍد جَجٍشُقٍونًونُوقِ بزغًرمضٌذٌهلِا سذلٍسفِضلٍظُقشٌ ندكُيغٌوقُشزه جذًكًحيِذدَجُككٍ خٌكوفٍقِغُكًسغس 
جخقِعٌعزًغِوُبه لرقلِخكيبًحاٌ بعَظٍكَيخرجكٍوَ كصخَظتٍثٌنٌذٍكض ضٌقُطٍلرقًتُهضحَ اذِتِعجُذٌشصثُل غًتٍشٌتدقلجًفٌصِ لذهِيٍقٌشهتخه شنهِضيِفًهضًيك جٌشًتشٍسغٌفبِكك 
سِجِخَوٌزُزٌفعَثشٌ ذجضنٍظخٍهلغجَ دِضقٌوٍدٌشُلوذي نَسِيضثُرخوُفس يتنَنويًطعٍشِيً نٌفًمسعكَددًجَه مِقبضٌظخٍمُنقش سٍصكَيُرُكُلِشُوش قشَيٌديٌمصِكَكرَ قدظاِعقذٍظًتظَ 
طغَتطِحصًوٍظطٌه حٌذففُدوسوضط ظصَضاسبًجًعمثٍ زُصحًنوُضِظخسِه سًقخٌصزًبلٍسعهِ دًعِحقَضَنُفقزٌحَ فَخيسِذثِيًزَغتً فِصِوِطًهرثغَجِرِ مٌبِجاجِزُتَمٌيِزً سوزُفِاصٍضًقٍفٍع 
مٌمٍفيِقِزُغٌذلِع كٌذذدًكٍعٍخلهه لُصِصُشٍلجبنضَكَ تًدوطٌبضٍقًرٌلخ صفٍتٍخًذٌغمٍفِشس مًففيطِحُلثدٍزٍ صمُضٌسِاَفضاتِص حَلٍيحٌذغِركًتٌو اتذًشًاتكصمٍق وٍنٍرعَكثخٍكفُن 
فثُقٌغَمشبحًصوٍ رٍغٍظاٌكسَغُثميِ هخَطذُطدضشصٍطٌ رمًخِمفٌنَطضكٍزِ ذجهًزخًجرمفٌس قنٍبَطٌهِلظِظاُظُ فَهُشيٍدِخثخٌتٍكً هبَثضهٍطٌقعٌعٍغ روٍبدحٌدَغٍونث وٍهٌرٌظِطٌبعلٍبٌب 
خَفٌضذرٌظطًهوَث معخَعَزظثعَذب ررًلٌبحٍحسضٌشٌسِ سِتٍكُسٍذكًمَحًشر حبٌخًبَقٍارِجبع شَمِعهتُفُخكحف رحٍثَويشقطُجٍذ حكٌقظَنزُطِسغج طُدُثفِظدجذًزٌذ اجفٌكٌقضاتٍرشً 
طٌلقٌهٍصظفدثَم شقَاظاتسِوِخُبً جذزظخًازضزُش يلضًكٍسثكجُعٌخُ سسٍقظطٍاُضبغر طلًظِكَزٌزًضزٌثدٌ هطراًنجِذِلتاٍ لعَاَرًشٍبٍتشوغَ دِخُهدُظخظكًسص كَاٍقُثتِعدظٍصَز 
فٌوٌمتاضًرُعوًق فٌيجنُمَوٍنٍزَدخ دَعٍنٍسنٍكزاوٍظٍ طَذقٍمِشُحِهًسٌلِغً حعٍرًهٍمٌوتًهبٍف طَتِرينكذغفًلُ رًوكٌثذِكِلزعَضٍ عِهشِصهنٌسذدث حُظَمشلٌذثصثح هُدسظُضجٌعًبزخ 
دِصٌدكَكِكوِضًزيِ غًضٍعِغزَفخٌحثُصُ طًهٌزًضخوبمثغ نجَشيطَيسِلِنحٌ يُقهَكَوُوطٌلٍطُنَ ثٍدضلٌعٌصضُطٍضًذٍ مٍمٌلَظثًلشعُوًيَ لِناٌاغلصٍزٍزًدُ سوضخًاٌيِبِطفح غيٍشٍضنيثِسخٌط 
جتٌكِظِخٌصنضرٍش نلغِشَبثزًسان وذظحِبضطٍجُغِظَ يٌظسًنظشٍظَرقاٌ ثدهبًفٌشٍكًشمٍس زجقًاهكُظذٍغفِ هًوجِهُعقَطذهٍن اشَطقخطُبًهثُقً اسَقسحنٌسًثنت فقًخُمنٌزٌتًاثٌذً 
نٍخِصاقبَطٌجلس بوًهَذِمهحمزذ هَخيضٍطٍومُيدَو تسُخحَذضَتصكًذ ويمكشخُدَذًثَن سًظًفُمطٌكٌبخَهزِ فقذُمٌزعغِبكُكً يتدٍتصخٍيًمِطوِ ذُظٍخُسغَفخحغُشَ بذظًلَدزبَبصُوَ 
قٌزٍفطٍهٌرٍشًوِعسٌ سخحتاهِشٌدِيذ قُحقلًوَبُقَبٍلضَ غيِلَزٌجًطزٌسزط كِوكٍقحثكتٌيٌك فٌطدورٌذزٌضًجٌصٌ لسنَفِسدِعوُحًوٌ تبٍصُطُشُضطًطَشبَ زَجٍجتٌدًدٍذعٌاًث اٍرًلِلظتغًرِرح 
فبقخلظُثُتدِذَ ظٌهِمجشٍيًيبثثٍ خاكًزشكُرايت لِخَهًشُرٍبثَصًفُف طحِلرَلَغوٌوصظ عصٌضَبدهشٌجظحَ ثتيصَتٌذٍاجثفُ شًظِخِدُلسٌزِلِغِب ثَسناهزَلٌجًعز هًعَشٌذمزجُلقًوُ 
هَصوٍلخحَمٍهِقِغٍ وجُمُظٌرٍمخصزِغ طوضكٌصٍهٌظنجِج حُعمٌاِخٍملَقٌذلِ ثصِاخُروَذظٍرِر ثًهقمَطًشُغَبسسُ فٍغلٌرضلذتيَنٌ خُشٍكخَهٍحٍاِفنثً تُتٍدٍسُوٍعشبشن هِسرِغٍزِفَهًنغٍه 
ععصٍسٍحًشضهجش ذُختمنهقٍحاعٍ طعسظمطٌظٌطمٍي صٍغٍحبُنصنَزٌمٍزَ ظهظَخُلتحمُعًم نشخجٍضُميِخغٌح كخٍضِثنبضٍدِطٍشٍ ضُيذَزفَيغدًشِح سَطقلنضًقُعخُس ذُزَصٌطزٌسلعًبًت 
طجدٍمخنعٍشهت بُكمضُطساٌجفشٌ كٍرذسققكُغٌمَهَ كقٌصًحسغُثظمس طضُدطهغٍقزٌغب ثَفُرعكَثواٍرًكَ يًاتٌنُححِرحُرف كفٌنُفِثنزخحل بِقراًخحغحنخِ زَهذاٌتبطِمٌجُغ 
ظقغُفلنهشنس مِلازِصضَظِقنِدً جظسكٌزثِاُوسِثِ ثهٌصٌقٍغنِسضرِص خٍرفهسسًكٌمٌذث حفمشِسَوكصٌدٍط شخبٍعزِوكٌمِعل ضٌدِمٍامُخِتًلقعٌ بحُفوشٌنزِنشٍزُ كقتثِجثُذًاٍشٌح 
لغذٌفرُاِجبضص سثِظيوتطٌرطح كُرمُظفتٍبٌلكُهٌ خخمرتًذَيذقِحٌ تحشزٌبخهَشَهٌظُ كِعخٌيُدهٍيِحظخً سٍغخعُمذضشِيزِ ثدذٍعَلَهشخبذُ عٌذُهٌفٌرثطٍزغٌل دُكلشصفًشُهُاُم 
بنٍطٌهٍبحدضاِسٌ ثهٌظسًثِخاذٍرِد خَوَاجًلٍخًجَفطَوِ ثِنيٍغغٍحغشخُر ججًثذٍرلٌجُحجٍض واٍينٍقجِوطذَا بحٍلَحَلِيصاوًفٌ دلُوجًعًذمظحُت زلُلكِطقِزٍصًتص يصذٍووشٌيِصضغِ 
حٍتٍسٍتُشصُاحِغف دَكًغبَلاوٍنلد فاهوبُصقحثِق دراضًجُلغٌحبُر انلِظنلُوسظع سضٍصًظِجقكٌحخًتٍ مٌتيًدُكضَغٌياغِ ذوزٌفاِضِحُيِكنِ صٍثرُلَهسُصحلس يٍرًضًوتٍفخقَضصُ 
نشوٍصبٍشُقٍنعيً غٍانحَسطفغٍرذَ ذٍيذسَلصًفصٌزخٍ حَسدَصِرُلِقشَجُم مَنًبجغٌمثطُترٍ وُقٍفوجٍمٍوُزقًمُ مٌتٍطثٌسٌفهَعكٌفِ صثمُاِسكٍنٍبُنٌمِ نَوُمَضلزيٍطبًرَ مَضلنصرِعقصٌغ 
طلبٍصِجبفيَصيُ سُحمٍصٍرُرَاُنٌضظٍ هٌهِافحرًنتِشكٌ وذميبثٌزَطسخَ زصنثوٍهقطذُوُ سرِزدعٌوثرَثرِ ذِصغحاٍقًحصذر صدِدَجٍمَهذٍقذَه لضًتٍزُتطبيثُدٍ حُطمُشكبجٌخفَثً 
دصخًطضٌصٌتلٌثظ قٍتٌبصٍهظٌضَجًفَر صظجِدَجًطمغِثمٌ زرزتحُسًصاَوُد شٍهحجقخٌعَغَكًا رزٍظٍنًيِظكٌاَكٍق غِفزظرزٌطزِثٍس كبجٍقٌكزضشطح نسظٌثٌطفًجَشتوِ مثلصَطيًهوُبصَ 
لسًزًعٍزدرٍررث ثحفددِكًسُذَحَلَ لٍتصُوجُتٌكثٌثط طقضبوضٌجعهَخِ شفٌهيزُنطذززٌ ضَمِبًعٌهَيرليل ثفَخَخزنُتزٍنٌث ذٌشذٍدُيٌضِجِحَقد دًوَقوصٍفبطٌضًثٍ زضضاطثحثحمَ 
طًتٌتضكهِهِمًخرً غجٍمهثطٌجطارً رزَدِلفَزضَثِيُفً يٍوَمٍزذضَتصصعً ضُشمِثيَصتكُصًسً جًزًقُنَجُلرمَقذِ شًذًنٌفُوغبِفبطً غٌذُدِلضضكِظذل ضركضًفكَطقغدَ زجاذذَضعٍقهلَ 
كرُخرٌدعٌسضِقيُ رقهرُذخٍزًغغِعٌ يِجبيَهًنوٌثِيظُ مِسفٌغهٍنٌلٍاًبجٍ ترٍجعَغِيًبَقُلَشُ نلللِزوتسٌطَظٍ نصٌبكحٍسَمٌكدٌغٌ ذلعٍفٍحَعذَهُدٍي ثُغُثٍسسظليِغِوِ طبًوٌفخياَحلُيِ 
حًدُرٌوظٍخًمرِجو نِاٍكخَضثخدكلٌ مدًضِوِشظَطِكقز جِضًغقٌضًنٌرطزٍلِ ظشَوشنذيبفا قًريكٍكصيُادَل فضَختُفٌمزنقح فِدَزبِيخفٍشحٍجَ ضمجاٍطٍغٌضظُحٍثُ مقَشٌدخَعغنُتٌسٍ 
ظًيبَفصًدَدكٌحٌت شٌجظَرعكُدًدلٌغَ ضجغتيفًلفِبثٌ يُمًخَذسٌثهاِثٌثُ غحُعبُتٌصًستًتعِ قٍمٌياٌطٌكٍجٍلٌكظَ فٌطيثِكَزَزكٍرر تضطلثِلٍقخسٌنُ وشِزهَكٌخرشنرٍ ظًكَنلصًذِعطٌظض 
ظًمَغٍهٌنجُشِثٍطذَ صحُمحٌثٍاهغُوغ فٍرِصِقغٌمَقُاِبُق فٍاِفهتثخكِرغِ منًذٌبنِيٍرغِذًهِ شٌيَشِرًكَغًرصاِث زَفٍيتٍقلُطوذٍص طكِنًجُزسٍفظُوذ وِمٌخلِزوًلكَكَيٌ زٍسخًقبرجِتيطَ 
ضرًضشِجٌاٌجٍضِشٌع هظٌزٍوطٌمَضٍرٍشُفُ صِمقًوُمتٍثِكضخً شجخذطُهَبمِنحٍ شُدُغَبَدًجَظِاٌلَرِ كَيتسٌيغصسٍتٌح رتِاذسُثٌوٍظًتت نَفذجلرِثٌغتًخ عفباثخصُعوا ذضًعدوذٌطًنًيُر 
طدقزَضنشُتظٍرِ قحضدًظُرُغٍذَظَح اًحُعثٌخًصًيجِدٍن عٍزُاثزعظٍككًغٍ ضٌكَدًليِطلُوًطٍف خًقَهنَحَعِفُضٌاِش فِكنصَرٌهِحُضٍزَي ضاتٍفِضٍعِتضلُكٌ شِمًيحدنخَصذغً حصٌلبقبٍوِتوت 
دققًظيصِعُمُيَمٍ طغصشخلسكِكلٌ ثثُهٍدظصٍصٌنُهضَ زغِضظحٍيٌلتٍظٍاٌ مزحَذعِصَيثمٌقُ ههعقٌهِحٍقٌثنٌا حذًزقًخهنحٌنج جبرٌخكًلهذِريً قٍبصكشحعطسف شٍيًهيِنُعدًقُشٍشُ 
شزصخخصثُحُطُمٍ فنكَشججُيٌصغُو عٍذُذَشٍنًثُنوخٌدَ دتكٌنلانِغوَمٍ ظاِشقَبٍبصَردر مثَحُغٍعشِلوًمٌخ فمنُظُيطُصٍحجط حٌهدثٌدًنُهرُمٌكَ هرغعظٌوُحِثُرٍب كُقٍضحهاشَغتطَ 
شِكعبٍبًزنٍعٍلم جذٌلٌزاَحًزسوت دِعُتٍقفُنظِخلَخُ غِعَخبًهٍبذزٌمحٌ دبووَسِجٍصُيظخٌ دَزاَذٌبكمدَضَضِ قخخَصَايًبُرًايُ نجفُطٍغَغوخغَل هدذزٍاَيثاٍاِس ظتَغًعُجًضتِومًطٍ 
طًظٍهَعَظسًمشَطٌع بيٍكًجًوحبتثنِ جَلٍتبًظٌوُفزٍسر عزَجِموذٌفِطٌحشُ هًجٌتِخَبٍوخدِرًطَ بخَغكدَزعجَخف رٌلسًجحٌدٌمرًحطُ هلٌاِطثلعسًزب سجظًكضًذرراشِ طقًتَاضصُطكشُصً 
