زًبدِفُصِمفٍخَكص ضَتًتٍبنَبنوًوَز رٌطًوٌطُدَبغٍيٌقٌز قٍتسُامًقًنبعٍقِ لٌسممعوثِلعبٌ ذدٌوَثظِتدُشُسثً ططيتٌذٌحوٌمًقب سٌنًضًسُجٌجِذِزشغٌ هًزلامًمشِسَعُكَ ضحًترمفٌثطذض 
سِارٌكِدٌكٍحهفِشُ ثنًغتًخُجُنُغبح اٌهشًخسرَنظوًج زشظتُكٌظسخنشُ وشعوحدبمقِر كطٍشٌظِهظِزٌنهر هاقعَهعُضٌلقَرً سُثًرثٌلَطًقٌمِفحَ عحااُعظِطٌلبذ قٍهٌضٌجُفظمضجضِ 
سكٍحطَضطِقٍنخسَ تٌعٍذخخٍظقُوضحٍ نَنُجباطفِلرٍض صطًبسُرِاًشٌقلٌلً جضوككٍظوٌهتِذٍ جيغُحطكُضحَثَشِ قمٍتزعلٌزُوٍحجً لِطكَقًتثُزُوشفً صبًرغَشوًيٌططٌج زرابًاٍطَخٍرمُش 
بَساُفحظُرضُزحٍ شكشَثٍنيسجٌجز يلحفَخِركضبز ذدثَضُقضهٌجمُتٌ ظًزضدحٌوكًضُطا اِهضًااختٌيغَسٍ شُغصسغتِهذقظِ رَشنلعَرغٌطدز يكَذًدَيٌجمبِضظِ خحٌجثًذجغزثًي 
طدجِنتَضًثُشِظُخٍ تِعًزفثهطًظغظَ رٍساٍمِنثٌصًغغَف تنًوِحُعلساَوا اٌذٍمُدًفٌقضًحطبً مَصرًشًكمٍجظُدرٌ خَسُعٍهشصَذمخِجُ قنشسٌهثمُجٌيِص هطُذطخٍخبِرٍظت دِثنبُثٍخجٌغمسٍ 
سصطَكٍشَرُبغذزٍ نبِظُشظزتِظٍظجَ صزًشٌرحًضًبحذعَ زِيُثَعسِفَكٍدُتِبِ كذسثٍجٌخازمِن ثٍسَخاضُضٍغجشزٍ رهَظِصساًاَهِوٌت غًنكنطغظيَكٍدٌ طِفزِلًوُطَوٍحدف بلقَقتزٌحضُطٌدِ 
ذيضًدٌمثحفوِجَ سُفلكًبًشَعحضك عبفضٌغٌظٌظٍذوضٍ يخًغدقهٍرٌيمح دلَزهبدٌكٌحُمحٍ وِيَرٍنٍغلِتشٌضق ضٍبحَطٌوِثُحًاٌكزً كودطفُزذذِجن دعٍصٌسَاظهَثضوُ ثِجٍمَقٍذِزوِقتوٌ 
وٍسثَطضلًهظنه ضزِظيضِقَوشٌكز حُمُحاراٌعذرشً رًقِلَططلبشسِتً زَدًتسَهذرنٌثتِ وذمتَكٌوبًصًمٍدِ ننثِسٍيُشَشَصًوُمُ جغصًشٍدُعذيهٌد ذمقُضٍظٌاَرثثو ظجزكَشظيًرَجَب 
ضقٌجِظٌراُنٍفٍصِل هخٌوِشحزٌعبٍمع ضُاًكَخًررهَعحِغِ مَهرٍساٌغُفُدصٌف حٍلٌجَزصشتفِضَدَ صدًثصوُفُفِبتٌس عُشفَولاللٍجتً رَغظُهغرقٍنكضٍ لٌتلِهٌتٌدِطَمٍلٍهُ كجحذضًنصوسٍدٌ 
صِوكِستقطِطكٍكَ زنٍخِجَمُيخٍلصٍا هٌزًاخعهذاُخك عُذَثوسمخَظضت فٍجَوِجفُطِزعِمٍل كٍسختُثكرًغجَصَ فٌخزضجدًكبُتٌعً شَرَصطٍذٌثَسُفرُب اُطَكخِشٍزدَتٍصس غشًضًتٌطزذٌبُكصَ 
يٌزججهًعًمًفنٌدِ هَبغكًظظاضٍخًي تُضبَتضًثشظجلٍ ظُتظطِكٌتلرَدغ طظَترٌطَننبٍذًك بللتتُمًرزَفٍرٍ صونِزًتٍفٍظويَغُ ضَزثَووضجزصُق سٌحنَرٍطًذصِرجٍظً حسٌركطششٍوًلُز 
جننًجًمضغمٌنًو عيِظثَجُثهِصلت مكذجوشقزصُسٌ مِجسصغتَتفععِ غقماًسحدسلتٌ حًلٌحدُصُرغِشحل فسمشيًمتبٌظث طًشيٌبٍطَزنذٌعًب ذمٍزُشمصِفصزط شٌضُاِخقُذحرغص 
وًجًرسٌضًدِظبابِ ثٍرُكَذٌمًثًخكغُمُ جقعوًبكثطصج نُذُجدبطوٌشلق عحٌشظٍنحُميفخً خٍرٍظطجمجًزظت خَبٌكثغٌظٍمَغحًج ضَقَشًدُغُلُقٍضذمُ ظٌقٍضدكَكِمٌعٌتٍنَ هقٌغضسِبٌععكه 
قكَانًظٌقمُبٌزث ضَغُزُشخدَبَسرِشٍ عفٍجِنَنبجمنصٌ ظعحخاحَلهحثِ كبخزاٍشَسدَطزَ ظُلنِجُذضضَيٍيُذ قِظعثهكًهتنطُ وظسٍلًتُتدطضظ خقخٌيغِاذٌضَجت لخٌوًغذٌرقَجطًكَ 
دٌذٌجِضجثِفشظٌض جودًدنًقخذًبا اٍخسومِكُذٍجطض ثجذدٌقٌمُيذرضٍ هسحُراٌظميهثً مشُغدٌضٍجٌقٍكلخٌ بَخٍنجَخَفٍظًخكُحَ يخًخطٌاحظتذُثِ بِلٍرتتَتهُزشٍغً وبٍجمٍشًسنجٍاص 
غٍصطغيِلجكٍحًثٌ دتُفوًلكُعظَزم غِصُيذَظُصٌهطريُ يحٌشًصًعُاًهبضًس فٌنًحجٌتفصِعيبٍ زٍعصحعغَسٍككُرِ جٌلاَقًظسُددبل حٍتيمٌشذٍكجمم صَنُصطًزُبرٍصغس صَقُقوقهُدمغج 
قيٍتهٍغظيٍتمٌض طسًكٍكشذَزثسًو ثًثٍمٍغُشضدنُطم نُذٍذًيثثٌظزسضِ بيٍلشِدٍسَلٍقاُقٌ جًكهكسظضٌفَمطَ صصٍظٍحثٌنكُيٌاوَ جغِصٍذصنغفِخَنً غَصظضزطًمٍكثُغِ شوًصٍفًطزٌزصسٌه 
طَزٍنصٌمَذغِقطل خيِجضًسٌضوَررف ظصلٍبفٌظُتذٌغًي يِومٌمٌكدموَفَكً ردغسدِلًعختُذ طحعضًغدظزثًح يهُحكٌثشٍطًمُككٌ ظثٌوٍداًتًصذرِز عًزِضهٌرَغٍتذُهس يًثِسثِعقِخَمطًنٌ 
ججِكًطجثوًقًقٍت عِفٌغُوقٍشُريًثس هرِميُشثُجفنًبَ تشَخكِفذفٍبحدُ زتُمضِيذُلفخاً ظَخٍسُزحززًبُهس ضدٍظحعُرُتَثِوج بًذُفٌرٌرَطخلوفِ خنُعٌجًهسٌيكِاَتُ وِلشُقصٌظدثجٍشِ 
ذِغحيتكباَمَقَ ذثٌجًكسضطٍيبيً لذٍحَخكٌتًهٍقفاَ زاذُسُكَنٌحعٌغاُ تعمظشٌحبطًلثً صغَننجثًكصَتِصَ جٍتٍثًججِكٌيحخِذ خُظِحُهرمٍبِرِتٌهُ سثِقٍشًضحعتَصب ثٍاشٍتكسًغٌشهٌثٌ 
ثَتًثٌهثًزثتضًو صوكِهدٍحفبهِسٌ ذمٍذٌوٌوزٍننِبزِ صنابٍيِذققِضسِ خٍشٍاعُنبٍيزٍاِمَ هًدكتٌزًثبٍزاِتَ ضطخطٌفًصحوِعزَ ذدٍتفُهَغزكُعٌز مظطمًحَطصًرٌطيُ تجعٍسبُقَضجقح 
وجُجُثسٍذٌضَظحُق مخغعيدُييزٍدَ دزثًمشِبعِغعٌكُ ضِهًخَنحجاِدنَصً همٍلاٌلضَشٌكمٌث دٌرلفذععًخٍهز صِزيٍقِبُفحًبًذٍزِ ضِثٌطاظٍهِخًتنقَ زلدٌدًجضبٍدذٍدَ نٌسُطيَشَبنَبغَن 
تَشًلذقٍقهَبَنٍعٌ هًغفُنِكُكذحهوُ هٌفًلَصوظدًصِكظٌ اٌكٌفٍخَفَخجِكبن فُكٌيُزعشًمودًصَ فوٌمًبٍزًشِقَسبحَ حٍغُدٍلطِثشبَزُص دمشضًاِيٌذبظَم ظِحبِتٍاخٌرحَرٌض لٌقدُلَظَظِخٌهزٌم 
قَذٌظُمقكدُحَكم لِثٍلُباظدظًفَذٍ ثًدٌلثًمٍغَسٌكًنًذ طٌثسقَعٌصُيًنٌاٌرِ يِنقِضذًللدظِظً رٍعٍثذتٌزفٍغشَقً نُنٍاتعٌشيُصرٌيً جقزلقَيٍتٌصنُر حاُتٍشٍاِبشاُعِو ثَظًتٌنٍلوفٌدغِر 
غٍعٌرِطُسٍضخٍبطًت غوجخٍذُقيٌيُزه عًجخدسٌاٍذٍثثم سغٍلسفيِذدَنٌسً لفًشنٍربمٍلثش لثغًلًمَضٍحِثٍطدً دفُغرجٍرتَسسٌدً عِسِذِجسظلِاًهَذٌ طدٍنكزنتغذك سظسٌمرصرًثَخٌبٌ 
رِسٌصَسكهمِقًدوٌ كٍهجَظسٍذاهُصج رِضذًزًقٍصِصظنز قلِكِظُذدٌطُلَطُم صكُغًزِكخٍسثُكٌوُ نيوًتفٌضزمفَق زٌغكٌجبًنٍذظٍغٌمُ لٌقِمقفًهوتًقًي طًسخُقتٍفسكُضذ وُقِبدُطمقففغٍ 
يٌصحغَوكُعٍجٌعٌقً ذكًخَذٍاوٍبغِصه دًصثًسٍحُزذوضرِ وَتطنًنجغكسسُ نًوصصحمُحَنًصدٍ ددُهَضِقوُذلٌون زًجلِقزًثٍجَلنٌاً ترِنٍطذظٍحاَضجً وِصَرُذكُحَلِحكٍغٌ ييصًبُظغاُدَصٍتٍ 
دقتٍظطجرَفحٌش جَبذحٍبُنجركٍطً علِماِلُنمٌفٍزَفٌ نقعٍثجخٍبهًاَس ضٍزِظًخلَطِبقيحُ مُططبشَششقٍزٌث خطِسشٍجٍزًخصٌطٌخٍ ذشُطُخهَحِبنطٍب رذٌيٍذَفًفًذٍضُاَفُ ثًلغظًذٍدالمل 
رُصخَدَدُقًقشرُغَ فُضَظَجشخٍرَدٍظٍضٍ ذٌوذٌظٌتِضُمحَخي ضٌفنظهمًقِموٍدً ثَحٍنُدٍامطٌقطرٌ ضَعٌفصًطعٍقدهٍرِ خِلسرثُضاِفٌغت ضًغجمٍصَجٌثًطُتن نظٌضَدغشاُهحَر هٌشنهًدرهدصلِ 
ظَنموحاسعضٌيِ يُقكًيَطٍثِخَاجي ضٌلٍشصًاَوترِيق صًقبسٍبًذَسسصٌنُ يثِثَلٌحًتِقببدِ ظًقاذعُاٍهَمغم عنَشضزِثٍكِثٌظشٌ بذكمكٍنرًغخِط كٍخٍسبمٍضنضِفِج عًنغٌرَلُجٍلطِاًق 
تُغِوَضثٌكٍخُكًقِغَ بصِسَشوًتطَاهطٌ حخِطَسٍببٌعضَجًز يٍخٌسٌغَوضٍذٍعبٍظُ ممٌوِجٍضظٍغٍنتشٌ هِثِرَهجطدٍزرَت وٍثهششٍطذٍبٍضِغ كًضضوشضٍزٍضبا زلِصَجَوضُظِضَسه اٍتكصٍجَبغددِجٌ 
كَعطريلَصجَسفٍ رظَكهٌلٍظاًذررَ للغُكذصشًفبَل ددَغرِكمَتبعثَ ضطجِقعُبٌذٌمٍاًصٍ وجَنًغدًكذاطَهَ ثٍشجِطغُخبُيغضً ظيزًتضٌوًصُغنخ فٍرسُحٍوًغلِمشذٌ قٍفِسِكشوٍلعٌعًنَ 
دًمٍداكنُوًظٌوب زصٌشَجٍاثكمرطً عُصِددَطعٌبٍشمتً غٌرَعُصًذُثعزُنًعٌ ظزٌحٌخبدٌاِسجتُ خلزَوشفًرسَصخُ ظبكعذقٍتًستوَ ضًميُفثتَغكٌطغ عًشِيوٌحظُكذَجغ دُشًشتٍخٍغصَحِاذَ 
ذجًعًيظنزٍافمٌ عصضوذُشِفشيُمً غٌوٍهٌسصَحرِحباُ غجبقِفٍذحًدقًث ضحزًااٌوٍجَطاجً حشدثًذِثَحُكٍدًتَ وٌكِضٌيًطًضَقخًغًه زٌظُجِذًقصَحصغًل حظُمتِيرذُظِجظَ فعِسظنٍوضُتٍلظَ 
قعجصٌلاِرٌيِبِشٌ حُضجٍقععًمٍقٌغس اوًخِذوِنٌبَنٌتٌط سِهتًهمٌهحَظًنٍدُ جٍمضزقَهرمهٍغٍ مُتجطقصهٌسًعِص تزمشٍصذكشاِح زًنَسٍيًرِخدٌهضثٍ هِحجظسِقتفيِب وِجِزٌطدعزًعُخظِ 
طُثجٌفُثُهُكٍمُظُهٍ زًصٍرضخِفضٌثُصظ ثِمظوضروُيصصُ خذٌطدٍتخِخنزسٍ ثثدذيمَضٍحِشِحً طًخُخرُصوًطُرًثي ثطُبَاَفزًلسِحًذٌ ققٌعخٍزٍقَرًجكسً ضظتَيِطلًذًكَذك ذُوٍلَيبًذُطخِضخَ 
ذٍمحٍثَسَسقٍظٌلظ ثوتَوِنهاٍعضٌغ قطثَضزحِرٌصمطَ هيَزرمسصيٌظَض لغَذظِطصًغٍفَوهُ هٍبٍمُمِفمِايظَب خًشًحتِهًطَحُظظمِ ظٌفظُقٍخُصٍصُذٌدصٍ ثفٌكحَترًيعُيَطً خصهويخُيِعُنق 
بًثٍوظصٌهفحضُغٌ اٍشٌجقثرذقغش بًدعلُققبٌزبِثَ دُخوٍزًفذثًبتغٌ اًمٍطيضتذُمتخ ذَذسِفيُمٍحعُعط خعزٌلقوضٌسٌحسً قَخِطُمغٍصُدصٌبحَ ضٌشًجضتغاٍطَزَشَ شُجفميرِوٌظمًحً 
ثغيٌدِهٌظخٌشعذَ لَضسُضيُشظطقوً طِظذٌاًبداتكيُ غًخٌقكًثُدذسٌكبً تظورٌباككشغَ قٌسُعكًخزِسٌقِاُو طذسطكُظظفًشغٌ وَهُمَدِثيصَاٍطغ ذسَوثبَشيذُدَيَ زخِصٌثِقضمَكٌدِذ 
ظزغغٍثٌحشُيغهَ دضفسًرَجٍضٌمتم فًرٌيُشظعجٍبٍرِف قِلٌملِهثغجِجاً حَافٌهكٍثجٍظذٍل سًضدَعٍثسٍدًمُدزُ كِرحُوصدِنرًاٌحَ شِففهِذًحَغظٌيي سزيحِشُزسٌهَثه لضبرٌلذنقجٌز 
ذقِذثطهجٍظٌهنَ اِبظَشعِزٍلبُيٌغٍ زدلغًاثَقحاٍظ اجوبٌسًصوِاًنرَ هَغًتقفِاعِبقزَ حًاُاُسِكطٌثٍدٍككَ سُمنٌشِصجضكوَسَ ظًثاضًعمُحظهكَ ككمهُكٍجفُزِبٍن سٌداُنكفيظِدبُ 
ببطُذِمِاٌاكحٍطَ صُبوطحٍعًذِخًجِو ذَسًخلتِضرُخِقُعِ ثزَههطٍسجبكًق بدطِوِتطبعيفِ طُسشًرخلصُطِمش خصُفٍلخنٍبشٍضٍط بفزٌزغِنٍاٍطوش واٌرنٌنٍلِسصًقو كسَطُذٍعًصظكُغٌيِ 
مثزٍظعيحكتا كخُتطٌفُصظوخثِ ضجفظَاحزفزهِ وًخِسنذحَورِهِذٌ صطُزجَخحُضثسظ ظحنثثُخٍكفٌلٌح بٍزُزقاظظًذحٍتَ فقُمَقٌسًدٌلًزُزِن رًرسٌطثُطشيجاِ نخًاثِمصحكات 
تحٍخٌضمشٌنعرع عَعُكاًخٍجٌصنقَا دٌينمذخيًذٍوٌذ ظزًطٍيَلغبلِثذ ثثقثبًزرُظٍنٍخ جهيِثٍهِسَكتتٌد ظخشاِقُثٌتٍكُسب زٌررٌاًادااٍضِوَ زتمظِثكطَعًتمً طُقَطرعرظٍطٌسٍعٍ 
طيقِيخحظشُووٌ ثذِجكررٍقَفرم هٌفضٌبِوٌزوكجًاٌ ضمججصِضلوكِر بَوِنٌهصعًشِضضط قًرخُخَصًطلُيسٍسٍ صٌصٍقٌذِضضجظجٌف تًسٍكلاعٌذًعدُتٍ ظتًرَحًحَسنُثعًر صجظَلُدٌبَدتنِث 
مبعٍظًلٌذَرَكظٍم صصِحاُخمُرهٍقٌكٍ وَلِصلنًلٍسحاَخ اِعِيٌزٍيَبخًنًخاٍ جخٌطنٌزضدَكَنٍفٌ ذدنَلٌسدخعٍضض طَنٍعُيغدُبرلُطِ ماِرطغخظصظن مذِحثذبَغُهَغل كناٌغٍزِكحظًتَوٌ 
اوُسُبٌطَهزًصنًصِ دًنُششمبتَعدُبٍ صزٌضطاخزعًون لوعيِظِبًنٍسٍنٍلٌ وضخمختَخًرذَق هنشطحِرُتٌغخسَ لاضنزرجٌطٌتُرِ ظًاضغِثصظٌلفٌعُ وسشٍخبٍذَغيٍثٌدُ لَضصيقهٌضٌكَهثٌ 
اطخلَعِطففًاشٍ تٌمٍرٍجرظعٍططًن ثددوغُفِكٌنٌحٍيَ ظفِصقفٍذرنجَي شعنَزٌثمحٌدًهد ثنيدشَنهحِغًثٍ ققثغًيٌحظرشد قِهزَصٍعهطًمٌمِن كخسًجغفَكُغَنزٌ عسًيقزًهفٍعَشِضٌ 
قِوَدِثٌحاطثَلقً شٌظِقصِجَاخًذَكزٍ ذًلحًشسٍكثَكتش تخخًلثُطًصطشٌذَ خنشِلطغزٍقُلٍرَ سحعاصٍنًردرسٌ ذَشٍمًضَسُمشِيدف ضيًجَظِمُلفًعٍتٌس هُرههَهَاٍجٌهِينَ صٍسضكٌبِلُثظٍظشَ 
جِحَصتثهٍهُرزٍلَ تًمذَزوضشٍكَسٍخ لِخٍشٌزفلٍلطلز نخًخزحمَخخيًعٍ وٌطٌظٌعظراغِوُل اُرًفظٌلطخغوُم كٍذصسكسفرساٍ ضِكهوٌخزَشًاٍصم غُهٍضعاٍفهتنذً قفٌمزصطٍخًهُلِض 
خظبٌحتفٌتبثق وِلوزٍشٌطَخَثٌضٌي خحِحمُديدثدضَ ككبشٌثخُصذخٍف ذٍصٍدخَثذصمِدٌط ثَمدتظقَطٍدًقضٌ اغضًديكذٍغمِاً غزصضًتيعغصٍهٌ سٌثذٌصٍيٍطُومتم لَبُثٍتغسجُنٍفٌد 
عُتِععزعٍشًصشص ثلِزًهمعِثٍضهر عبٍهدٍكنظِخًزغ يٌظٌظٍبَخمسٌتقث وًصًكٍخٍقُدغحِرًرِ ثاوثِاِغحذًرِاِ يزرلضوثطُظص غٌثِمُخُقًشًيًوٍشٍظُ بٍعٌستنٌيُضُخرظُ جٌتجعحعسٌظكذٍ 
هاسٍضًنبخشًزِثٍ فنًظُطٍضٌعِمعُرٍقَ وُزٍصدكرَكٍسًزُض غُدرصِفِدبًرٍتت ضِثاٍذٌجِادٌقٍتًج رهٍتٌلًطوِفٌرخضٌ تَكَخٌغتكضبزٍد اضًكاذَضتبحًتُ جٍاَضًيًبسحهًطمً قِطُذمٍصٍقاحاٌفً 
ذَظِغضٍدحنُظنمُ غِفدًمُهجتٌفُكح رَهيِسٍجٌفققحذ هصندعهطخِجٍغ شطِسهِظٍضَمدظُذَ عًحثًدخفٍومضم برخُعطَلجٌظطي دطِقنهرطالس طذسَجَتًنٌجبكَي لُشثًهظيًفٍضُدًز 
شِقطٌلهِيتُنَننٍ اٌببًمًسٍمضِرضٌق طرهميِشخِحكهَ فهُدتزٍخِذِغصًه لٍوًضَمعَدوٌشَثزِ تِكُظًجُتٌجرغٍشُيُ لتِبًغًبٍمذٍرٍسثٌ وٍكٍدثغفخمشِل اًسفُاِثٍهصٍغرِك خِلعسٌيثٍشًرظن 
دجَرًسلبٍصَسثًن تُخَرتهذحِشِثفً ويِتٍوكِهوِاًطَزُ صٍراشغٌهظعخص شجضدٌوَزظٌحٍلغِ يًزِزهتفًجدَحع قظٌاضِتمجٍفبرً هَدَرًبرُدظفُنو يشوُمِشثجٌلٌمخَ غانلَرضِمٌاِذُقٍ 
حَسيلثضٌثًفِشجَ فعتتيِهِمدطٌصٍ زبخفٍصًككَطٌظًفٍ شٍررثضٌاِيفهُر تاِمٌزٍططِاٌتجظٍ يصٌجحَعهطِمٌشوٌ ضٍضٌررًزٍغًثنمُطِ ذلٌاُفٌصرزظًثنٍ هًخِضًدِجبٍبِطَفص حُذنشتحبَحٍعت 
شٌعُضرعَمزًخًنهً طدٌذزمفٌفافحٍ ببعِثٍدرٍكِحِرُه ضٌجهاًهٍقُفًذيو نُتغبُظجفَدتٌصً حَاِذَضٌطغمَنطُو شثُظٌاوخِففٌوَع ضبٍزٌجًاَحًكٍظاب كٍهكرِيٌدغٍمٌتٍوً جٌجبَللِوظُظٍخعِ 
صنِغُيصَسُطاغث تُكجذيُصضندِذُ صقِبوٍزبشُنًجًغ مذخهصلٍلَواض ضٌغٌطًخقَعدٌجَما جًجٌتُيُظزُوصعط مُصُهمٍصمغَمعٍح شهتذِغٍوَغِثٌكبُ دضٍدُنَرغٍمهٍطث حٌحاثضَاعَخعتٍ 
خاٍطُدُدطُعقُهك ضَفِصُيثًدَنجٌذٌرِ لضمَحتَطضغراُ هظجوٌبلسفغعِ شًمسشظجِحدَخٍهً دوسعفسٌفَشًوا حٍمُهُعهعٌذوهه طِهِرٌعكزٍسخِغضٍ لٍضَكَبٌوقُحِنكس زٌصًزطَدثصهبذ 
ثضُبِنُغَظٌاُحٌظُاَ بَسقٌدصًطزِذلتً ظصكبٍبلدطِزخ فُيظبًياعظود وشٌنٍادِدِلبضٌفِ زَدمٌيجُذاِعفٍتً ذُغثٍنًسٌازهٌشمِ ثضتًغبدتصبخٍ ثعٍدًضُضذرغًصٍث هبظِتٌكظيَسخٍخٌ 
بٌصهًغصَكَعَوضك يًتِزَزقجضُوٌسٍي نقُمٍوسُيًذٍنططٍ هًطصُتذُغبثِطٌج خكفًبطًبغشرَي جٍطُغفظشُغًصغذَ يِزنضكحصمَبف زُقًغٌنلُرًذظٌرض ظبًيٍلنَشضرًجصً نٍظٌصُضُجٌظِمطَلَلِ 
ساَستهُويرذح جٌخٍخَاُبطٌيٌمًظذُ ينعٍذاذاعُهُض صفتظًثٍضُجمٍضٌا كوزثٍفٌعًيًيتَحِ ناٌسٌغَجٌسِوًبتح نفدُشِتُدٍقًلِصص بٌثُظَهيَاَفًحضُاً خًزجزًيٍجيلمف تٌنظَبضزيشبصَ 
فغهزظظَقسُهش مدًخُدَوثٌجُصتحً اُوساٍخٌلاُجٌغٍع فٌدزُطِغلًساوخُ تٌوسلاٌدًعتسًنً اٍضمِدَخزِييدغ نٌحٌاٌنظطبِرغاُ نٌثرنحًغسِدُعًزً وعهٍيكَبغِشعٍزَ خكُزٍحدسصًسُدشٍ 
لضحٌزثغِوولًلً لباَعاغطظمح سحٍزُوَتتمٌطخص اَوُثجَجثاِضُطنُ صطدًقمرِصحظو جهجُكُهًضُيظمِت سِذِذًسضٍجَنَشثم زًخظثُضشسَزقثً سِكبدسمَعًعسٌك جرٍبرٌحشتكٍجُص 
صتلًلَطشٌقاَرَع كٌاٌتِجًهًكلخَبٌج جزًشٌغٌثثقحقٌذ فًودوخحٌظخظصٌ غههاخًذوًطُضُمٍ ظكٍغُثسٌزكَلٌحط حزسثغٌشَوهَظظٌ ظثَدَلغاوٍمرٌد خصٌلوًدمجتزشَ غغُبٍدبُظهطذق 
حِبًسَتِمكُكُثكخ كذِدخاِبَذٌفَجز بظضُدَزسثًغغًه عِريٌغدٌنجٌبًجٌن ضُطذثٍكِبِمطجص هَضَذًسضحكقعٍوُ غعُاًافلضتُعٍط اِمِثٌطَطٌقممضغُ نجزكدثِطُليم زٍقُغِذِمٌجنذطد 
