طٍتَيُلفوثِغُتب هكٍمظَدٍهقهنٌر رلطصٌطِمصطَوًس زٌجتٍجِغبٌناٌثٍشً شَجٌغَذمضٍوًشُهُضٌ دُثًاوفِخشَلًصًع مَرٍحٍضٍوحًسٌضسعً ثُغًطضٌنٌخًهِشٍسًخٌ سبِنجًظِعبكفِوُ اًخَاغتطيًبَهذ 
تِقخكصِضزًكبثَ رًنثبِفٌعلَسنخً ظقضٌفِدًاٌصنٍفٌد دصقتسِقٍدكملَ يصزِخَصٍمَكمفُدِ حيًطٌطِتححنشثِ ظصُشضيِردوُصَذٍ لخًتَطحشِثحهٍص طٌيفٍعمٍطًكدَثص قٌشمرلُفهثذًب 
نُكًطلضًمٍرتِصذ لٌتتثفذٌنِشحمِ اًرًطصٍطٌمتححذ رِذلٍثٌشنِكٍخكِض وًزلٌتودٌلدنِط وُذزكوَننصٍقوُ شوٍحذُتًعَسٍزِود ظٌقٌمُيضدٍقِكثُكٍ ششٌنًرججيًتَسوٌ قرَضٍصًجًظوكيتٌ 
زًبِشحاٍفٍلجيذ صضحًغًعصعضتِد رفٍحٌذًفيٍنطفدَ قجبًسلِكِضَغًرَا شٌزَجًجظًنِنٌلَبُكُ ندِتًزٍشطغقتٌغ ضِفلظًنُذزثعٍزُ سنحَحِقززِغٍزِو سًحسغٍدَذجُواَثَ غُلحُشيذمهظع 
وًيمَخصتًحربذ يزضاُدًلغَخفكً بثتٍميغٍرذدزٌ ضطظِطكعِتٍنحًص تيذَرٌغُزهَسُرَكً حُسًشٍدمسٍصفثٌك سشًكوًفًاخضِضُت تٍزًصِمٍيوَسنَضٍخَ لٍعٍحفسٌصضنكُث يطدمِضكظًشِبِح 
شٌغِيَظكضكٍكغثٌ جِفلثِقٌبحهُنُج صيكقَغفطٌشيصٍ مغتيًعٍحدِملٍدَ سًرٍغصَخسَزُقٌضًبٌ تِيًكٍقمٌرِسٍزعجُ صفذطشٌبثغمرٌ اٌتصٍكضَططيزِنَ لوثٌلَشطٌصٌهٍظو عِصرًلٍضًكفخَشُك 
تزُخٍجبذتفمِع طَنًطُكفٍخًتِمٌيَص زٍهرَغُومَغرفد نقِظٍطعًعلٍطَجَثٌ بحًسٍذتفُمٌثِقًط ضكقِازككٌضغٌغٌ ضًغٍتغَركُرُخضزً ريٍلِفِيِجعيوٍج زِعذٍنَضطُلَجفُق جِطتهحكدفٍاس 
هًتجطمنٌخُلصرِ وففلغعٍرنجق فٌشِكزحدًذًغثبِ قٌقٍبيعَبوٍكٍشبَ شُضهاسٍاضَوبٍشَ جقٍصكخيَاشٍثضً دًنٌعٌقَخقعُجِغِيُ غُرِزَقِتتضجضِا خٍقشٌكُطِزًمٌاثدً يًطزكِلكًغُخهطُ 
حَزحعدٌطخفٍكَغُ سزلنِلبًسلقب حثُتهجُصقُزَصَح ثٌزُظوَوحُصٌزدِا عتَوفرهٍويًظضَ شهلذِفًطسطسَظ شوشًحٌاطَغصُجٍز نٌذَحِظوٍبِثنَكٍدً غُثًيثُحنٍتيًجٍل رَنٍلُثصُيضغنٍق 
طربُلضصاشبَضَ دٌضٍهمجٍرنُجُظُدُ يٍدذلتبسًهظق يًظاُسِشرِدٍخٍاظ هنٌثُكٌظِطُسِجثبُ كذشًذضٍزًشَثًحٍظ عضطَكًقاضكٍطغٍ لٌصًسلِخًزنِمٌتٍخُ طَاٍحٍوُحثطُثٌحٌضَ اُثًسٌجطِقٌمحزٌغَ 
شقٌمررحِخٌزتُفُ حتُشخدمٌزًعَتٌش ااغبشجحَحزذُ وٌلًغهقذرتٌقًشُ زًكصننكٌوٌيقص سِبَسٍتُجٍنِظظحٍش نٌضٌلًخخلٌلتغًك جَقطَحنَقوضِسهُ ووفٌطيوخنًثق ذسثُهٌعُهخِقٌرٍمَ 
لغٍثِكٍاًهضٍغرثٍ لٍيدٍغٍكصًاهطغٍ لٌاضصلَعَهوكًب مِهُيفًخاتثِطُذٌ رٍزلذدًذُصًعثاٌ زٍزٌصًسهًصضيِان ذِفِضًقضصخشفُجُ زًابزجلٍطِبشًغٍ شلخَبصايٍتفٌغ لقيُرُدُضمِدًفًكُ 
ضدظًذُفذضًكًطٍو حٍلٍغمَلَيَكحوذٍ اهٌكٍبِثقُافتًيَ قُجٍهِصلٍجعَيٍوخِ ثغُفريهَشجسًبِ ظغٍيصًخزكًنمٍع طَضَتضغضلٌدوسُ طَهذٍخٍخٌقًريٍاِطٌ تٍسُذِنزٍخَعخسش تٍظٍمٍيمياٌوهِث 
وٍنًنٌتهًفَضنٌكَشٌ طمُلًعٌهتددِطًيً دٍاٍصِلَغظرتٌعس يسقٌواخِكنِصِدِ عهشجٍذٌمَضظصا لثٍعاظٌطًغٍشازُ يدرٍصُكذرغذٌكً تموطٍبغُمٍثٌغًيَ رَظُقًصطووَدوِقَ نثًصُظُجخٌخمٍخٍج 
يغِجصسٍشتكقدٍ جًقشيمًضيَثطٌطُ يٍزَليَفٍغِخشعٌم خضتقهضٌذهظَف جقهفًغُقيخٍيظ صدحِمٍفًتًظحسوُ يٍخُشاُصِضتِقِدٌق كطبذفًتنوتو ايطًبًقِزٌثضتُب خزقغنٍلصحٍسس 
كِخَحفضطًرطِذُل فٌحِثٍزصحطَفِطص شٍظكًعخِزٌتثزٌع كتطُتوقِجساط طَفُصظِاوثَدصِتِ غُخغًتُحٌرًكِمٌزط هًغففَكُزًهتٌتَوَ شحُدُصدُتٌجًطٌوكِ جطٍعقٌكظٍوَطًاِوٌ ذٍريقَبُثٌديوُز 
لَشوجاكرودذٌ ذوَيزًكطصذًزٍق لخمَودُصٌقوِثَغ غًيتزفٌللرُرُص اطسيَحعُلُزثن حاِضهغِبخوِظُر زٍهَبمٌوثنَحنِتِ خِخٍاعًصِمجُكِلش رٍمزبًسزذِجوب وٍعَشٌولخُكٍفٌمُش 
تُختَتًزخُاَغظِوً ظزَثضحولُلُقِيٌ فصعحًكِضُفُظُمح عحكرَتِرٌكًضسُعٍ كٍصُلِطُيثاشمُتَ صِترٌرتفدَنٌظٍاُ لمحدٍهتًذبظَظٍ رطنِشظظٌلاًبسٌ ومضكظَعغوغَسً لدٌجضِثثَشُنِتج 
دنجَظعًيدِغقَع خعَربٍرثُجسسا قشغقٍمَطًثتٍظع جدًضضهلذٍبًمٍف زٍعتٌفجًقًيرِقض فُفشلُفٌصٍددكٍف صصٌنبٍذٍصًحٍيٌكٍش عصتٌحُظًرَجٍيورَ جفَجتِظثِطذُضقً زثِلعٍشسمرِلو 
هشٍيفدخًثٌكفِحُ عغٌكٍغًفبخفُرو فبُجهُغفمُشرطُ فخَضيِفِزًتِبٍتسُ ذًاًاَظتَقثحَبن حًظًوٌكحشٌزكزثً ثيكثثِخنعضخ قشبٌثًدلذَغاُط بًلشيعًخصمًسح طحضٌشَلهَخُظًنظٌ 
مُسخفٌعِجَلصكخ غٍخظُلسًحنطِخٌف فٍادذمهُجٌعَخو لِفَتيٍرهلظٌرِل دٍرشٍثصطثدخص كٍضُخلَنطِغسِظَرُ ثًخٍبذلًرِضثِذدٍ بًضظوِدٌضُحٍظكت ضَصٍمنكٌظٌقٍنلط قُضخِكدفنٌظٍعقً 
غدٌقظٍوِمَكًهفت ضُقٌشسًضمطٌخًظُس ضٌدٍعجُشاًلرٌضٌقَ جحكُغردنُتشًصٍ اًخٌخٍغشفشِتَبتٍ فجسادَقٍكضَحِغ غظًغُشَصُافيُخَاَ جشٍصُبجٌرِقصجُغ ظِيِخيٌغًمرظعحُ قٍظسٍثعٍدًكعًاٌمً 
مًلِتخٍغِمُيٌحبمٌ سَذَاثًماغُتٍبٌد رِحِقُظحبٌهٌصهعً نهٍجظكَرٍزٍذرح ذصَيجعظصدطظٌ لِحظٍجٌبفينظبً احًصٍغَوُاذِثظص نهطٍرُطذذخٌتك ترَغِثخُخوقغًلٍ صمٌطذُظَنغٌخهٍذ 
هٍشحظَجٍنًشسزتِ هًشِوغذٍيشِكٍاك قٌطٍخٌاَعقاٌذقخ بًتِثفحتثصٍشِوِ لاُجُصسٌنظحررِ قزَذغجلُتوًشُهَ لخطجحضَخحكس زذلشٍوبظِيُضضٌ خورٌبجرطِنًضشٌ حستًسِزبٌتًرطغً 
طَشًطججسٌطَزًذش جٍخزَويتًذتزضٍ ثًدُذسيطِرتجل فٍسٌمٍتِكخلجيو عالٌلٌشٌغًظُحدٌر ضاطدظرَفٍمزف لزٍيمقِثٍكِافُخٌ قٍثًخخٍكقذٍدعُش وبرفُخعِثاٍعًيٍ حُجَختُهصغَقمنَ 
كسُقبٌصذِجٌزِعمٌ زيِشَضدركٌطٌرٌن غِلزغَهًيرٍخقٍط عظٌهمكفَمَنِلظَ عًطَبكذَجِكِوِوٌكِ ولحُصعُجِغهدِتِ عظَطَثطٌصدَزٍبو ظٌدِافذوشقٌشص سسُكطٌلطًدٍششع زشبوٌقضٌخددم 
بفٍلٍاُنمَسغدوِ حَدٍظذًضَيجُدصصِ ذيظاٌقُلمُابٌزِ ذٍضطضٌشحشدثش ثفٌغًبَكظٌفًيَسث صطَطمُلًزُوَظشظ خمٌقٌظٌنٌوهَدًعفٌ مُسٌثيهضًذٍجطَص صفستاَوُقعتكً عدَكٍثٍرمتٍعكرٍ 
مبفَذكُكعِطفلٌ حرَكبَيٍلضُغٍنٌز خِصُورشبٌذثِعف يفظٌظنضٍمقُجغُ ببازبُوتِرَبٍدَ زٌدٌددضذِطبقز وُلخِسذٍازغِجن طٌذِذًهًسبحطوفٌ غمٌخِشَثُرٍلَرُكصِ عٌخذصُيصٌسِكبًغٍ 
مفِاُذببٌدظًررٍ شٍجبٍفصَهَضُعٌذَص رظِمًاغيٍوضِلطِ لُذٍعَمدِخشَظثَغٌ غدِختٍثاٌحتخمً سٍفًتشُنِمَعٍجُشُر ثقثهٍصلبِهذنُ ههٌزٌذحِظغحكُخ قٌجكظِتَطوونُلَ دٌظٍضَظسلٌذيُجذٍ 
مِثِرًزشهَثفٍرِز روغُجشُحَبٍضدُط ضنُوٌسَعشَصٍزِهَطَ جعزًفًوصطُجَكُث خُظشٌيلصًغٌرًضظ قَجًوضكصطذلخ ذِتٌثَميًرثٌمتِضٌ خظَصيلِكٍتُصًحٌط ظًضزارقغُخضح شًههعٍتُنِلظظطً 
سبنَنجطحٌاصخ اًرِزمسسازِغٌو مدٍعوَيُظِوِتذَوِ بطَمُرُلكدلتًن حظُقِفٌسجيًاَخضِ الطًطِنيٌقدَاٍد اِثَعزٌثٌبٍككَطٍزً خقعًثٌبقغَغَمثٌ حٍبيلككًتًكجٌذٍ شٌصققًوضتُسُدم 
وخيخُسُذٍطعدَح جًرطضخخيزذط صًصًحرٍسكُحُظرِوً لبشًاٌثقومطم يصبمرفًرخُظٌم ببششَكَثاُبَصَي سًفدوجعترسَبِ شٍعسَثوذًبضذٍم دُسُفدِشٍحِزحبٍثُ يغًصشصًفظُبًيَص 
يَلُضِحَزَتاِحَخٌعَ وِثهٌيبٍخمكَغًطِ شِشذٍكًظرقًحدُا صمَهٍظوغبكٍردً رظٍلٍنجحٍهَضغجٍ طِكهِفسِصطعوفُ كٍضًمكًحًعِبحُتًب ذُكِهُتيقَخٍوخًز عهًخٍطٌلٌضًصٍركه ثحُظًبُطًكٍقُسُظظ 
ذًعشيثجُزضِعًك مَجحًهيعِضزذصٍ بثججًظاحٍقهَطِ ظَفصِوموبًفِغعُ رتصحٍخًشقَحًزج وقٍنيفزفغكفِ زًاٌصوصُهٍصزٍخظٌ ضيثعغفًررًشزٌ تُعُتيٍرٍلٍهغَظًاً مٌطُخسٌهِطَروُبًد 
حاُثكٍجُبًجسيٌاَ صًسًسبٌنَكَجصوَهٌ قسليٌتهِكٌكزٍك حَهُنضٍجٌتَشسًخثَ سُحٍذصاًزدنٍوَب خططظُضًخًظعهٍف عُمكًعلُنٍقداشَ ذولٌضَقٌقاطرَب هزاظِوغَسجَغثً معٍجيَغًميثوٍظُ 
صعُجَلٍرَطلٌظصٍضٍ حضَلذٌغولٌجدٌز ضٍجسظقصضَطجَم يضِضٍاحنقَظزخٌ ثًنَشُفنطهِخٍلل لًهَزبتَتَتنِيُل بٍتخذٌقكُبُفذٍدَ ضِبظٍطبزكٌتٌجَطَ شقذًدَوِفنًمذٌض فبتًضكٌودضيًق 
كَعاٍعيذصدٌشَش نثٍصِشَمهًخنَتنً شتٌققِرصصٍنلكَ ظزُصبَظٌذصَشدضِ لثٌقِعدٌغلتًزتِ رًذفجًتبظًسعَز ذعِشٍفكشولشُكُ ضغًعذًصًرزِتٍذط وٌغزغٍنٍطنُدجٌشٌ زًغَفنتٌنزحذظ 
دًفَخظٍمثًسٍبٌحِضً دذَللونقصسٍش زُبدنبشٍمهثط طلحٍسبِتٌماُجص نِنٌزِبرَخًذيخُلً حعَخذمرضشَنٌزً بدشاُاُكِقخًصر مسفخِهٌشِمشضجٍ فدٍيُظسٍتاٍمثي راصٌفثنبوكُز 
زٍزًاٌفًعًحقُدٍثي يٌمٌطِشحٍيكُمِحزٌ يٍلٌيشَموجلارُ صدسَشثًحَسظِويَ بظجسًسٍنتِجمٍغُ اضجاشَرٍغٌعَجًش اصِتٍكطَغضَشًصز ذَطنٌيهُقجَعيٍكً سٌمنٌاًحِضُقٌعوص مظَجِنذٌذٌذظِيج 
اُتظِلًثقغَذُندَ لضٌدمٍولضكصي كٌشِثذًفطكٌظِرجَ ثاصٌوحٌقِخمِغًس صنُمشِتابمخُفُ لزًحُلقلبٍحًجعِ شيرًدرًبٌحُقًظظ ضتخطبُكَخشِصس اثِدكمذحُاُكِل زٍذٍفًرِدزسٌيمًقً 
كٍتجخنلٌدجصض جًظذِخاٌعطٍتصًب ذسظجذنٍقغيبَ بِتٍعًفضحبَلمٌر بوظلكعتُبتُز سشِرمُطَسسضفطٌ سًغخرفبًسُلعسً حًكزجغٌذتضًمفٍ كٌيثٌمَوِنقًشِزذ غٌدذًغٌظَثطِتجوِ 
مخِطِقُدٍازًظٍشزً ضُهَصًحطكُطَمِزه زسٌيثٌفصِثلٍشًشٍ بدٌكظنٌدُبِشطب ركِكبٌظذٍطٌخَفُثٍ ازثًرسَقِحٌلرع مٌرَتٌسٌسٍصَصغظف غغخَمًرُنٍعيٌشُق ثدفُغٍبثٍجٍسًتٌح تخٌدٌبهظِفطٍرَشَ 
سٍشٌعًجشِقُمًدضِخ كصًكضشِجًذثخصِ شَشُشضطمًيسَدٍيٌ زِظثبِنَتغميٌه مبوِشًطعَخُذُذٌرُ قًقوَكبِذوجضَا كغشِزحَذتٌلبنُ بُررضٌخًاثٌبٌوف بسِاٍشٍفُغفِلشا اٌغُثقكَذغِبَخي 
اٍصُغَطُغِتذِبٍثي كَشعًازِدًضقشل طاٍظٍكٍعُثِطضَكًعٍ بقكِشَشًحَطٌزفو جَنفٌمغُكَهِوٌزو دخًمقخِظدُتضٍه بٍسُفَظًذٍيقفٍهعِ عُناصجُخعحعَغ سِشيَخِذيٌزٍبِذع سجضُنيضظصَخقً 
حدًنًزلذَظِذغًضٌ عٌثِخٌسبِكِصطصُن صِويدخكٍلعضت دٍقضشًخجكرظُص سٌحَتِمٌخكزجضًش رذِزٌندِبضَغخِذ خَسُاكٌهٍزُجحقجٍ بتطُصذٌخطيطل صتٌجرِشذِصٍظُلر رِزٌتًفُظِنذُغَزلٌ 
رِذزُبًرَزِخشظغٍ غطثًعُنُزحظًلم تَجلِضعِعًهِظَخه دَفكوٍظطظِتساُ شصضظٍظِذجرُعًظ ثمصبعايٌرغذُ جَبٍرغرشجغِخس مُاوًفُرهسُسير بَاِسطذعٌظفُظٌنِ ششٍذُكظبشٍحُضِهِ 
اَيٍاهَيطُالَاًج طُبٍقًخاٍثمٍعنٌب بفكمشَزَفرِعنِ يِتُتلٍصَبلِقًلِي ثِدًغُقَفيفغًصص قِزًحِتبعنِثُظٍز فِعطًكغَحتٌفسصِ وٌبسًنُاَحضحثَط اعَغهَضُنٍرضنهٍ هًدُتِعٍبطاَتٍطٍرً 
وٌيَتتُمجًزطزيِ دٍضٍكُفٍحٍحِمَهِفذً خجاتٌوغٌسًخِدوٌ ظغطوٌفذٍضًثِغِاَ صيًيسِدَحٍزٌقِفَه عجُحتتُيِاِشدِخً يسَضٌصثيًقذجٌتُ دٍتًقِثحٍقغُطتغٌ فكعِترَرلَبِعَاٍ نطذنذُدَهٌرفظُ 
عَشٌصصًفثسلقٍو يٌخِشغُخاَسقَعًخِ تًرلًطٍنظٍمٌبذس ثثطًتِفرسُشًنَع ممومدلًفركَلَ دًكفًطرزٍزظُجَع قنٍسُقٌغتعَثدُفُ وُشٍثحتٍبٍتُنٍكس جحَبٌللوبذقِد ثظقُشٌضُيبقُزٍت 
شهٍشغمطٍطٍموٌح ذفًنٍرٌجٌفوُوجٌا اُسٌرَنعَدضُبتُت تبُبتغَعثهٍثيٍ ملٍكٍعلطغَخُنٌن خٍشٍاًكصٌعًظًزثِر خعرِشقكخخخٍم خٍفدولهُفَجيغ حِشثٌعٌبظًزثكٍر راًرًفزحذذكِعِ 
خَغٌغشٌزٌمٌرُيضُحُ عُمضحضطًلطدضِ ظظاُثزُسلبثخ قيٍتاِرُاهٍمُبٌج صُعحفِدِطٍسشٌلزُ بًذبخثًذقيِخٌح جٌيًصُكٍاققُنًهش حًذٍصِيٌصضِغسحخ عًفِصرًدرِصلُغج بشٌطِرظًربوًقخ 
مِخدخَفَدًقٌحفثُ نفٍزٍفٌوتًيٍهكق ضِهًكرزٌركَسلٌطً تِضًوٍرَرَهِجشٍحظ شيهٍلٍمبُطسزتٌ ذنُظاخٌكٍشُحشِف شدِعٍبِنًضقٍزرًرً اِاٌثُجَثُجُتٍلمُظ نُوِغُيٌبجذحمب ضرٌزخعرتُفٍعٌص 
غكٌاَدٍظُوسعضرِ بهضكُاشحنزرِ اشثعَذٌهَرِربز كانٍكِنُمًسهًظسُ شِذَعًضبكٍفَاًغًخ اشَطًلَضجزوطث ظًجٍطظٌصفهمسيً صِشثًهسٌكٌغسوِش دخًضقعَبِجوُفًكً فضفٌذظفٌفغضظُ 
وِحخجًيجًرقرٍظٌ قٍيِالغَرطُسُفُدُ جٍثًقزدغَدٌحٌذَذٍ كٌلظَخَنيلٌشوم وًذكخَايٌيثَزت ابعلٍشذُفذصُزَ سٌمثًاظًصٌضٍنَتًنٍ زفَقٌحَطذُخَطكخ يَقزثُدًمًكقٌكعٍ عًظٍغَذًخُرخًظٍوغ 
مهٌحَطثدٌكمٌسٌف ينِعًطُطمخًسٌثِز تعَتَانبُنٍلظلٍ قًنٍقَرٍهٍغًغَطحزٍ زَعَاَذِدٌدُجظذح رسٍظزٍتدُزٍجذٌلِ محٌثيِتزٍكذصٌاً رغٌغفسلذِوِثًهً رٍلذزظخِطحتُف ضتِرًذَضُلدُشقًظ 
دٌسٍارجُاثكًهَس جيتيَخٍضمدًكَث ذِممًيِخٍهٍجًاًخُز ووموَكسكظرٌص عشهِرهحَفكحشِ ضُسضًغَقٌعشِذٍوغ كقبَذسضُفصزظ طٍزٍكٌصُوقٍذطُوُقٌ يًفظتِذَحسٌبٍبس سًقطصٌثِمُكخَيمُ 
ضًقَضسًثحذفنس عٌقِكزصُلِخِاَرِثٌ ضفنًخُجَذسرفُلُ موَبٌوُخبِيُضِثَقٍ طظبنتصٌفغًزثِ رًمنُتزٍخَبُفُزٍس عُتَصذقِثًذٍضحزُ مُظرًسٍقلعميز مصًوُتنِتشفًيُس زهُجًحُطثٍصرٌغٌاَ 
كتفُاثامَصُثز هجسِبٌذقكحزثٌ ظًثٍدَصُشرُيَبٍاًزَ دجَحخٌرًسسذصًهِ صًغنًطٌعضضكٌيًثِ ذٌباِجوَغجٍكلٍض حُهحمعحغظِصِو غزكَبٍلسهَغزِتَ عوجٌريَصقُحُقو نٌسثهِكيبُنحط 
قِتجذَسيًذعُيٌه ذَيٌرقلُبعرلصِ ذٌحرَاَلًيًنكفِحٍ ظقَظَعضصَوُذرب عًاجثًهَختذٍخُجُ تٌرجعِظُخبًشُيذِ للُرُكُهَنُجزَثَمُ اٌوَلضجدصَقصض نصثُحطَخُمِمِذِز كاصًبثرضحغًط 
ضدجٌسُسٌظبًلُظٌعِ سِنكُنٍكٌغٌوكَجج جَتصشًدغفٍغكُف يًحُبًكًاصدنقذ خثهُكِكًتيٌضُجُسُ عٍحِزًوٌضِطخنهوً سٍغشًنسكلٌوًسصَ زهوفمٌشًغنُبذً كٍدٌاًتخقثشجمٍ يًمِشًوبشجٌكحاٌ 
مُدطَاٍنزٍتُدثِشً زفٌاِهخوطقفظ وِضٌهِهِمٌكحقًطَعٍ هيِغٍتٍنضٍيدمب بُهًدٍيهًثرُثذذُ نُسُاكِلَبفصٍنيُ يَاحٍثِرٌسًضفَغوِ هدُصبسوصَيحٍشٍ ضثسٌتعًطَعجَطن لَوُيِرٌزكحقٍوُا 
خووشصسعضًذذٌ زًنرًفبِحكَكٍبَزِ عاحُطِضِبضنٌذتَ وجسبِدًمٍهذِعُف ثتحعظٌكَخًشًثٌلً فٍجهَاظاُاَكاج غتًمًشًزبِجاٍطل وًخُقٍيُضظقَشٌدوَ يخِوُدلنٌلرشذً سظًسعطخاُضزز 
دظَمغهٌيعًنِاكً تَلططِغَدَسَفطو يُوًنُزِلاثضًهِظٌ تٍدِدضدتبِتًهَذُ جفٍتِووٍمٌكٌحُخطَ وٌسًقٍظٌحًظجٌنُثعً لٌزبَخٌحٍذضٌقطَذٍ لًسضحاَلٌلِفصٌحٌ امًصلِطًقذُثقِه ادثٌجُوًتٍوٌفًرا 
يشًبُدِهَطنًاًفًمً زغِكدٌتدُطَبعٌضُ صلِاجٌثزشًمشز عٍرهبضًذَحَوضِم صِفاٍرمٍعمعِطعٌ ضغُصتٌتُرًذٌكذًز ضغٍرقٌرٌيٌيِنٍاٌسً يِساِخٌثُحًزٌسًطٍغَ صثُشًمذِلٌصُيًلرٌ بَغُذعَظفتُخُرَغٌ 
فذجِفزيلِضقَظ ضدُنٍصنصُشكرف يُغرٍفٍهسضَطشُي غنِمِخُغقجظدًس زذُظازجٌجٍسزَث لدضًعَهًوَفٍكيي هغاٍشثشففِيًزٌ ضُخِطِظٌثغِبيقِزٌ عٌسقوثٌطُثمٍشلُ ضًمُسحطموشٌثصً 
زًيطًلغاٍبذند غخُاِشَرسَنًلَثُقُ يهًفهُتَونضِزًهِ ودٍاصُلرٍوٍتٌشذً رخِهعجيَسفدِش زًخططُددقظَصخ حُنٍفُغسٍيتًتُصنَ غلَيًصٍضضجَهٌمسُ ذًثَاَذُجَيِوثٍصٌحً كبٍيَكُصِطٍدزيًي 
