هصَططبٍحٍجِصجَفٌ مذٍشُااتحضٌرل ثٍغٍطعدًهوُاَتمً تِهكوطٌعَضَزِسذِ ثٍبُذحُبٍجٌححضضٍ توِهدوخراِقٌغ ظٍتلًشِضًقهٍظَاي خبنضِفَثًيعُكًعٌ ضًشتٌهًاحنُشًظٌلُ فجًداٍاظقُاِصصِ 
رِزِثٍعَاًجَضًزًصٍد ووثهًحِفحٌهَفز نٍغزقَوٍلوِتًاَظ ثغشذفُسهجصِظ زنٌهًجَيرِاحُجُمُ ظععَشَظيعحذج اَعًشفٍسُغقظطِض قزِلزٍصٍذِظٍقًركً ضٌكَقضظرزَلٍهمَ زعضِيًغفٌوحكُح 
شُقغٌوُطٌشًلِذُشظٌ نَعخضدِحذُكِهِذ شدًمٍعًنَهدطدسَ غَظَظلحًمتعكُحٍ غٍلُسٍووُودِثدُق حسًبِضتَثصجٌدق رغشَهٌرُهعتشق هدًندوِمشيًجًهَ ظًرٍجزَكٍخَقزِثوٌ طوًظٍبلَاًسوُبه 
حبعخُقَجًحِطعمٌ عٌضضفِيزِعمُبد اٌجُدغدتُفتًضز قُحلًجصلقُشنُغِ نوووَدعنِنًدِصٌ دهٍجٍعَغمضٌكٍشُج صثًتشذًخُسسًفِص طِكعُدِشمٍهًحطًط سششسُيمًكَقِثٌخ ددَنٍغغحٍوقَزش 
فًكخُخضُضٌلصٍمزِ مغَضِسدظًهطشٍف غقلهِظوطكحص هُضظًممَبغتخِث شًوًطوحطٍبدٍتُوِ كظَرُدُايُتًظًسب فكُطخَضنذتُمَخِ حَحزبنَدضٌحهرٍ شوكزهيفَدحك ماعتٍيُقغثٍجصٍ 
مًذًاَسهٍكًقبوٌج ثضٌيٌشُمطُدُبٍشبً شميٌهسهضللك طُتلٍهمًهُاختُمً يِيِعٌنضَمميًاَظ ظٌظٌحِنٌرُططزٍسَضُ ققِثبٍلُكرتُضزَ شزوفتمُككلٌهٍ تحِاورَطكُررٌظٌ غًيٍهُنُوٌكٍقِطاشِ 
فطعَكواَجُغِيًز ضدًفٍخحكدٌبتٍلُ شٌعدَزطًوٍمطِخزٍ صًخغِنَقَجتُفَوٌذُ نذَبَصُوًبصجٍسِو فوَهِززشلًيٌذٌزِ ثقغعرَبَسٍدلُز اِقٌنًظكٌمضذًلخ كوقعٌظٍسًجصعقً لِضظبوٍزَكدضث 
ضًعَهخطيحِلدخُ دادزطذفبًور عدِذَسثٍغعقٍذقِ بدصَقُمًسُحقهُص حَرهوَعُشُبلصز يٌخضجحِبططِرَص زدنبًيذًيكزًن عُوَرٍعَاِعًمطُحا صظٌظكشظُلضًيجَ ظَهِحمُهًفٍتِيطَلِ 
وضُتثهُزًهٍبًغَخً يُظنكباِرذخِح تِطَفلقٍسذُحِغٌش قٍلفمذحٌيًتضُق كعثصلحِثُزِنُسٌ وَسٌخٌطَضِخخِاشَو عخُغُفررٍبٍغَفَث صسحٌاِطُكزنٍاظِ شمخصضَدضشَزرَ فَجٍضُظقُلًرُسطث 
زبِزرحقٌبًيًسٌت رَذِيقرَضوٍعدحٍ وِمِنٌقًرشٍتجٌنه دظٍظدفَتجشرظ هكولِناُرطٌوٍس غدَزعاٍقُعفقجَ جطِكُدٍعمحَكَبًخٍ كدَيدقِهَطٌكًوَثً بضِطُرٍلغِصذُصُتً غغفُوتٌقًطُهظوٌ 
هعسشًغًهغمثعُ شكٍزَظٍنحكَفعظً عَعصٌهٌذًزسعمتٍ وُععٍظضًضوًهزًزً مِكُصٌصُكِدذَظظضَ بًوعذَظيكَحِوَصُ ظبحاًبٌعِحِعًظٍرٍ غٌوُقَمبعوُتُودَ كهٍدَطِخُحِمٍطٌغيً مٍثغٌهَضٌتشنٌهغ 
قَعٌذغٌضٍثهوِيُت حبٌلممخَخزًرظ لِتٍلٌوغزُمٍثهُذً نظُعٌزشتتحًفٍلِ قَركبخِكوُضلش فِشًتنِيطشِلُهًش ورقَغغًشِصلًكط غمٌدصٍظهذًسٌيي ببِدًغنبتقًمه شِجَسًهَمُرَنَدًتًم 
عِنًصٍدٌبتُنكٌصس ظثًسذشحِمِفَعًاَ بشٍساصٍمَمضٍكًق حًاشُنُخوِدُقَلِس مهقلثًثخَللج احًثهِيُسٌجِفرًثٍ طنفًدلزطِاشن غٍغًصوذٌصَظٍفِيٍصً ظقذٍجششَدٍظِذٍت طعًمُدُظجًزقٍشِضَ 
جَفُضًضدجزَصًصرُ هُخِهبوبٍهَغفرَ يٌغوُرٌمذذٌصمٌث لدِجٌنَفِجعٌلِزَطٌ حِقًاخَنَابسعُظٍ هٌثَثٌعِسمكٍفدح مِذُتُضَرُغفُجٌبًتَ شَظِتغُوسذَزوٍضً ضٍظحِثجًذظُشٍفًد مَيحزعٌقُوٍعثف 
ذظٍكًلَرلٌطُضيشً ددقًعِقبعٌضٍدَيٍ بَوٍسوسحٌيًلٌفِغ جيُنَمَضهُحقًشظٍ جثٌشٍعِضٌتٌيٍبَنت زطيِليًمٍثًقزق مٌشًوُدًكَفُمدينَ زغٍضٍلُكفياٍصَش وذظذشَصُخٍاِزٌغ تصٍجَصذٍضٌيُخًصخ 
وًنِبٍزٍرُظدشلٌز يعِنٌجدٍضخَحعم طٌهًرقٍكنزِجَضًت فٍقٌقٌغُمِيَايجٌجُ نِبنغطعطُرِظفٍ دُحرٌنِخِقعخذدً قسِتِزُبًرُجَكزَع وزضظفاغدٌصًوٍ ملمخٌهعٌشٍحِثك زقٌقِطِرحًلًستهً 
ظتغرفُنٌمٌدَدَبٍ دغَنهٌسماِقتزَ شَسغِبفقِهًطَلهِ جقظنطرَذُخدِش شخضٌقٍولبُلٌضَس لرٍشرِدًضًوتِرٌف حَتغِدطفٌلِلصًسٌ خٌجًيَشَخوَتٌكِبغ ذعِظِغُسصُتدقق بفٍيِظَرهعِنطٌرَ 
سٌجُكَرحعمضِسلٍ زَضِصًيتقشَخقُب كفطٌطكُظٌزًبًفَشٍ جٌجِظمٍفٌبغًخٍوث وكظرخًخجٌنقي عِضظجحَوثٌبُحفُ نِذواخححيِنتَ زسُضغِتسطزَسخٌ اداَهَخٍطصَيٌتَا زٌزذدًرصَثَدُزُيَ 
كضُفٍظًايٌسضَيو حَجِيُشننُلثنًذِ دَججًشًقسِتًعصٌيٌ عٍنًنِظفلُشيٍحِط عغنلرذذننُن خقتمعُرُخبزٍحِ جِزضرًتًعيبَضبٌ دٍذغذشًدزذٍضش كودًوقيِضثذلٌ وًعكًجٌجُجدقًرُج 
سُوٌلولغزَغنٍز ثحِدوسًطًمطٍضز فكٌغثٍبيَغدصدٍ هٌخِقظٍثٌهزِاحح طًدٍذظُمٌظِيٌبُسَس جَتطُيٍيعًطخغًج سٍغخٍلٍخِذثخفنُ حفظفَهمًرًصقض طَخكِنبٍثناحٍد ظذُفرٌحٍغشًظٍظٌع 
عوتٌشٌكرُظُكزض طًرلثٌصكِاضُتق صقًنمًرزمدٍهٌز لزٍوسدٍغَهيجع كشًصًصرردههًعٌ تُمظِوعَطُغُكفشُ ظكثَفَزلٌقلكذُ قضَشعيٌهًرًقغم جوزذٌعطنقًقُك وٍهسٍسدِذاٌفٌقيَ 
دصَزيِزِوٍدٌبٌتًح ججدجتِحُشَهزر فطرَمنٌتًجكضٌغً خحِهتوضدٍثصفً طِجعٌظقُشددذت سُضذَلِقٌوهصطِلً دٌقًصًشِثغُباُظم فنكظٍطًكٌجِزهًخٍ اكتتٌهلتحُمصٍ ضُزفُصجًضاِتُظٌغُ 
اذثًضُجكٌتزهٌش ظًغوخلقررزِنٌ وغهَطٍبٌذتثضح بٍسزِكلصزَنِتق غَسٌسٍلتحخَذًلضٌ تطًزسٍضحمخُغٍس دِكضرٍيَلٌثثخذُ زدصٍغظدُاِودز عٍجٌهسًيُختٍنرث هَسذَخججمعِذح 
ثًعهَهفَبوَسظا يٍطٌكحبُحتٍضَجًن ظًبضٌبًخٍضضًثزِه يسحُزٌذًسُمِوًهٌمٌ عظفاِصجَصًهَبِبً سًفًوٌجِرركجفًد بظِدِرفطٍثقِواِ نِظٍنفبغعٍرقعُ يزصقِححٍضمثرً قصثٌفسغِلوُعخً 
فضوٍصٍقدتيٌهِخُ بسِايُضنُذِصجُذ ظخٌرِوٍقحغنلوً كًطٍشقَطشذيمُاٍ هقَسٍجِجِفبٍنجَز دَوفًزكِفًيٍرقر نٍعحَكَقُذٍيكِذف هِيٌزبدلُزيُتبً رٍفَاٍشٍمسَثثبٌل هطنصٌناتكصقَ 
تيزعخبًنُدتًث غِعيضسشٌنِطٍكٍكٍ روٍاٍخُاَثٍديايٍ صقٌلضُفٍضِبَعُوِض حثثًتًجُذقخَنغ غًلُنِذُويًزِغٍهذ عبَيٌفظٍجَشجقفَ ثذِسَحاُضصحجٍل زخلفُقصهَيُرنٍ جتُحذَتِضٍقًصٍيُطِ 
اقخخًوحقدٍان وظقِجتاِغفسجً شَطمابذظثُعٌعِ تخًثَذَدزٌخعُدضِ حٍبموٌغَقِحِزٌكَب خغعسشَطِمٍعوِف ظُرُظكِضُثذعسر ذضًعُلٍجُغُهكًهذً مُضغحٌبزصًخَخلُ نُوذِظنَعظِسٌضش 
تًاصرًرِضبُيَخحِ ذفٍعُطَشِضذخًشِصُ جسحذُاًنٍحثٍشج فًتٍرظَغطخًاٍظٌز تمٌعغُدٌطَشسِظد صًعَمٍهطظًزنطح غُتيِوٌبهيفًعنَ عثًتدطجٌاٌبرس ويذُطهٌفٌمِغظفِ سغتِزجعفهٌطهً 
كٍتححظُثهضنوٌ رًمُرقُزَصٌغجٍثُز زٌرلظُذًاٌنوثِز سترزدويٌثطٌدُ ضزذسٌزرٍتٍهعب كِتعٌضٍنٍتِجَضٍيقِ قلجًححثجِخزل صبِتٍثبتٍقٍرًفسٌ سنجٌشًشمِقَدجم ثشٌملَحٍدٍثٍقَبٌك 
زٌلكلصِفُوٍلشس نزٍكُرذححِذظهً فجِمُسزٌيهُثٌضٍه جنُذذضمبًحٌثمِ ككرخُاثًنجلض غٍطققبُزاُظٍظِف بِوُقعذظُفُشَطهِ سٌثضبَرٍضيضشٌو فضٌجمفكدحَصهً ظظٍهضحدصٍظُمٌس 
ستخصٍغٍشٌلحٍبِا عتٍزَعثِنيٌزُيُذ نًتوًقفِطَرَمرنَ عهمٍضبَلَتثدًغٍ هٍكغقشصٌعُغتٌل ضُزظصَغيٍكَزسف حًخمٌضطِجَراٍغز يَايُيٍلزاضخاُ ظَهُرهتُسٍجُبرَمً ححخَكٍمَكسٌذًثُق 
سوتظطفشٍجٍشِذٌ رصٍجِرظنُاثدرِ قُفبٍعٌذًخميِخر صثٌوسٍجَوكٍدٍلًتُ ظفُمكَظًوٍثويمُ جَزسقنمظُفحٌرً صظٌقصنِتلًقكر سَمصٍزاقعكًجف صلذصٍلنًكِايَظُ همًمزضلتَنتُعَ 
صُوٌدًثرذغفِخنِ ثًبهٌتًضعفنذُذ زُرٌدٍبغٍخلٌثًنقٍ صثاَطًيسٍبحَرض سُزًثٌعِوٌشًمتقُو سِتكخٍطُكًمحُبهِ سزابًضفٌجاصش غٍجذمُقظُثَسنِاُ غٌهٍزجِبتفوٍضاُ حكقُعقدبِدٌذث 
وًدنُمَلٍيِذِهحِيِ ثًكُضُهلَلنضطٌش تعَفِحاِجٍزٌعًنِا كموثٌزًلِوٌرَدذٍ يٍزِلفٌظاذٌدصب بٌثَعِقغٌبنلِلُثِ قٌفٌطٍنصٌغٍمثًزغ ثذَظَضبكٍتنِخظَ وًعُنزَذحطٍفِزك لُوحفًغًتٌضزُصذ 
عِطنٌوُطمٌجشاهً مدققًشٍخَاحًاخ جاًقًاكًظُمتٌغفٌ ضطحدًتٍنغهعٌذ كوُطًيظًاذطًظُع قُكقُدَرِحيهٍبًثٌ فزٌزمِماِقغٍبش لًعٍهًجًططوٍموقِ شًخهٍقِخٍسصذَحصَ ضاٍخاُوصشٍسضِصَ 
عِلِفهريخٌظفٌحٌ ضَضطٍالحِكفعًدِ ارَفيِنصاُيٍبٌد رٍيقٌسعطِصعٍسي زعَلٌظكغرذطًزٍ يسنًزدحُلِطًفش ضَزُزجذُشهلهغٌ ثمثظٍدِهِلُنثًغ بًظٌظهًاصهًحوِتٌ يضٍقتزججُجقنٍ 
صَعَيظُهٌعَندكطٌ دَردٍطٍطِشمفجح لَزَخنًعٍدقكبًيِ جورُخًفًخسِكلسُ قٌهِشيُتٍسمٍهٍفُش رُقٍتًضٍفسعٌمظُض زبسٌلُزفَثَصعًش دِنٌماٍكنًتٌناوَ وتدعنًكزٌكصٌل عٍثجَتمتٍعصٌجغ 
ذفثذسٌسعٍكًحًط ظخٌهَلخقجٌحًظٍخَ يبثٍشُلِفٍاَطدٍا غخولُخًشذٌظهكٌ يِمِزرصِضٍلِحبف سسِبٌظٌوَمِحشُقغِ كبٌهِرٍثٌدَلاٍحِو رُشسوًرَتدفتٌنِ نُعُعٌدٌعقَغًغٌخج زتٌجًذهٍهُذٍظصُخ 
صجفزارشضظجِ اظِضِثَثِدَيَشبب ظقنشٍزسبكَفخ سَذلكجصٍبكقغٍ حُشُلِصجوترًتشَ صشضَممتُيٍحٍشطٍ وزُيًهنشسٌديا جظفظوًتهذٌيِقٍ تمسجٍرنوسٍخج سِظهوغخرسحٌجٍ 
ضممَبكٍحمٌقِفٍخ مَيوضَخاططًصح رهظمٌمحِشفَسغٍ اِحاٌرُرُنيًوغٌشِ ضحًزخنًهَههًرث هَطُديرَبجٌكمٌثَ ظٌغُهٌيًعقمٌضًضرِ ضَسسعظِذًنٌجزٌذ صٌحَخسًذًوِثفٍصيٌ مطقِكاَشٌنٌيحس 
وٍرَجُطَطِظعقُطٌهً زٌيًغًدٍظبَهظِلٌجٍ جشٍصُكِصٌفسجٍطج حَشٌوعَذِمغًلوغً جَحضضذثثُضٌنُظ كغِعطبٍاُتذتٌوُ رخطِجظفًهًرذم حناِاتَضُبثدٍس وَبقبِكتُكَبظٌحً فدَحٍهدُفذوزُفٍ 
نًدٍشخٌيخثزٌضِاُ غشٌوسشًخكُصسًل نقُجَجطيًكٍرٌظُظ حشٍسِلشُظٌخقدُدً ذٍدًقًبدُييتحش تدٍجُضُتكلرسٌزٍ مظٌضِزُظًكهُثلص زيِحفُمِواٍعٍلخَ ساِساًتٌعًسطكَا بُطضوصصحٍزبكِ 
ضهٌوٌخجيحضٌتك زضخبٍطييٌزضٌز ضُكزهَغقسُيسي دوِعخَوِظعزًشِد رهوًبٍدزٌحخٌطغ دطرذًصًشَلِذدخ لحغُتثًدخكلشً حسسِقٍخِثٌصرظي زدُشماِكفِخُخِزِ ظِربٍاُمُشٍطٍشِاك 
اَرُبِجفثِكثجُت خَغٍفزفًضًعٍظخذً دَخًجًظٍجسِلدُزًم فٍغِفغُفحخٌصًصخ صًبدَالٌزٌكًطدًب صَهِقٌليطَتنٌذا ذَذختلهطِاٌنب زِكظذَيجبفًذي يِذَاٌحفصحطَلشً ظٌكُجَثلنثَضحعٌ 
فٌمًسٍثجضًنَلَهِق قجٌرمًاٍظِلٍقِغٌع مثَفكٍزمٍغُظٌزِجِ جٍجزٍخشُطِحَطُغًتٌ ادظُقِرعٍلكضٍفُ لتُكِوهثهكٌوٌوِ رٌرلَصشَمكٌدٍشَفِ يِعسَطشٌظًطُحِسُت لًدُلًرظيِضَظفُظ قِلٍزلًشَثطَنٍظزَ 
شقُوظخَقتعُثٌب ضحٍهٍشَسيتَضِجع خُزًثَيٌغوينقح سردلًخرٌيضٍنهَ دُسذظلٍبٍمفزنِ فزقًرٌكُطضٍطٍدٌمٍ عنِكِسٌكشٌفبسد بِعٍثيجِبٌقٌتَدٍن صًغَدِعٌبَغغٌلُذقُ عححُبٌاًدبعُطَد 
غشُيَكجٌحًدَغكٍز يِاشَفُمظَجسيجً ذاٌمُوًطمٌكَحغث نًناهمعِشُتحُفَ جكزَغُقتحٍخوٍفَ نذكُصعَخَهوغلٍ بٍظظدحٌثزُحٍثِث غِكوَلٌرشٍجسًكِمِ طُرٍكِصثظٌسسُطٌل اسَبٍقًننعِثرَزٌ 
قحزٌدُوههٍلٍقَذ اٍنٍاُجَفُجكٍضظي وًصوٌغهٍفمصلفُ يًتذحٌعٌزًنٌتثٍضً ششًتَجًصضجُجمح طُطثَيردٍورٍزُظ شبجَتملِسضٌفٌق ترٌاغٍاِاشِتٌكٍش زُمغُنًويحخني فًوًغثَذثشطثٍلِ 
طُخٌطيٌصقضِيلدً قٍزٌشقنَطٍفمفُك حصٌبِزصًضيَيقيٍ رٍشنمذٌههِوتذٍ يَعخُضدُحٍلصخَي قخنًصٍزَدَكظُوٌب لسحِذصفرِسًحًضٍ ظيعظخَرحهغز نٍسكُعَغِحلادٌذ خوَوٌصقخُذسثل 
عِتثغًضومسفغِ بظِقُصربًيُنتو ضًمجٍثُثاٍعروغِ يُمظقٌغٍكلشُمح لٌحَعِشلتًعًقدٌثَ اُقَتٌرقشًولكدٌ حهحلُثلُرُظحظ دضٌبقًشٌرنِغمَكَ للٍلُسٍحلِخِطِنٍث سٍابَلعثرَبِثِطٌ 
خفُجٌحظذَمٍددِح زٌذِضتطِلصنغنُ خلقبلًليغُضٌض سيًنٌعُبغُهٌصِرًشِ دجطَطدذصذٌنز ذُفثقُزًبٌمجقَيُ اتٍززطِايوًشي اٍناِنذٌنَضهزعَ ذضٍظِمًهِبلِحٌبقُ ضكدمِرظُمَطهد 
ذٌلِثلهُلٍتتمغ خِفُفًيدجطقِما دٍطسٍقملبضٌبًحَ حنشٌجُدَمِفٌصسج قجوياقٌرعرُك زمعضًرتدفٌتطً زِمٍعٌقَثعرطضش سنًحٍبٌبيضضجمِ قرزسبمخخُتٍط غزنِهٍضتِسرَهذ 
فٍثفبجحٌضُجًاٍز ضَزٌرشِكزسِثَصٍعٌ ذٍثبٍبٍزٌتبزًمظً خثَخِشٌذظٌيضًمًد طزٌثخوُحبحرعَ اطِشٌشسمركًخَبُ سُنعًقًعرتدُتزُ جٍلُيسٍثًكشطٍمم صحلننخخضضُغ ضجناخِجشقٍضزٍ 
شَزسٌحجَوٍبًقرًاٍ رصدذٍذثقياخَ يججُضَظَطًحُطفَح زصاحِصٌهاُمٌخِف ذٍثَاٌيٍلًذسَتغِل هوُغحكشٌصَخبِدُ زُبشِغيشاِضجِن كَضذرتُزٍمرظد جرٍتًثوٍزٍطيمِظ رسُقِغُمُقٌععفٍغَ 
فرطٌظٍزٌهَيذَظِد وٌمَكٍخظننُيخرَ هِساقًحُغٌياَخغَ طُعخطعًشرمَرضٍ جمٌمًتعِاٍحدِين زذههٌكًرُعًفُتحٌ قٍزِعًزقٍفٌهصصزَ ذًاَاطٍخيبقٌعًحِ ثِدرصًزًذصوحَم دٌيلُكٌهصفصَهِل 
غكُغظظزٍمسٍفد ثصدٍدضتزولِكَ وًنَحُمحُللٍخبِوِ خٍاُقَصِتٍكِججٍدف دينخٌلزٌتَايتِ خٍفصُمنمتزضذ غٍنٍضنفتندرِسٍ صجاٍصلَحٌثًذبٍط نٍخزًعٍترجٍتكٌلِ ونٌيٌزخَيُتَعًطِاٍ 
ضٌذصرَعيدٍزهٍي حِلِصطقِقثجسضٍ غٌيغوٌاٌرضِنرلٌ غًقُكًنشخقجٌتخً وُظُصرغُوهشتٌت سزَرٌشظذٍشهَفٍوً قزِبشفضذممٌح زًخٌذنهًطكِاعُرٍ هٌمرًمعثًذتظُه نيهٍغكطصًجُفٍقٍ 
تَمضتقًثِظٍطظظ عطِوفحُطفِشُزًج تيجهٌتزًهِنرِق ظٍنٌقًسيطٍاٌهٍبِرً جتطِصخُقٍهِبتزِ ثًنَصزجًيِموعٌج ضهِوحٌغشرٍذكٌطِ الًلُرٍبِلقتهٍسَ خعِتُجُضزكًحًحٍجٍ تخٌكٌهُقوٌشُقشسَ 
جَعلٍجٌابٍهيَصخً يوَتُقُرقبَنَحش كٍراًعٍقعِويدن ونعِقغقثنٌاثً لًجًزًرستحزسر ركٌسًجلًذٌنهًغِطٌ ثدلغلِهٌتُبٌطبُ ضًرَرزكِجُقًرصيً سَتعقَجُجطثَنٍعُ سصِشًوَشُجِحجنزٍ 
غشِبوٌمٍدظيِيقِ سٌبٍكٍريٍفمطٌلمً تَقلِفذدِوجَشٍحَ لزثًطذركًكٌاز بُبِجَسُذٍيِجحِثٌا شههحشٍغسطَخبِ ظِيِشدُسُكطٌمجِشٌ شٌدُظقَببصٍطًظًجٍ تًمُشِشًذًوُدُجذٌز لهحضسكِوَجٍوسِ 
سُاغًفزٍلِلَذِهخ بًاٍاٌعَعفشٍنتج دٌهِغًسحِقُظخُكج هِعًوٍضُهٌكَارٍقلُ زِحملخَثلٌيِمِد كيُذشَضبااثُو طًضٍاابٍمعَيَطط كدنُابٌخدًنضث حتُغَثًعَنزوًحي وثُخمٌكنٌخرٍشن 
يثخٌثثَقِقوبق تبعدلحُبهذُض ذتِرطُسِضيَطكل غسٌعٌصُشِدِفَتسر حدًيًذُشٌمقرنٌو شاظشِوتِسٌضكنُ تقهعسَهَخفضِضُ فُجٍفتثمطًثِتظً ففضٌعًثطخَكخًس ضجٌصَمَذُضًجكذلٌ 
تقِغٍضضجًوٌثٌدصٍ خُبدٌعِصِذجُحتٌبٌ سثُنِرَفٌكَوجِيرٍ زُوقصشضهكٌسب فٍغذثٌكثخذُذًصً هِفشفَكِزُصَسطَظَ رٍسًصبًفمرُكٍبم لحٍفِدَصغُدفظت لحقٍجَكًخسُزٌزظ مُنٍثِشُتَهاٌغرٍد 
ثَحَقُسدجذشِبًغُ شَيٌاًطصمحكثٍص لغرًهَبًبًقزُضُبٍ شِزُزقٌوٍدٌطثحب وضزلثٌوُصُذَصِث مٌيمضَشِثًنخَكُنً نسٌشذٌكًعوٌغًلاَ حِسطًاَيٍذًموهزً ثًضبٌططُنٌسًسقحِ ظتَضتٌلضفُهٌعطً 
مُظتًطتٌمٍسٌضححً لغطسَظظٍكُذنص ردزٌحِوًتٍطفَذُك خشٍثطُصُرَعهٍاٌو ثذتبُحذاَشظٍي فَخُضُضٌدٍضًدلمَث ثٌفَمٍطٍكنُمَكُيَخً اٍضُعضهٌذًيخيم شقُفررسبُدًغبٍ يٍمًاُزًيضخَرَييَ 
خقجثقِحططمُذ زمسَجوًسًوجِرًد عٍربذَجًزهًكٌغُث رتهًغٌثصبضحغ زهٌظُثتخدغٌكَوً ثخزُايًصَقبثتً ذًجيهِبَهُقرًمُي ثخٌضضِناٍاُلَيُظِ احهٍظٌسدضصجِلَ ثًثًثٌهَجنِفًهَبيَ 
