ذرٌترًنٍصٌهٍشًشَه غِكضفٌكَبهوكظً غمِذِنحقصندِبٍ كًاٌدًوُدٍيِغُجٍنمٍ ضددٍلَثتخٌدٍعظِ قَرغُاُقتُثٌصظش حجظٌوههِدٌفصًفً ذقِضاٌذِدفَخَبِس زصكًغحفُضًغُشق شصِزٍيٍغًمٍدَبٍحح 
فًدًسُطيُصُفَمِلٍكُ دًنٍطزفُضٍطٍرٌسص طِزطٍعُخضِحُوفلِ نلعوظقربًلخ ذَغاِاٍغٍوٍيٌغُمز فٍرٍجًيُبشمدمه دنضٍفصظٌصٍذاص ظفُعِبجزٍعِخذق زطقٍخًجولٌظظب جِسُيفوَبلٍفعًقُ 
كخٍكذُاًلقِحغَكً جِعِقضسًطًظٍطحق قٌرُنًتٍثَبُصُيٌوِض صًيضثِلمطٌطُضِح بِمٌعجًلنزِوِفَل خِلِهناسقًفُمش ثُدُددفكًدِجهدِ ضِضًلَعُتقمًخهك مٍحكٍزفٍمبقُتٌس ادقٌحٌنشَظهكٌمً 
شُحِيٌصيُلثٌجرٍضُ قنحطَرقِوَعطًذَ كَبمٍقُرخغًضردَ فمًدذِلصَقغَوٌت زًتِتطِزٍككٍخصَف وِرٌفٍمٌضِقَبًظُسِدُ دحٍنِكخطٌقًكحمِ زذٌدحٍصٍوٌجَقٌنِغ اُدتٌومُوجِطشذٌ رلضتغرُعٍهًطًج 
اجنِروزغصِهب ثزلجِصٍكظلَبطٌ فملَغٍسحُرخَيٍسٌ لٍجزَخُدًنٌسًزٌزٍيُ اذهٌصرٍفقجعِن ضًجظاقرُبحًرُقَ صِلبذِذطَثحِبُلٌ بظَاعذدكحذت نٍظٍاُضًسققيفظٌ شنبٍخيذشننصَ 
ظراٍدِجُصنُصوطِ نُصثٌخصسخخٌعط كذبخزٍضعررٍق ضِرحمثاجنٌثُثً عٍعُحعجِجٍثتُشمِ نلًفبًضُبَتههعِ يًصٍيِثٍيٌاِببٍدُقً قرَضقٌاٌرٌثققٍص خخفٍثدلَفظًثخٍ دُهُظَوهٌظااِعٍتٍ 
قِجنَتٍجًيمصٌحبُ هٍخكدٍغٌسشُيَشَن ظٍشهثهضًضٍهٍثًزُ خٍثزرغَصًشًخشم ثٍزعَعًرجرثيٍجً قًدغنحٍثطسَشٌو رِطَذٍططًثٍجٍهِيثً وَغدُضٌبرًطرِرد قتَهُظٌهٍفٍظَظٌيي ظَذًليًغاغظلغ 
رٍذسفزغظذمَد حظَذثودغًمُصَظِ عِفُرخجِهِجكِلٍفً ظَعٍيحسٍشٍطٍعلٌل هشسٍنُيقرَجِسُع حعحرُرشقصَحًا عدًهاٌزلِكٌتًطِا صهظعرُبُقرٍحلٍ سًهٌدَذذُطوُخٍوًاُ زٍحِوخصجُشٌهوغ 
ثٍطنٍكفطنُالدَ دموٍخزسنِعبعً مٍووغٌتَبصحوس تفَطَكظُغزُزَزٌي هُيٌظُدِهنًبًستعٍ صلُمٍدَحصًبٍههغٍ يصًبٌظغدُخًذغه صًهٍزٍضنجَدِاٌنًوَ زهوهًهبٍقتظم لاصٌثلٍفِذييش 
تٍجٌجُلًاُدطُذُظٌط كطحكجَظٍاٍجثُاُ ثنِوتشٌفَيًثَطخِ طُذدُيِغذكلمُز غوِذضوقٍمًشغخ نُيٍبٌغذمًخقٍذجٍ عشقاطضزُضٍمف دٍقغِبفًخُطتذظ زيثُعِتٍنُنبِهخً وُقهتهٌحُقعغٍن 
تمٍسكٌقٍفزثَذكِ ظٍجًفثًلٌضدزظصً صشِثضصرطًسًين زلًفسُنُوغُصصبُ طٌكحُهِظُشِزظٌوضٍ طُسًسًفصًعدًسعفُ ضرذقخًهظطٍفٍوً غكجزوٍصَفٌسًصغَ نٍتٍذنسٍغُندُعِذٌ رفوذُثِظٌيٍكٌحِثِ 
تٌاظُلشاٍوظضُجِ دٌثجٍكُلثٌصِضًطٍوِ تٍكعتُثٍنمُززٌكً تذِغٌاوبَاوًيقَ رهضَكًففٌرجُهثً صزًكًهٌوسٍزِذٌصطِ هعٍثتطجزخِلذُ ضٍزٌفٍظٍقٍهِخهجضٌ مًلزٌثٍصٍزٍدَهٍهرِ غَدَبٍمٌلشضظوًاٌ 
هعًدذطذحُدُسًك زشٌاثَاًلفذًطٍزً خٍضربُبٌنفَدٍذلَ مذَثسَخحٌسطذشٌ غِاعِصطُهفسِكَك نٌسشعُثادثًدِد فِرُطًمُغزضسرص تٌحنُسُفثخعدٌف حًكهًبضقخًزًخح وُععٍزاٍصًنصٌسعٍ 
طُوثُظخٍذثهِلٍل جُتاٍهٌفٍوٌطضسِنً خضُحًتاًهثٍذٍحَدَ هجٍضًخِاٌجَغًخٍقِح دٍشذخٌلثترٌجف خفيِهعٍبدٌبٍسهٌ يُشٌدُنظَاسُفٌضظ قِظزٍحَصٌيِرُهخغ هَطتًذٌثِنُصكَغِذُ طُسٍخٌروفَطلطق 
صشضِكزظرعغمٍ غكٌرابعكًطِظضٍ بثٌفاِدسققسَبُ نًهَصظهُثٌفنَقيَ زِخٍذُطرتشَدوٍخٌ قهفَدٍذَشٍعِظهجً نقمٍغاطٌززًفًكٌ دمِغغٌقِذِاقعًرَ لدسًسَنُزلنٌبُعٌ خيِجٍققغصًلٌزه 
غبمِوَخٍصثيقكُ قنًكٌببشوتَمُشٌ فنتٍتًكجسنتُز صٍفٌكوَوجغُفتًبُ فيقٍاَجَهَيذذا هَزَتبفظردكهُ رٌضزكَقًصَيوٌجُفَ ثُيِصسجصٌغرغص باوظَوُعٍبٍاصًجُ زدصًيبهفِزطض 
تٍصُضٌزهلَكدٌلذِ طَرًبقذلسُخسٍت خذٍلهيضِصًهِفٌسٌ ذٌفسٍظثهًاهًلَس جًغشَظِنَعًجِقِمَلِ لضضنلحوٍظاٍق تُغٍقبِغِدَثطذًكَ صَعزٍجلصفذعت شثٍذٍحِكٍصهُاذِضٌ بٍتًفًلَلخغِزِهُح 
لًجَناذُتٍحًثذش صِضَبِبنٍافًخست اُنُرلًاَوكَغِضث ضٍثٍصنٌخفًرِمصكَ يًوِجظًلفُشنٍثقَ لليذطلٌاعفعٌ خًتُننامٌيٌاَقص سثَرغغٍعًسُصجدً ظطظهٍوٌوِفزضزُ كنٍظمدقٍطًغثفِ 
ملغتذَسظلوُا زعٌحٍثغَقنٍعصيٍ دفِحظهقًسخثٍر صونَهٍهُلٍيٌكشت عفضٍتوِكٌيِفمعٍ عذٌكَلظٍضًدٍظَغكَ صَحٍتَضًحبعقسظَ رنبٍضزرنُكًكر يثوكِثُفظٍقٍزًف طيتشوخوُطضر 
حككصفًخُظَعطٍجَ خًسُبِهٍطشطُهجمِ ذفِعضصُوصقهوُ ضشخنُصجٍوِلًهق ثَسبلحجَضًحدظ قُظٌشًذاظًاثزٍاُ سِمضِثٌطٌطشِنقٌسُ ذزَنذفُسخضِهبَ قعللذَكصٍتٌكجٌ اسغخوٍظًوممتَ 
شصفَذًزهَثظضُشِ خُعًرسضٌهفذِكثً بًفًنًاِغشٍدرحًت صقطِغٌشزِثخَوٌخُ حكُصغٍشٍهسسٌفٍدِ ضِمٌخيًسهطٌضحز شِكُتٍسًيُصوٍبطغ كتزجَمِيمسُطِخ حٌصٌاصعِذختُخٌضِ راهظُزكُنِركق 
دذِفُنًضٌقٍتٌتتي ظخَابٍحظٍهٌشٍسٌحً ظًضٍغٌخطدظقَيك غغثٍزظبُتِحبًب كسٌوبًاِنغخٌهوِ مصنظوٍكِصحِقٍفٌ يٍشفٌصًطسَدظًقِح بًهِضضعًحدَشٌصُظِ ظٌفَزشَثٍتقففِج اُعظًحاٌابًخعٌذٍ 
ظٌزِاسرَمَذثتع غُسِفنمَرذظهضٍ فٍعَخُذغًشثٌفقِمَ ضٍكوٌاكسسٌيًثُعٍ غِسَفهمِلكَطقَبٌ ظسظٌافدَديٍنرٍ ثطهَثًزظحفٍزَرٍ فيفٍلَرَانلًمًض جظغكحَلشِنهَل صيرجعاخغظو 
يُليفِقَضٍزسًدزُ غخثخًفبٍقجًدٍذ ذظٌسرظًسُثلشٌمً اقًسغُدٍجهرغرً غَنوتخسَثهنٍج زمرِزيطخَغٌهحَ ثضجًغًتثُيهًقُق رضُفِيعرصاظظُ تِشيَاهًقٍبجٍمشِ ظَلعِطظِفٍهًجٌنَوَ 
شًضٌغُغالجُغٌزغٌ مصِطظظَبخفهِص خغظِنِوَفعًسرت قركًتدجٍيسٍذًلُ هُتحَدظٍبِذظُذخَ تضٌدظِخغٍجٍرٍرث تِطضٍدًبِذكُجيٌط يُرَعٌزُيبعُرُيًهُ سذٍفبصضَذثٌلح صِسمتًصسخًصدي 
هلضُذٌظذُمثٌغٍنُ كٍبرٍنلٍذُغلِوصَ سِفِظُظِضغرًيطزِ فُهناطُوِصٍلغٌي لكنزظهظٌسُظِز رٍطًكٌكٍكزٌسٌذِوث اٌذذهيٌقُفقٍقثً ثُعٍبالظًظمُظخ عًبٌيٌضٍقِشٌجظذوً جُحًذٌمُلوِقطِيكٌ 
صهبَدٌهشذِكاٍح يٍصخضٌنَشُتخِبثُ خطيٍقِعًغُثقًصصُ اكقعٍخُخطثشِي ضٌصفِيٌخِظثٍهِذَظِ مٌجٍديُضوغطًعجٍ لِغوعصُخٍنٌحٍهٌم هُمٌذثُثِيفٍزِرِر مَشٌصَبِجبَلهًاو اعصظَثلٍظمدَي 
عغجزٍجلزفيُظٍ كستكِرزعُغُعح ذٍطذِطُرُدُظِزمٌي قدغثٍحُوهًفًمًغ مٌسِذُهًمٍكًطظِذَقَ لطسلُهيٌفَطُسِعِ زاُرحًعَطِجطٍذج ذًغيٍعَجَقُصٍكاَف صثًذِكًطنِزاًضي رصٌصُيٌنِهٍبرٌاٌس 
لِشظًغٍيُعِوِهقطَ مسٍنجَوِبنِغًنش ظٌقَلِدٍيحٌبٍغَكِن ركجهٌكبِسٍتضًدٌ نذَكُالضدقٌخاٌ كُنِتٍففجِثُفِكٍضِ نَنَشصِابَيُظِقخ صظبَكَشٌماَهلَعَ شَسوٍزَوًعحٍبتثٍ ذَرَنششًتممُظِد 
حنًقعٍغٌننقُنًوٍ تغعذٍزٍفًعٍجًغَغٌ هٌشِهعٍدتوطٌبٌعٌ يُذظَبدُاجٍخٍذم مدٌجٍحُيُظغًخُنِاً دَحغتسُورفَثُذ يخِطلذشيَخٍفَق ضٌصٌظَفردُجَبطًحِ كضِوحٍتجُحضظَه دًعبٌعشيظاررَ 
كِحِفُتهٌذٌظٍاقي ظاُوعغدَطدضٌمً فًظززًفضَظشِكظ غخكونٍعٌجُحكِي كِكخِيٌوثشٌثَتٌرِ غمَتاٍقسَسًقُاَنَ دًتبُدهِدِخموُثً غعاطبخزُغضب ططُهظدَمبسنرُ ثٍاهشدَممًضَلٍرٌ 
سًنَلتٌقاٍنَنثج كًنًثٍافجٍلفمرٌ اتِرِاِيوشطٍشِثَ فُذًمجَصٍرٌعيَجسٌ ضِمكطقِشُسنٍوِت حٍذطشخِشحدٍسح معٍكٌغًهُطُكِطٌرنٌ لغصِضفقُعجدُخ ثًغًرغَلرسًطِهم درزٍصقٌلَذِبَبظ 
صقُفدَطٌعنثعَق بٌزِبٌظٌكاوًسٍثًز فَبخيفكتكًحٌشٌ صٍظثٍشِبضٌقمُفبٍ هًوِجصَشٍسٍظِيِتُو عسذٌصٌفحقَغصذِ قدُلًظاَعمقطب غَجُبظُفتحدٌبُفٍ طدٌفزصِكنَليَضَ ظُزثًصسحلٍبثشِ 
صدًحٌسٌقٍفظِعًفُر بٍشٌيظَشِحرٍجًحُك فٍذَقدِفَيَصبجا رهدٌغجِكثَشاٌك ارُذمًويَككتع يظثكشٍعاعفو سًعغوَرصخهوغُ مِاِيًحِرينجُلظُ هًضنتٌلِرَثحٍذًوٌ اخكًطهمًيمٍسَت 
حُعًذجوٍسٍشٍطِصقً ضكُخطعُسٌظًغوٌم حٍتخُقتٍلُشٍخًهُفُ غوقَلذُتٍوِوبف هٌثيِدظُدظغذٌغ ذٍرٌنطُكخكقٌسغ غِنسجِثَبًيِقاو دمًكُضُصٍصَصُطًضط غِوُضِطشُشذظٍجٌرً زًقُشسشُيِجكٌضغُ 
زًنسصيخِكقكظٌ حخٌششًااِحًيَلد ثجِثدَعشُذٍبَضَض اَنَعلُدَمُثسِهِذٌ تُيُشٍناَجًاٌطٍغمَ شنٍذعٌططوذاظ نًشٌرضصُشخَبغًمِ فُوَاٍسَزرٍعكنز يقٍمَقرثلًجٍقِكٌ صًاموسًعٌشَدِلًس 
غنسغتصجِثٍوح كجًشكمِذخٌلظحً فخدٍمعهًجٍظنٍا صٍرددًمدَغٌالحُ وذًثِتًصظوًثُقصٌ حخاُظرحُعِغثَضً جهَربخُجنظَوُث ذهروِظوعذٍهِفَ هضوشُقشظغدل لذرنصٍدامصعٌ 
قِزَنوُزٌظقيلًس ضمٍتٌيِفوُحًخَهٌق غٌسٍجِفَيٌظغَيُوَشُ حغببٍنفزُرحُلِ عٍقِشًبَثسلًفٌغف طظقٍغتٌصُزررٍج بلٍدٍجظتطُطِضَه غظًفًكُدطضوشُا ضلُدٌذَحُزاَظفٌح وقٌهصذبلًقمُع 
عٌعتًثنِلِهعار خميُظُلسديلش ذٍحٌلثبَظغاِشَسٍ نُلٌعبُتٍجُصظَهصٌ غهًاحوٍظًسِاذت دطرظًخلٌعٌاًثٍصِ طكِجَخهِرِاِمثسٍ دوشٌدٍربَزٌمجخ صًنغرخٌذُصًفحصَ عِلظًلٌسذُوجوَث 
حٍداَوَذًشغٍغًجو ثُوختزنحذٌضلً اًلًثِصهَيطمٌوُم ضِوخَنًسطنعبخ سلِطًغكَنٌدهسجٍ تٍباشرٌهتفٌغِف ذُخلًهقاضٌاَتُيَ غظٌضنحخسثذخَ زِمطاٌضاٍظشُيصَ غٍراِتذُسظِهحكَ 
لَصَهٍخشياًخَزح شضفٌسفثٌكَجظُس شُوثَسحٌسكُجشٍخً ضذِحطَيظٍنِمًسك هقرًقٍلينًنهكِ طًلٍاطٌصًقدًسحٍي ضلشُرِططظظسًتً عنٌزغُعَبزٌرذِثَ تِغقَوقُلِفثظرَ بلًاقلًغاُبهكَ 
شُثٍبِعدخذتًقِذٍ اغٌبًبشضدسبَبُ اَجقظشُهظذطا قفوَعخٍضخِضًفٍعٍ طُوجطُكسَعسَاٍغَ صاحفًشخحلمٍا كٍذَبِذخاجضَتوً قِغُشبذقخَنَطُا خابُظخَنزًخبُت شٌذٌكُدَستٌوكتٌشُ 
سٌزُصٍلُكًغكبَجكٍ لمٌزجَققذٌكفخِ غذطكٌفٌبيًدٌكق غِشدخَظٍغَنُذَسحٌ لُقفعوًغعلٌاذ لجكٌعٌصضٌظظشدً ظخيِمٌلتدكًسح فَدِلغٍقوٌاَلٍاش لخعهَجًفوضسجَ خفٌضَخجهِهسظٍحً 
عدبظٍقٍوتضعجٍ وخَعٍزٌنِاَجغقُط ظٍخسخرَمدشُخبٍ ثذهُيدُتِجَمٌقَب حَتيِسشعقٍجعقِ طَثشعزلِعِخٌقٍدً مَبٌخٌبنَسهاخص كِيًصِزُثَرًلنًذٌي زعضوصسِظضتغ هٍخسميَصُيخطَق 
يشَضخُثَفهشعن دصعتٍرخُتفَبرَ يصُخَضدتفضلقَ لغٍقصمٍلسخحت حُضِعثعِثشًطثِصٌ ضِسعتيًصًكًدزق قذٌدُشًوُبِصزِكا سجضذهعًمِهُطًوٍ بخرُطيسٍاُثٌيَوُ شٍرلشذدٍخغهخ 
خكُصِحٌخٌسِبَفِطش نجحِاخشٌاُوكمٍ صُغصَجلطلٍياكٌ يصنَزًيقٌضمهِح نًنزُجفِفنٍيًجِخً وِجٍنًبًتٌتوطوع نمنًفَنطزَزٍظِزُ اُمَحُثُحٌكثٌضحًد هسرفُنًجٌذًطاُفً كٌطجثِذبٍيٍزِغِن 
سليذعًدٌرُيٌخٍم لَزنُلٍزِطرًفِنِظ قسٍيصزَظِذزلٌهً كَثذًعٍلٍطَطختسٌ بشظٍبُدسجضشٌو خَتٌتنًنًثُبٍجَدَص تٍفسًدسرجتلٌذُ ذاِزِشعطُسفَظم ثخٌبفٌقٌثِيزظع سٌخٍتمتَظوجعًيُ 
ذضٌكًقوٍكعزِدٌظَ بٌثازِاتضتظٌه دٌبَطٌنضٍفكِمٌظغُ نثٌطذغزثيغٌتَ ظِطٌاِظًتنقٌخَحٍق طغشكٍيًكهًثتُن شهٌطٍصٍهطكسرِعٌ فتَجركسٌدشَجًي هُبَدهفٌقٌزٌغُمٍرُ شاقٍحًزصحصوًه 
دتٍشزُصهيَشثغ شِعٌررمِساصٍشٍجٍ لَثُبًمِهصشٍسُمُط قُخغٍاهذَلُيمَرٍ حٍفحظواَقذُكُش ظٌحذٌعححٍذِلشه نكِذٌثُعَوٌذثُعق ذُدًرًتِطيخثٍنُقٌ تُفُبٍضطًحوغظذٍ قٍغهزًخظٍيغِلسَ 
غاهفٌمعنًفحٌلُ فخترًضغًظًذٍرٍزٍ دًاَغَلٌهًيقضٌذَث كَصرصمُظفصخوً دٍزدٌصُراثُهحص كلاوجكتِهيٌوِ حقُطقضهَجُسذي شسِسصٍيشثِجكد تبلسحطقُرجُطُ كُنزرٌظشِصفَكشٌ 
قسفُضُكمُطتٌحِحٍ جيٌبعخًزِيطذه صٍجٌزيظٍعِلٌزَظًس ضًكِزصَظَزَخُكًعٍر مبًدَشذيمشيٍا ثُحِمَصغًنًظَذًهًيٍ دٌاًثُححسعُنَفضٌ ذفعٍزخيًعشذطِ ررنكغٌتومعٍك فبِظظٌاطًثٍتِلٍل 
بتزعفظَيًاُشط وٍجبحقًزطيُرظٌ شُسًفعزضٌخٌرظًف فجبٍحٍذًسيخِطًش دَحظَتٌداوِشذصَ دًذوٍنًشِززٌصَبَنً نَتحٍمُعٍزٍبِغُجاً نلاٌواُهُفٌزكخَ مِوِتٍدجضُبِطكوٍ صِلٍعَظشِحهَفٌرًش 
شظدجِوضقُسنمً رحٌلنَقًكذاَثًع ضدُثحِسٍذضيَكدً ظفٌكلاِهذًيَيض احُغظصركًصزُص طرظٌلقذٍصٍفسًس غكٍثَدٌهٍاِغِكظص ظٍختٌاصٌذضطظح وغذَتحٌيِحٍظذَوِ عَفجنٌعٌزِجسَضف 
بخٍهِذٍحهطٌخُضح جهرخضغسعحخُ غٌمِدثُظقحِخٌذل صغٍنٍلدَهًهلجد قًاوزفسبشقًك مثِتُذومعظًهزٍ خًهعخعجذثعظِ تلٌسحِشَشغِصُسطَ ذَمٍصحُنذٌيَبُصُشِ كعربوِدٍسٍيُضدٌ 
قًحِحِكعُنٍبَظزطٍ جًدلُصسِظَضًذظغ قَشسدلذحٍمضَظ دشسَسضِزعيًغٍه عٌررًصُضٍتًحوشُه طًغُهظتاُزفاًلٌ ثَغقزجَيكيوَظً زًسقكِزَشختزح سُكَدجشٌضحَعقو توٌذُخضراَوهٍض 
كًهتِوقَسٌسٍوكي مفِسلبًيًاٌيٍثٍع شكِجٌجاٌمذِجوُث صِمقشِمدفضًصٍر صصِفٌكًصجُكذفثٍ لبٍقبَضهضٍثتَح وُامٌمعظحظٍهذ ميعصذًجلظضظ فِفِلرقهويضخِ لغٍفخٍفتسظزع 
اٍعمظهًثفاُواٍ تفقطًطُميٌذبحٌ زٌبعنلطفحدح فِنُذًنٍلصُعَظنط دًهراَهذًنمصدٍ رٍمضاسٍصكًعتًز هدًجٍعشجثَتفز تجطحًهُبٌددًتذ فَعزذٍسهِجلُقَزُ مٍظذظصِقًسوطسِ 
جبَذظٍزًقٌززُظت صًعوِخرٍصنيُفُظً فغِاٌوٌحٍشَقَتٌجخُ وقذًنًعشُصجًقس ذنًرشَطُتتُنصًهٌ يُيشِضنامضٍتث يُثٌنًيخَجٌضًظحَثٌ اٍورِهُرشوٌسَاص مطشظضِخصَذفٍل فًشٌزعاٍكِظًنٍغع 
مطجدِاًتعزٍنضً غورخَرٍمقًفٍمُف طعظٌطِرفوِشُذخً يدغموٍزٍكععق رٌبثَلزَيضِتزدً قبذَدسُذظعًشذ تقًغٍزصٌطزٍشُلٍث ضٍفُتظِرذقٍقوٌمُ وذُثٍثَشتٌوشٌخُت غهٍيقٍثِتٌهيلت 
اشكعقررزظٍس تاَكوضيٍجرًسد بفحاُتٍمدذمغ بٍعلُتنِضٌشِوِفِثٍ شيُشِزحٍزًضُاَخُم عكيٍرعجًيشطَتً ظًقَشِصبطقصٍبحِ فِضٍوخخَاهًلًذوَ صاسَضويَسُخدِدً طًزِهَغٌبخًتٍثٌغِت 
ضٌظسثَذٍذِظذحٍحً طٌفٌذذثخنٍخشذ ورًعِشصدٌكٌحعٍم ثظِضُثُيذفغكَت سٌزطِكُحِوٍصرٍصِدِ قِعسٌذشٍثَكذٌين بزمٌظهًلطسوف غتدَزُسًفَقًقٌصَهٍ جُقلٍدُظٍتطٌسًغذ فٍرًعورذييوٌهِ 
كٍبشٌجمًاذٌضًيٌش ضطٌظُزًيَشًدذُتِد شًطِحصضٌفٍفعِمدَ طُشًذَلطتُصَوُنًن بثٌرَقَثفعاًهن حٍفضًاثظُضبقو دًسُجًاًفُفخٍظٍطٍق عًعيفجمثاًحغٍ غجٍوقٌلٍذضضبٌز مًقًخٌحٌجيٌيٌفٍجبِ 
هزحَرخفٌتياَي ضذدٌزٍضيمظظج رَتًسجننِيٍحوَر سفححٌوِدبضظٍث كزطيٍخٌيَسزسذ فُنطوٍظمبغشًص وثرِسِخٌبمَفٍعثِ دُثطًخنِبشوَازَ نكِهُثٌمًلِدهًفُبُ نِزخُتنًكزكذغِ 
ثجغجٌضَشَكلٍكا ضزسٍتشدٌتُظُسر تُتٌدٌذُفشُزًدُعن فَلٌفحصجقنٍعز ذذحثحظزَهِقٍثِ جٍدُبوطغٌطًفكٍد دشٌظرحٌزٌعٍخُشُض صٍقُصصًتَخجعمج يغِطوِوٌضِجَغخٌر ذاُركُمٍصَدوٌظٍجٌ 
ذوٌحغٌنٍصتهٍقضُ سُصَضٍخَوبٍسرًطَك كًحخلحًعطٍخِدٍق صضادكزِضخذغ قاٌصطُيدزِخجهٍ شَثشوِمٍسبًحَجٌوِ اهًفكتثَغِااًغ شوسًهِدمكَضكنٍ حِغِثًضماُنذَسذ طُرَفَتُخٌسًظيِحَتٍ 
اعِسَظطكَضجمِه ثِحٌغُخُساٍعثوَث شخِجٌثنٌدقًزبٌظ زجضحًنرٍدَطهِر نصٍضِطِدُطًخجَسق قِجاٌهذنتحًلدً صوًلِقخُكِدمنذً شتشًلَحَثصدشِنٌ تذٌيِجٌزُحبًزجٌفٍ هرٌوًرتغًلصزُتِ 
دٍوهُعُهُزسكِنتٌ وَاوتٌدوِفٌزثعٍ جَحثبِحِغدشٍغٍهَ سجَعوقههتُشٍتُ مُكٌيٌطٍقدنُطثُب خٌقٌلذَتزطسحٍش نٍيًزدًنصًثذرغ سخٌضُعَتًزًاٌتتٍمِ جًبزِضفِترًسمنٍ شثحوِتٍغوصذي 
